"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-86.40000,33.10000,596.29,181.75
2,-86.20000,33.40000,633.96,193.23
3,-92.60000,40.60000,959.51,292.46
4,-151.20000,60.70000,190.26,57.99
5,-112.30000,33.60000,1141.40,347.90
6,-110.20000,31.60000,4192.45,1277.86
7,-111.90000,34.70000,3340.72,1018.25
8,-94.20000,35.70000,928.02,282.86
9,-90.50000,34.90000,200.92,61.24
10,-90.70000,35.00000,200.62,61.15
11,-91.20000,36.20000,338.12,103.06
12,-92.60000,34.30000,207.94,63.38
13,-91.10000,36.20000,286.94,87.46
14,-94.20000,34.10000,370.64,112.97
15,-92.20000,33.10000,89.24,27.20
16,-92.10000,35.30000,580.28,176.87
17,-91.30000,34.00000,158.33,48.26
18,-93.60000,34.30000,747.57,227.86
19,-120.60000,38.40000,1652.13,503.57
20,-121.50000,39.30000,120.67,36.78
21,-122.10000,39.30000,59.48,18.13
22,-120.80000,38.80000,2286.52,696.93
23,-119.70000,36.90000,404.27,123.22
24,-124.20000,40.80000,22.67,6.91
25,-123.80000,40.10000,297.57,90.70
26,-123.80000,39.30000,0.00,0.00
27,-119.30000,38.20000,6567.09,2001.65
28,-121.00000,39.20000,2810.96,856.78
29,-121.20000,38.90000,304.72,92.88
30,-117.30000,33.60000,1844.55,562.22
31,-121.20000,38.30000,86.42,26.34
32,-122.30000,37.10000,-1.21,-0.37
33,-120.40000,34.60000,601.18,183.24
34,-120.00000,34.60000,942.75,287.35
35,-120.20000,39.60000,6644.39,2025.21
36,-120.50000,38.00000,1049.48,319.88
37,-107.60000,38.90000,6518.11,1986.72
38,-105.20000,39.20000,7459.51,2273.66
39,-107.30000,38.90000,7740.39,2359.27
40,-107.70000,37.30000,7908.73,2410.58
41,-105.10000,40.70000,5175.46,1577.48
42,-105.60000,40.30000,10243.96,3122.36
43,-103.30000,40.50000,4019.85,1225.25
44,-104.70000,40.50000,4779.49,1456.79
45,-72.20000,41.90000,735.60,224.21
46,-81.10000,28.20000,76.90,23.44
47,-82.00000,30.70000,77.79,23.71
48,-84.10000,30.40000,65.52,19.97
49,-82.40000,29.30000,72.74,22.17
50,-85.10000,30.30000,45.05,13.73
51,-83.20000,31.00000,242.55,73.93
52,-84.20000,31.30000,188.62,57.49
53,-82.60000,32.00000,111.78,34.07
54,-84.00000,33.70000,812.40,247.62
55,-83.50000,31.50000,382.45,116.57
56,-83.80000,33.80000,864.50,263.50
57,-84.50000,34.60000,1453.71,443.09
58,-81.30000,32.40000,78.44,23.91
59,-84.80000,34.40000,782.12,238.39
60,-83.80000,32.00000,309.35,94.29
61,-83.90000,31.90000,279.92,85.32
62,-84.30000,34.20000,1040.94,317.28
63,-116.60000,43.50000,2556.17,779.12
64,-115.70000,43.10000,3095.64,943.55
65,-116.50000,48.40000,2254.59,687.20
66,-115.90000,47.50000,3364.01,1025.35
67,-112.40000,42.90000,5150.07,1569.74
68,-91.00000,40.10000,719.32,219.25
69,-90.40000,39.90000,470.70,143.47
70,-88.40000,40.10000,719.82,219.40
71,-88.30000,39.40000,720.54,219.62
72,-88.90000,40.20000,756.73,230.65
73,-90.00000,40.70000,748.52,228.15
74,-88.30000,37.80000,368.01,112.17
75,-91.20000,40.30000,660.07,201.19
76,-89.10000,38.60000,506.79,154.47
77,-89.10000,38.80000,520.01,158.50
78,-90.20000,40.20000,437.76,133.43
79,-88.50000,39.70000,670.01,204.22
80,-89.50000,42.00000,823.95,251.14
81,-91.10000,39.70000,671.29,204.61
82,-87.70000,40.40000,720.18,219.51
83,-90.70000,41.00000,610.07,185.95
84,-89.80000,41.70000,627.23,191.18
85,-85.80000,39.20000,672.15,204.87
86,-85.30000,40.40000,908.63,276.95
87,-87.50000,39.50000,590.42,179.96
88,-85.80000,41.70000,887.83,270.61
89,-85.40000,39.80000,1045.73,318.74
90,-87.70000,38.00000,418.01,127.41
91,-85.00000,41.60000,1011.65,308.35
92,-85.90000,39.40000,780.12,237.78
93,-85.70000,39.60000,849.08,258.80
94,-86.40000,41.70000,721.26,219.84
95,-86.70000,39.40000,716.08,218.26
96,-85.50000,41.50000,933.46,284.52
97,-86.40000,39.60000,753.35,229.62
98,-86.30000,39.70000,790.32,240.89
99,-93.80000,41.50000,968.60,295.23
100,-93.00000,41.50000,750.36,228.71
101,-91.50000,42.20000,858.43,261.65
102,-93.80000,42.50000,1061.32,323.49
103,-93.10000,43.10000,1042.16,317.65
104,-93.70000,42.00000,1026.94,313.01
105,-96.30000,39.20000,984.22,299.99
106,-97.30000,38.20000,1539.34,469.19
107,-96.90000,37.70000,1257.22,383.20
108,-95.80000,39.00000,1049.74,319.96
109,-96.30000,38.50000,1164.50,354.94
110,-94.60000,37.00000,1056.82,322.12
111,-95.60000,38.40000,1102.00,335.89
112,-85.20000,37.80000,714.83,217.88
113,-88.00000,36.90000,354.82,108.15
114,-85.20000,38.30000,843.64,257.14
115,-85.10000,36.90000,949.97,289.55
116,-82.40000,37.30000,1860.24,567.00
117,-83.70000,38.20000,729.92,222.48
118,-83.10000,37.10000,1121.13,341.72
119,-85.10000,37.50000,852.72,259.91
120,-83.40000,37.10000,1392.03,424.29
121,-84.40000,38.90000,811.02,247.20
122,-87.40000,37.30000,441.21,134.48
123,-92.90000,32.70000,306.79,93.51
124,-93.90000,31.90000,168.64,51.40
125,-91.70000,32.00000,73.88,22.52
126,-90.50000,29.90000,1.05,0.32
127,-90.30000,30.90000,227.00,69.19
128,-93.50000,31.70000,319.13,97.27
129,-70.70000,43.20000,255.81,77.97
130,-70.20000,44.70000,876.61,267.19
131,-68.50000,45.90000,603.77,184.03
132,-70.60000,43.80000,309.71,94.40
133,-70.50000,44.50000,1294.06,394.43
134,-69.70000,43.90000,19.26,5.87
135,-69.90000,44.30000,166.50,50.75
136,-69.20000,45.20000,349.74,106.60
137,-79.10000,39.50000,1588.81,484.27
138,-77.10000,39.40000,744.23,226.84
139,-75.70000,38.50000,36.19,11.03
140,-73.40000,42.30000,1173.39,357.65
141,-72.80000,42.60000,903.94,275.52
142,-72.70000,42.20000,442.39,134.84
143,-71.50000,42.60000,305.18,93.02
144,-86.20000,44.50000,628.25,191.49
145,-83.90000,42.50000,918.60,279.99
146,-83.90000,42.40000,875.69,266.91
147,-83.90000,43.00000,764.83,233.12
148,-85.30000,42.60000,904.69,275.75
149,-85.30000,42.40000,949.64,289.45
150,-86.20000,42.60000,705.71,215.10
151,-95.90000,46.90000,1445.05,440.45
152,-96.10000,44.90000,1087.07,331.34
153,-96.20000,48.30000,1144.75,348.92
154,-96.90000,47.50000,867.98,264.56
155,-92.50000,44.10000,1031.04,314.26
156,-95.40000,45.80000,1422.83,433.68
157,-93.40000,44.40000,1099.93,335.26
158,-96.60000,45.70000,1089.76,332.16
159,-95.60000,46.00000,1351.44,411.92
160,-95.60000,45.80000,1416.04,431.61
161,-92.90000,45.40000,875.46,266.84
162,-91.30000,31.60000,216.37,65.95
163,-89.30000,30.90000,249.54,76.06
164,-88.80000,31.40000,197.47,60.19
165,-90.50000,32.40000,231.69,70.62
166,-88.90000,32.30000,326.51,99.52
167,-89.80000,31.40000,287.83,87.73
168,-89.50000,30.80000,334.84,102.06
169,-89.10000,31.40000,216.40,65.96
170,-89.70000,32.20000,407.15,124.10
171,-89.70000,31.90000,447.18,136.30
172,-89.10000,34.40000,316.70,96.53
173,-93.20000,37.40000,1186.55,361.66
174,-90.50000,36.70000,315.32,96.11
175,-90.30000,36.50000,302.00,92.05
176,-91.60000,40.10000,627.23,191.18
177,-90.20000,37.10000,513.71,156.58
178,-91.00000,38.90000,602.82,183.74
179,-93.30000,38.40000,837.20,255.18
