longitude,latitude
-87.7,43.8
-105.0,42.0
-67.8,18.1
-85.9,33.9
-88.0,32.2
-87.9,31.5
-86.9,33.9
-85.9,32.5
-87.9,32.8
-87.7,32.9
-87.1,34.5
-87.3,34.5
-86.8,35.0
-86.8,34.9
-86.5,34.5
-87.0,34.4
-85.3,32.2
-86.3,33.6
-87.4,34.0
-88.0,31.5
-149.8,61.1
-150.1,61.9
-146.0,61.1
-111.3,32.3
-112.3,33.5
-110.7,32.3
-114.6,35.0
-111.8,33.6
-114.4,34.0
-112.0,33.4
-109.9,32.3
-110.7,33.0
-92.6,35.3
-92.8,33.5
-90.2,35.5
-92.0,34.9
-91.6,34.0
-91.0,34.8
-91.1,35.9
-90.8,36.1
-92.4,33.1
-92.2,35.0
-91.6,35.2
-91.5,35.4
-94.0,36.3
-93.2,35.3
-91.5,33.3
-91.2,33.9
-90.8,34.5
-121.6,39.8
-122.2,39.3
-124.2,41.8
-121.9,39.5
-124.1,41.2
-124.1,41.3
-114.7,33.3
-118.4,34.8
-118.4,35.3
-122.5,38.8
-122.6,38.7
-118.4,34.5
-118.1,34.1
-118.1,34.7
-123.3,39.4
-119.2,38.0
-119.1,38.0
-121.8,36.8
-121.6,36.4
-121.5,36.6
-121.4,36.3
-121.0,39.9
-117.0,33.8
-117.3,33.7
-121.4,36.7
-121.3,36.8
-117.1,34.0
-117.0,34.1
-117.5,34.1
-117.3,32.9
-117.3,33.3
-121.9,37.2
-121.7,37.0
-121.7,40.9
-120.8,39.6
-123.1,41.8
-122.5,41.7
-122.5,41.4
-123.4,41.7
-122.2,38.2
-121.5,38.8
-122.3,40.2
-123.0,40.7
-119.4,34.4
-121.9,38.8
-121.8,38.8
-121.5,39.0
-121.1,39.4
-104.7,39.2
-106.9,39.7
-104.4,38.8
-107.8,39.5
-105.8,39.9
-105.9,40.1
-105.3,40.6
-105.3,40.3
-103.2,40.8
-108.3,37.6
-108.6,37.4
-103.5,37.8
-105.4,39.4
-102.2,40.6
-107.0,39.3
-102.6,38.1
-106.9,40.6
-72.3,41.5
-72.3,41.6
-72.2,41.8
-72.1,42.0
-72.4,41.8
-75.5,39.2
-75.5,39.1
-75.7,39.3
-85.7,30.4
-82.3,28.7
-82.0,28.7
-82.9,30.2
-80.4,26.8
-86.7,30.7
-82.9,29.5
-83.4,30.5
-80.5,27.0
-83.3,29.7
-87.4,30.7
-84.3,30.7
-81.1,26.6
-82.4,28.4
-83.2,30.7
-83.6,31.4
-85.1,33.0
-82.6,32.1
-83.8,31.5
-85.3,34.3
-85.1,34.4
-84.3,35.0
-85.2,33.6
-84.7,34.6
-83.3,31.7
-83.9,34.1
-85.1,33.3
-85.6,34.9
-157.8,21.6
-159.4,22.2
-116.2,47.3
-116.6,46.6
-116.6,48.1
-116.0,46.1
-116.0,47.5
-116.9,47.7
-112.2,42.8
-90.7,40.0
-88.3,40.3
-88.1,40.1
-90.4,39.3
-90.4,39.2
-90.9,40.8
-87.9,41.0
-88.9,41.0
-89.3,40.2
-90.9,40.4
-88.6,42.5
-88.5,42.4
-88.7,42.4
-88.9,40.5
-89.8,39.0
-89.5,41.0
-89.1,41.0
-90.3,39.7
-90.6,41.4
-88.6,37.7
-89.8,39.7
-89.3,39.8
-90.5,40.0
-89.8,42.5
-89.4,40.5
-87.8,40.1
-90.7,40.8
-88.4,38.5
-88.1,38.1
-86.9,40.7
-86.5,40.5
-86.5,40.4
-86.5,40.6
-86.5,40.8
-85.8,38.5
-84.9,39.2
-85.1,38.9
-85.5,40.3
-86.1,41.1
-85.7,40.4
-85.8,40.6
-85.4,40.9
-85.9,38.9
-87.1,41.3
-86.7,40.5
-85.7,39.5
-85.5,39.6
-86.6,41.2
-86.5,41.1
-87.9,38.1
-87.9,38.0
-87.1,41.5
-86.9,41.4
-86.6,39.4
-86.6,39.1
-86.0,40.8
-85.5,38.7
-87.6,38.6
-94.9,41.7
-96.1,42.2
-93.4,41.5
-96.5,42.9
-95.2,41.1
-95.4,41.0
-95.7,41.1
-92.9,42.1
-94.1,41.5
-92.3,41.7
-91.3,40.8
-92.2,42.6
-94.6,38.8
-95.9,37.6
-94.7,37.9
-97.1,37.8
-96.0,38.4
-95.7,37.3
-97.0,37.0
-94.7,37.5
-95.2,38.8
-96.8,38.2
-97.1,39.4
-96.7,37.2
-97.9,39.1
-100.0,37.7
-97.9,39.4
-85.3,36.8
-84.3,38.0
-83.6,38.4
-84.5,37.6
-84.8,37.9
-86.6,36.7
-83.7,37.8
-82.1,37.5
-83.9,38.2
