"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-83.60000,41.70000,618.08,188.39
2,-98.40000,34.90000,1287.89,392.55
3,-97.40000,35.20000,1176.38,358.56
4,-97.50000,35.20000,1093.73,333.37
5,-97.40000,35.30000,1117.75,340.69
6,-98.50000,34.60000,1217.91,371.22
7,-98.40000,34.60000,1092.13,332.88
8,-99.00000,35.50000,1610.47,490.87
9,-97.10000,36.70000,1001.41,305.23
10,-97.40000,35.80000,1168.08,356.03
11,-95.30000,35.80000,506.73,154.45
12,-95.20000,35.80000,581.76,177.32
13,-95.10000,35.50000,471.42,143.69
14,-96.00000,36.30000,628.12,191.45
15,-94.80000,36.90000,825.82,251.71
16,-95.00000,36.90000,795.28,242.40
17,-94.90000,36.90000,767.95,234.07
18,-97.90000,34.50000,1163.35,354.59
19,-96.00000,36.00000,629.36,191.83
20,-96.10000,36.10000,786.84,239.83
21,-96.00000,36.40000,643.73,196.21
22,-95.50000,35.90000,554.63,169.05
23,-96.00000,36.70000,692.06,210.94
24,-96.00000,36.80000,952.07,290.19
25,-95.90000,36.80000,706.14,215.23
26,-97.90000,35.10000,1196.65,364.74
27,-98.00000,35.10000,1113.68,339.45
28,-97.20000,34.70000,872.83,266.04
29,-97.50000,35.60000,1148.26,349.99
30,-97.30000,35.50000,1184.42,361.01
31,-97.70000,35.40000,1310.70,399.50
32,-95.50000,36.20000,714.24,217.70
33,-95.30000,36.30000,638.25,194.54
34,-96.20000,36.10000,898.26,273.79
35,-95.80000,35.90000,861.38,262.55
36,-97.20000,35.50000,1074.18,327.41
37,-97.60000,35.20000,1340.35,408.54
38,-97.80000,35.50000,1292.39,393.92
39,-95.30000,35.90000,557.64,169.97
40,-98.70000,34.60000,1282.28,390.84
41,-98.30000,34.70000,1278.08,389.56
42,-95.30000,35.70000,595.70,181.57
43,-94.80000,36.70000,919.00,280.11
44,-97.30000,35.10000,1119.59,341.25
45,-95.00000,36.50000,742.81,226.41
46,-97.60000,35.30000,1210.14,368.85
47,-97.60000,35.50000,1246.03,379.79
48,-95.80000,36.30000,675.56,205.91
49,-97.10000,36.10000,942.29,287.21
50,-95.90000,36.10000,726.87,221.55
51,-122.70000,45.40000,444.09,135.36
52,-122.60000,45.40000,314.47,95.85
53,-123.90000,45.90000,658.50,200.71
54,-123.30000,45.80000,728.87,222.16
55,-123.40000,46.00000,921.65,280.92
56,-123.20000,45.80000,742.85,226.42
57,-123.20000,45.90000,857.68,261.42
58,-124.00000,43.40000,1199.31,365.55
59,-124.20000,43.40000,6.36,1.94
