longitude,latitude
-89.5,34.4
-89.4,31.3
-89.4,31.2
-88.5,32.5
-88.6,32.4
-90.1,31.6
-88.7,34.4
-88.8,34.2
-88.7,34.2
-90.1,33.5
-90.2,33.6
-88.3,33.5
-88.6,33.5
-90.1,32.5
-89.8,31.3
-89.8,31.1
-89.9,31.3
-89.7,31.0
-89.8,31.2
-88.4,34.0
-88.8,33.5
-90.1,34.3
-89.7,30.8
-89.8,30.6
-89.4,30.9
-89.7,30.6
-89.4,30.8
-88.9,31.2
-90.5,31.0
-90.5,31.3
-90.5,31.2
-89.0,34.4
-90.3,34.2
-90.1,32.2
-89.4,32.5
-89.8,31.9
-89.2,30.9
-89.1,30.8
-89.1,30.9
-90.5,33.7
-90.1,34.1
-90.4,34.0
-90.0,34.0
-90.2,34.0
-88.9,34.7
-88.3,34.8
-90.5,34.7
-90.3,34.7
-90.4,34.7
-90.1,31.1
-90.2,31.1
-91.0,32.4
-90.9,33.3
-91.0,33.3
-91.3,31.0
-91.2,31.1
-91.6,31.2
-91.5,31.3
-91.1,31.1
-91.4,31.3
-90.6,32.7
-90.4,33.0
-90.4,32.7
-94.5,38.8
-91.9,40.4
-91.6,40.4
-94.3,38.8
-94.3,39.3
-94.2,39.3
-94.5,39.4
-91.2,37.0
-91.0,37.0
-92.0,38.5
-92.2,38.5
-92.3,38.6
-92.0,38.6
-93.5,39.4
-93.8,39.5
-91.3,37.9
-91.5,37.8
-94.1,40.1
-94.0,39.9
-94.5,39.8
-90.1,36.0
-91.3,38.7
-91.0,38.4
-90.8,38.5
-91.0,38.6
-91.0,38.3
-90.8,38.4
-90.9,38.4
-91.0,38.5
-90.9,38.5
-91.1,38.3
-89.7,37.3
-91.4,38.7
-91.6,38.3
-91.6,38.5
-91.4,38.4
-93.5,37.1
-93.3,37.2
-93.2,37.2
-93.5,37.2
-93.9,40.5
-95.2,40.0
-89.6,37.3
-95.4,40.2
-95.2,40.1
-95.5,40.2
-95.3,40.0
-92.8,39.0
-92.7,39.0
-89.8,37.2
-94.4,39.1
-94.5,38.9
-92.8,38.0
-92.0,38.8
-94.3,39.1
-94.3,38.9
-91.9,38.6
-91.9,38.7
-94.5,37.2
-91.9,38.9
-94.3,37.2
-94.6,37.2
-94.1,37.1
-90.4,38.4
-90.7,38.3
-90.7,38.4
-90.4,38.2
-90.6,38.4
-90.6,38.3
-90.4,36.8
-90.5,36.9
-90.5,38.1
-90.2,36.6
-90.3,36.6
-90.3,36.7
-90.3,36.8
-90.5,38.3
-90.6,38.2
-95.0,39.6
-93.6,38.8
-93.9,39.2
-91.5,40.1
-90.8,39.1
-90.8,38.9
-90.8,39.0
-91.0,39.0
-90.7,39.1
-91.0,39.1
-92.3,39.2
-92.2,39.0
-92.4,39.0
-92.3,38.7
-92.3,39.0
-92.4,38.9
-90.0,37.3
-90.1,37.3
-93.3,38.3
-94.4,38.3
-94.3,38.3
-94.4,38.1
-94.2,36.6
-91.9,39.2
-95.4,40.4
-95.6,40.4
-95.6,40.5
-95.2,40.5
-95.0,39.9
-94.9,39.9
-94.4,36.6
-90.3,37.6
-91.9,38.1
-91.8,38.2
-91.9,38.2
-91.8,38.1
-91.5,39.8
-92.6,40.2
-92.4,38.2
-92.6,38.4
-92.6,38.2
-89.2,36.8
-89.4,36.7
-89.2,36.6
-92.5,38.8
-92.0,39.5
-91.5,38.7
-91.5,38.8
-89.8,36.6
-89.7,36.8
-89.5,36.6
-89.7,36.4
-89.6,36.5
-94.4,36.9
-91.7,38.5
-92.1,38.4
-91.8,38.6
-91.9,38.5
-91.8,38.5
-91.7,38.4
-91.8,38.4
-89.8,36.2
-89.6,36.1
-89.9,36.3
-89.7,37.6
-89.8,37.8
-89.9,37.7
-92.0,38.0
-91.7,37.9
-91.8,37.9
-91.9,37.9
-90.9,39.3
-94.6,39.2
-94.8,39.4
-92.0,37.7
-93.8,39.3
-90.6,38.7
-90.8,37.5
-91.0,37.2
-90.8,36.6
-90.7,38.7
-90.6,38.6
-90.0,38.0
-90.1,38.0
-91.1,38.6
-91.4,38.8
-91.2,38.8
-90.5,38.0
-93.3,36.6
-93.2,36.6
-93.2,36.8
-93.4,36.8
-93.4,36.7
-89.9,37.1
-90.1,37.0
-90.2,36.8
-90.3,36.9
-91.3,37.0
-91.4,37.2
-89.5,37.2
-89.7,37.0
-89.5,36.9
-89.4,37.1
-90.2,38.8
-90.5,37.0
-90.8,37.9
-90.7,38.1
-108.8,45.6
-111.7,47.5
-114.3,48.2
-109.2,48.6
-114.0,48.1
-113.1,46.7
-112.3,46.3
-111.9,46.6
-114.0,46.9
-113.9,46.8
-108.6,46.4
-110.6,45.7
-110.9,47.4
-111.2,47.5
-108.8,45.5
-107.9,48.4
-111.3,47.5
-111.5,47.5
-108.9,45.6
-112.2,47.8
-106.7,48.2
-106.1,48.4
-96.0,41.5
-97.3,41.4
-95.7,40.5
-95.8,40.4
-95.9,40.4
-97.0,42.2
-101.0,41.1
-101.1,41.2
-96.7,40.8
-95.9,41.1
-98.2,42.8
-97.9,41.6
-98.4,42.9
-99.1,41.0
-96.1,41.7
-96.1,41.8
-96.2,42.0
-97.0,41.1
-95.8,40.8
-95.9,41.0
-96.0,40.8
-96.1,40.9
-102.1,41.3
-96.1,41.0
-97.0,41.7
-97.1,41.5
-97.0,41.5
-96.8,41.9
-96.4,42.4
-99.6,40.7
-96.8,41.7
-96.7,41.7
-96.3,41.4
-96.0,41.3
-96.1,41.3
-96.3,41.1
-96.3,41.2
-96.0,41.4
-96.3,41.3
-96.4,41.3
-96.1,41.1
-96.4,41.1
-103.7,41.9
-97.1,40.9
-96.2,41.1
-96.4,41.2
-100.7,40.2
-96.1,41.6
-119.9,39.5
-114.4,36.5
-115.6,36.3
-115.1,36.1
-120.0,39.2
-119.7,39.4
-119.7,39.2
-119.8,39.2
-119.8,39.0
-119.8,38.8
-119.8,38.9
-115.1,36.0
-115.3,36.1
-119.6,39.5
-71.9,43.2
-72.4,43.1
-71.2,43.8
-71.2,42.8
-71.6,43.3
-71.4,43.2
