"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-117.10000,32.90000,609.74,185.85
2,-117.70000,33.40000,0.00,0.00
3,-120.10000,39.40000,5599.25,1706.65
4,-106.90000,38.80000,8945.51,2726.59
5,-104.90000,37.90000,6481.37,1975.52
6,-104.90000,40.30000,4942.13,1506.36
7,-106.00000,39.60000,9148.92,2788.59
8,-73.30000,41.30000,454.72,138.60
9,-85.40000,30.30000,75.72,23.08
10,-82.40000,28.90000,95.01,28.96
11,-81.70000,29.90000,98.36,29.98
12,-81.90000,30.20000,79.49,24.23
13,-81.40000,29.50000,21.06,6.42
14,-81.30000,29.30000,26.87,8.19
15,-85.30000,30.00000,15.12,4.61
16,-81.50000,27.60000,131.96,40.22
17,-82.10000,27.90000,107.55,32.78
18,-85.30000,30.60000,273.92,83.49
19,-83.10000,30.00000,70.44,21.47
20,-82.70000,29.10000,8.73,2.66
21,-82.20000,27.40000,66.57,20.29
22,-81.00000,27.40000,41.67,12.70
23,-82.10000,28.50000,75.23,22.93
24,-87.10000,30.80000,213.48,65.07
25,-82.00000,28.90000,53.84,16.41
26,-83.70000,30.00000,12.20,3.72
27,-84.10000,34.10000,986.71,300.75
28,-81.80000,28.90000,57.87,17.64
29,-82.40000,30.00000,135.56,41.32
30,-82.30000,30.00000,125.43,38.23
31,-81.30000,29.60000,29.20,8.90
32,-81.70000,26.50000,22.21,6.77
33,-81.20000,29.20000,33.20,10.12
34,-82.00000,31.30000,48.39,14.75
35,-82.20000,33.60000,257.61,78.52
36,-81.30000,32.20000,53.28,16.24
37,-84.90000,34.40000,800.23,243.91
38,-81.60000,31.90000,82.15,25.04
39,-81.30000,31.50000,2.95,0.90
40,-84.70000,31.20000,163.29,49.77
41,-83.80000,33.10000,430.97,131.36
42,-83.60000,34.90000,2906.92,886.03
43,-85.20000,34.70000,947.05,288.66
44,-82.40000,31.20000,140.16,42.72
45,-81.90000,31.60000,100.98,30.78
46,-83.30000,30.80000,215.98,65.83
47,-83.70000,32.50000,359.51,109.58
48,-84.20000,34.70000,2431.92,741.25
49,-83.80000,34.30000,1201.84,366.32
50,-84.60000,31.30000,191.57,58.39
51,-83.50000,30.80000,143.57,43.76
52,-84.70000,33.70000,903.90,275.51
53,-84.20000,31.40000,173.23,52.80
54,-84.70000,34.20000,1035.89,315.74
55,-82.10000,32.00000,183.40,55.90
56,-82.20000,32.10000,137.50,41.91
57,-83.10000,31.10000,176.61,53.83
58,-116.60000,48.20000,2409.91,734.54
59,-114.30000,43.70000,6542.39,1994.12
60,-111.20000,43.80000,5982.19,1823.37
61,-89.70000,38.50000,428.38,130.57
62,-90.30000,40.50000,620.31,189.07
63,-88.90000,41.40000,628.81,191.66
64,-89.20000,40.80000,744.09,226.80
65,-89.40000,40.40000,652.89,199.00
66,-90.20000,39.80000,602.72,183.71
67,-85.30000,40.30000,954.92,291.06
68,-85.40000,40.30000,906.92,276.43
69,-86.00000,41.50000,862.30,262.83
70,-85.80000,40.00000,863.16,263.09
71,-86.30000,39.40000,838.42,255.55
72,-85.60000,39.00000,731.99,223.11
73,-87.20000,39.60000,615.29,187.54
74,-86.20000,40.10000,944.03,287.74
75,-91.40000,40.60000,530.28,161.63
76,-91.80000,41.90000,850.98,259.38
77,-91.90000,43.20000,1229.82,374.85
78,-93.60000,42.80000,1176.51,358.60
79,-91.80000,43.10000,1105.54,336.97
80,-94.30000,41.60000,1130.91,344.70
81,-91.90000,41.80000,744.59,226.95
82,-90.30000,42.20000,629.20,191.78
83,-92.50000,40.90000,762.57,232.43
84,-97.00000,37.20000,-9999,-9999
85,-99.40000,37.90000,2172.01,662.03
86,-95.00000,38.80000,1014.44,309.20
87,-94.80000,39.00000,803.58,244.93
88,-98.10000,37.60000,1579.33,481.38
89,-97.20000,37.60000,1341.40,408.86
90,-84.00000,38.80000,799.61,243.72
91,-84.80000,38.80000,454.46,138.52
92,-87.10000,37.60000,507.97,154.83
93,-86.00000,38.00000,393.57,119.96
94,-83.80000,37.00000,1143.77,348.62
95,-83.00000,37.70000,1205.91,367.56
96,-83.10000,37.80000,907.87,276.72
97,-87.10000,37.30000,389.04,118.58
98,-85.40000,38.10000,693.18,211.28
99,-86.50000,37.00000,509.78,155.38
100,-87.90000,37.50000,554.17,168.91
101,-85.80000,37.30000,590.65,180.03
102,-89.00000,36.90000,357.32,108.91
103,-86.60000,36.80000,649.48,197.96
104,-85.10000,37.80000,811.88,247.46
105,-83.20000,37.20000,1282.38,390.87
106,-92.00000,31.00000,45.96,14.01
107,-92.00000,31.70000,184.84,56.34
108,-91.80000,32.00000,64.70,19.72
109,-92.60000,31.50000,77.92,23.75
110,-91.60000,30.50000,14.63,4.46
111,-92.70000,31.30000,107.28,32.70
112,-90.70000,30.70000,120.01,36.58
113,-91.20000,30.80000,170.05,51.83
114,-69.10000,44.10000,-6.89,-2.10
115,-70.40000,44.50000,469.95,143.24
116,-70.10000,43.80000,-5.25,-1.60
117,-76.60000,38.60000,61.61,18.78
118,-76.80000,38.40000,96.65,29.46
119,-76.80000,38.50000,174.48,53.18
120,-75.50000,38.30000,50.52,15.40
121,-72.30000,42.20000,544.16,165.86
122,-72.90000,42.40000,1304.59,397.64
123,-71.70000,42.60000,401.97,122.52
124,-83.50000,45.00000,619.55,188.84
125,-90.10000,46.50000,1549.67,472.34
126,-84.30000,43.70000,637.53,194.32
127,-82.50000,42.90000,629.92,192.00
128,-86.20000,42.10000,819.82,249.88
