longitude,latitude
-116.3,46.5
-117.0,44.2
-113.9,45.2
-116.5,47.5
-116.3,47.5
-114.5,42.6
-116.9,46.9
-112.1,43.7
-116.2,45.0
-89.5,37.6
-89.3,37.8
-89.2,37.9
-90.3,40.0
-88.3,40.1
-88.2,40.1
-88.8,40.1
-88.2,39.8
-90.0,40.6
-88.2,37.7
-88.1,37.8
-88.1,37.9
-88.5,41.4
-91.4,40.2
-90.2,41.5
-88.2,42.1
-88.5,41.7
-90.1,41.0
-90.3,41.0
-89.1,41.5
-89.0,41.6
-89.3,41.7
-89.6,41.7
-88.4,42.4
-88.6,42.3
-88.6,40.6
-89.0,40.3
-88.8,40.6
-89.1,39.7
-89.0,39.9
-89.8,38.8
-89.0,38.6
-89.3,42.0
-89.1,42.1
-89.2,42.1
-88.5,39.8
-91.1,39.6
-89.8,37.9
-89.8,38.6
-89.6,39.9
-89.4,37.4
-87.9,39.9
-88.4,38.4
-88.0,38.0
-90.1,41.9
-90.1,41.6
-89.1,37.8
-89.2,42.3
-86.8,41.7
-86.7,38.8
-86.5,38.9
-85.2,40.9
-85.1,41.2
-85.6,41.1
-85.0,39.9
-85.3,41.1
-86.1,39.3
-86.3,40.8
-86.2,40.7
-85.8,38.6
-85.8,40.8
-86.5,38.3
-85.0,41.4
-85.5,40.1
-85.1,39.6
-87.4,39.6
-87.4,40.0
-87.5,38.4
-86.4,39.9
-86.4,39.7
-86.3,40.4
-85.8,38.9
-85.8,39.0
-86.1,40.3
-85.2,38.7
-85.1,41.7
-86.7,41.3
-87.2,37.9
-85.7,39.4
-85.9,38.6
-86.1,41.6
-86.3,41.7
-86.7,41.0
-86.9,41.6
-86.5,38.5
-85.4,38.7
-86.0,39.5
-87.2,38.9
-85.7,41.2
-85.4,41.6
-85.5,41.7
-91.8,41.5
-91.6,41.3
-90.7,41.6
-90.5,41.6
-93.8,41.6
-93.5,41.7
-96.4,42.6
-91.0,41.5
-91.2,41.4
-92.9,42.0
-92.9,41.4
-91.7,42.1
-92.4,41.4
-91.4,42.1
-91.5,41.6
-91.6,41.8
-92.9,42.2
-92.8,42.4
-95.6,40.6
-93.2,42.9
-94.0,41.6
-95.3,42.1
-95.1,43.1
-95.5,42.7
-93.4,43.1
-91.3,41.8
-92.8,42.6
-92.1,42.6
-92.2,42.5
-92.4,42.6
-98.0,38.2
-98.8,38.3
-95.1,38.9
-97.6,37.6
-97.7,38.4
-97.1,37.3
-97.5,38.8
-96.9,37.6
-97.2,37.8
-98.3,39.1
-99.6,38.8
-95.1,37.2
-98.2,38.7
-101.0,38.0
-95.4,38.6
-96.3,37.8
-97.3,38.1
-95.1,37.4
-98.6,37.3
-95.1,37.3
-97.6,37.8
-84.2,37.9
-84.1,37.8
-86.9,37.7
-85.2,37.7
-87.9,37.7
-88.0,37.5
-85.2,38.2
-83.3,38.3
-84.0,37.9
-82.5,37.6
-85.0,37.9
-85.9,38.1
-89.1,37.1
-89.0,37.1
-89.1,37.0
-83.7,36.7
-84.3,37.7
-82.8,37.1
-83.8,36.8
-83.4,36.9
-84.4,37.8
-85.2,38.4
-87.4,36.8
-92.6,30.5
-92.8,30.9
-94.0,32.8
-93.8,32.3
-94.0,32.7
-91.6,31.8
-91.7,31.9
-93.7,32.0
-91.2,32.6
-92.4,30.8
-92.7,31.6
-91.4,30.4
-92.0,32.8
-91.8,32.8
-93.0,32.0
-92.3,31.6
-90.5,30.2
-91.1,32.0
-91.5,31.8
-91.3,31.9
-92.3,32.7
-93.3,31.3
-90.2,30.7
-92.9,31.8
-92.9,32.0
-92.6,31.8
-98.8,27.4
-89.3,29.3
-70.2,43.7
-70.4,43.9
-69.6,43.8
-68.0,46.7
-68.3,46.0
-69.9,44.2
-70.1,44.1
-69.9,45.3
-70.6,43.4
-70.1,44.7
-76.6,38.5
-75.8,39.5
-77.3,39.7
-77.2,39.4
-79.2,39.5
-79.3,39.7
-79.4,39.6
-79.4,39.4
-79.3,39.5
-76.8,39.2
-75.8,39.3
-75.6,38.3
-70.1,42.0
-70.9,41.7
-72.8,42.0
-72.2,42.0
-72.7,42.4
-72.2,42.3
-71.5,42.4
-71.3,42.2
-72.0,42.4
-72.1,42.4
-83.4,42.4
-83.7,42.2
-84.2,43.3
-85.4,43.9
-83.2,42.7
-83.4,42.0
-83.4,43.0
-84.2,42.1
-85.0,43.7
-83.3,44.5
-84.4,42.6
-84.2,42.5
-84.3,42.7
-85.4,44.7
-83.8,43.1
-84.9,42.6
-85.0,42.2
-86.4,42.0
-86.4,42.2
-85.3,42.7
-85.9,42.4
-93.9,45.7
-93.1,45.4
-94.9,47.0
-94.9,45.1
-97.1,48.7
-93.6,45.7
-95.7,46.4
-95.8,46.6
-93.4,45.0
-95.8,48.8
-92.4,44.2
-92.9,44.8
-96.4,46.1
-91.7,44.0
-93.8,45.3
-94.1,45.3
-96.6,46.7
-96.6,46.9
-96.7,47.0
-93.0,45.7
-95.7,44.9
-88.6,34.9
-90.9,31.2
-89.4,33.8
-88.6,33.6
-89.2,31.3
-90.9,31.5
-91.0,32.7
-91.0,32.9
-89.0,31.8
-89.4,31.1
-89.6,31.4
-88.8,32.3
-88.7,32.3
-89.3,32.8
-90.5,31.4
-90.3,32.6
-88.5,33.8
-90.0,34.3
-90.2,34.5
-89.9,34.3
-89.6,30.8
-90.4,31.2
-90.2,34.4
-89.9,32.5
-89.9,32.0
-90.5,33.6
-89.0,34.7
-90.2,31.0
-90.8,32.3
-90.9,32.2
-90.4,32.8
-82.4,35.3
-93.1,39.6
-94.4,39.2
-94.5,38.6
-92.2,38.4
-94.5,39.7
-90.3,36.0
-91.2,38.4
-93.3,37.1
-93.5,38.0
-95.5,40.3
-92.9,39.1
-92.0,37.0
-89.8,37.4
-89.7,37.2
-92.9,38.2
-90.5,36.6
-89.9,37.3
-94.3,37.5
-95.6,40.3
-94.4,36.7
-91.3,38.9
-92.8,38.2
-89.7,36.9
-93.2,38.7
-91.2,39.3
-94.7,39.3
-92.1,37.9
-91.0,37.3
-90.1,37.7
-93.6,36.9
-91.5,37.0
-90.8,38.8
-90.7,38.0
-90.1,37.9
-107.8,45.5
-112.7,45.2
-114.3,48.3
-115.4,48.0
-114.3,47.1
-108.9,45.5
-111.6,47.5
-112.7,46.4
-111.3,47.4
-108.8,48.5
-111.3,46.3
-109.5,45.7
-106.3,48.2
-108.8,45.7
-108.6,45.8
-99.3,40.4
-98.1,40.0
-96.2,41.6
-96.8,41.0
-96.5,40.9
-98.4,42.8
-99.2,40.7
-98.9,40.7
-96.1,41.9
-96.8,40.3
-97.0,41.8
-96.1,41.2
-97.4,41.4
-114.5,36.6
-115.2,36.1
-115.3,36.3
-119.3,39.6
-119.7,39.1
-120.0,39.5
-72.2,42.9
-72.4,42.8
-71.6,43.4
-71.9,43.1
-72.1,43.6
-72.1,43.5
-72.3,43.6
-72.5,42.8
-74.7,39.4
-74.9,39.8
-74.8,39.3
-75.0,39.4
-74.5,41.2
-74.5,41.0
-74.2,39.5
-74.3,40.0
-74.3,39.8
-108.9,33.3
-105.6,36.4
-105.6,33.3
-74.8,42.0
-73.9,42.0
-78.7,42.8
-73.7,43.8
-74.2,43.2
-74.0,42.4
-74.2,42.3
-75.8,44.4
-79.4,42.1
-76.5,42.8
-78.8,42.2
-78.6,42.1
-75.9,42.3
-77.6,42.6
-74.7,42.9
-78.3,42.2
-77.8,42.1
-75.6,42.3
-73.5,44.7
-73.5,42.2
-75.8,42.6
-75.5,44.6
-74.2,42.8
-76.9,42.4
-76.9,42.7
-72.2,41.1
-72.9,40.9
-74.6,41.7
-74.4,41.6
-76.7,42.5
-74.4,41.8
-74.1,41.6
-74.0,41.8
-74.2,42.0
-73.4,43.6
-73.6,43.3
-73.3,43.4
-77.0,43.2
-78.4,42.5
-77.1,42.6
-77.1,42.7
-79.6,41.3
-76.3,43.0
-76.2,43.3
-76.1,43.5
-75.3,42.6
-75.0,42.6
-74.7,42.8
-73.6,42.5
-81.7,36.5
-77.2,36.5
-77.3,36.4
-77.6,34.7
-79.1,36.1
-76.2,36.1
-77.2,35.7
-78.9,34.6
-79.7,36.4
-79.7,36.3
-80.4,35.7
-82.1,35.5
-82.0,35.4
-78.4,34.8
-78.5,35.2
-83.4,35.5
-78.7,35.6
-79.0,35.7
-76.8,35.8
-76.5,35.9
-77.0,36.0
-78.5,34.8
-78.6,34.8
-78.2,34.0
-80.7,35.5
-79.4,35.6
-84.0,35.1
-81.6,35.3
-79.0,34.3
-77.4,35.2
-80.3,35.9
-78.1,34.8
-77.7,34.9
-77.7,35.9
-77.6,36.0
-76.8,36.4
-77.7,35.4
-77.7,36.5
-77.6,36.4
-77.6,36.5
-78.8,35.4
-79.2,35.0
-79.1,35.0
-78.5,35.6
-77.7,35.2
-77.4,35.3
-77.7,35.1
-80.9,35.4
-82.1,36.0
-79.5,35.2
-79.2,35.2
-77.7,36.1
-97.7,48.8
-99.0,48.2
-97.3,46.4
