longitude,latitude
-79.8,36.0
-79.9,36.1
-80.0,35.9
-79.7,36.0
-82.9,35.6
-82.3,35.5
-77.0,36.5
-77.1,36.4
-79.4,35.0
-76.1,35.5
-76.4,35.6
-76.3,35.6
-78.3,35.6
-78.5,35.7
-78.4,35.6
-78.5,35.4
-77.8,35.3
-77.7,35.0
-82.0,35.6
-82.7,35.8
-77.3,35.8
-80.9,35.5
-82.1,35.9
-78.0,36.0
-97.3,48.9
-97.2,49.0
-97.0,46.7
-99.2,48.4
-97.6,46.6
-101.8,48.8
-96.9,46.1
-98.7,47.0
-99.2,47.8
-97.9,48.3
-101.1,48.2
-96.9,47.1
-97.1,46.8
-101.5,47.9
-101.6,48.4
-103.7,48.4
-101.4,47.6
-97.9,46.9
-98.8,48.0
-99.1,48.1
-100.7,46.8
-81.1,41.8
-82.4,38.6
-82.5,38.5
-82.3,38.5
-82.7,40.3
-82.0,41.4
-82.1,41.2
-83.7,41.6
-80.6,41.1
-80.8,41.0
-83.2,40.4
-82.0,41.0
-82.0,39.1
-84.6,40.5
-84.4,39.6
-82.1,39.9
-82.8,41.5
-82.3,39.8
-83.1,39.1
-81.3,41.1
-84.7,39.6
-84.1,41.1
-82.6,40.7
-83.1,39.3
-82.9,41.3
-82.8,38.7
-83.1,38.9
-83.2,41.1
-84.4,40.3
-84.2,40.2
-81.5,40.8
-81.4,40.7
-81.5,41.0
-83.4,40.2
-84.6,40.7
-84.6,40.9
-84.5,40.9
-82.6,39.3
-81.3,39.5
-81.6,39.4
-82.1,40.7
-83.6,41.4
-83.4,41.2
-83.3,40.9
-83.5,38.7
-83.5,38.9
-84.1,40.7
-80.6,42.0
-84.2,40.6
-84.4,40.6
-84.6,39.6
-83.8,40.1
-84.0,40.0
-84.2,39.1
-84.1,38.8
-84.3,38.9
-84.1,39.2
-80.7,40.9
-80.6,40.7
-81.7,41.4
-84.6,40.0
-84.5,40.2
-84.3,41.3
-82.5,41.4
-82.4,39.7
-83.0,39.9
-83.0,40.1
-83.2,39.8
-83.9,41.6
-82.2,38.9
-81.3,41.6
-81.1,41.5
-81.6,40.2
-81.3,40.0
-81.7,40.1
-81.5,40.0
-83.6,40.6
-84.1,41.4
-84.1,41.3
-84.1,41.2
-82.7,39.5
-82.4,39.5
-82.3,39.4
-82.0,40.6
-82.6,39.2
-82.6,38.9
-81.2,41.8
-95.2,36.6
-98.5,34.7
-94.7,36.4
-98.6,34.8
-97.3,36.9
-99.0,34.7
