longitude,latitude
-83.6,41.7
-98.4,34.9
-97.4,35.2
-97.5,35.2
-97.4,35.3
-98.5,34.6
-98.4,34.6
-99.0,35.5
-97.1,36.7
-97.4,35.8
-95.3,35.8
-95.2,35.8
-95.1,35.5
-96.0,36.3
-94.8,36.9
-95.0,36.9
-94.9,36.9
-97.9,34.5
-96.0,36.0
-96.1,36.1
-96.0,36.4
-95.5,35.9
-96.0,36.7
-96.0,36.8
-95.9,36.8
-97.9,35.1
-98.0,35.1
-97.2,34.7
-97.5,35.6
-97.3,35.5
-97.7,35.4
-95.5,36.2
-95.3,36.3
-96.2,36.1
-95.8,35.9
-97.2,35.5
-97.6,35.2
-97.8,35.5
-95.3,35.9
-98.7,34.6
-98.3,34.7
-95.3,35.7
-94.8,36.7
-97.3,35.1
-95.0,36.5
-97.6,35.3
-97.6,35.5
-95.8,36.3
-97.1,36.1
-95.9,36.1
-122.7,45.4
-122.6,45.4
-123.9,45.9
-123.3,45.8
-123.4,46.0
-123.2,45.8
-123.2,45.9
-124.0,43.4
-124.2,43.4
-123.4,43.2
-124.1,43.7
-124.0,44.9
-123.9,44.9
-124.1,44.4
-122.8,45.2
-122.7,45.5
-123.9,45.7
-124.0,45.2
-124.0,45.1
-123.8,45.5
-118.8,45.6
-117.9,45.2
-122.8,45.5
-123.0,45.5
-123.5,45.1
-122.5,45.4
-122.7,45.2
-122.5,45.1
-122.4,45.3
-122.4,45.4
-123.1,42.5
-123.1,42.6
-123.2,42.4
-124.0,44.0
-123.9,44.0
-122.9,44.1
-77.1,39.9
-77.0,39.9
-80.0,40.4
-80.0,40.3
-80.1,40.4
-79.9,40.3
-80.2,40.4
-79.8,40.4
-79.8,40.5
-79.9,40.4
-79.5,40.8
-80.2,40.6
-80.3,40.8
-75.7,40.3
-76.0,40.4
-75.9,40.3
-76.0,40.5
-78.4,40.4
-76.5,42.0
-76.9,41.7
-76.5,41.7
-76.3,41.9
-75.2,40.3
-74.9,40.2
-75.0,40.2
-75.3,40.4
-75.1,40.3
-75.4,40.4
-74.9,40.3
-75.1,40.5
-79.6,40.2
-75.1,40.2
-75.2,40.2
-79.9,40.9
-80.1,40.8
-78.7,40.6
-78.6,40.6
-78.9,40.3
-78.7,40.4
-78.2,41.5
-75.8,40.0
-75.7,40.0
-75.6,40.0
-75.6,40.2
-75.7,40.2
-75.6,39.9
-75.5,40.1
-77.5,41.1
-76.5,41.0
-76.4,41.0
-76.5,40.9
-79.7,41.6
-76.9,40.2
-77.0,40.2
-77.0,40.3
-77.2,40.1
-76.9,40.3
-76.7,40.3
-76.6,40.3
-76.7,40.4
-76.8,40.2
-76.7,40.2
-76.8,40.3
-76.7,40.6
-77.0,40.4
-76.8,40.4
-76.9,40.4
-75.4,39.9
-75.3,39.9
-75.3,40.0
-78.7,41.4
-78.1,40.6
-78.0,40.5
-78.0,40.2
-79.0,40.7
-79.2,40.7
-79.2,40.6
-79.3,40.7
-75.7,41.4
-76.1,40.2
-76.4,40.1
-76.3,40.1
-76.2,40.2
-76.3,40.0
-76.3,40.2
-76.4,40.2
-76.6,40.1
-76.5,40.3
-76.4,40.3
-76.3,40.4
-75.5,40.5
-75.6,40.5
-76.0,41.0
-75.9,41.0
-76.1,41.1
-75.8,41.4
-75.8,41.3
-75.9,41.2
-75.9,41.3
-76.0,41.2
-76.2,41.1
-76.1,41.2
-75.9,41.1
-77.3,41.2
-77.1,41.4
-77.1,41.3
-76.9,41.2
-76.9,41.3
-76.8,41.2
-77.0,41.3
-76.7,41.3
-76.9,41.4
-76.8,41.4
-77.0,41.2
-76.7,41.2
-77.7,40.7
-77.8,40.4
-75.1,40.1
-75.2,40.1
-75.3,40.3
-75.3,40.1
-75.0,40.1
-75.5,40.2
-75.4,40.1
-75.4,40.6
-75.3,40.6
-76.8,40.7
-76.6,40.8
-76.8,40.9
-75.2,40.0
-76.4,40.6
-76.2,40.7
-76.2,40.6
-75.6,42.0
-77.1,41.8
-76.9,41.0
-79.9,41.4
-79.9,40.1
-80.2,40.2
-75.2,41.5
-79.2,40.2
-79.3,40.3
-79.7,40.3
-79.8,40.3
-76.0,41.5
-75.9,41.5
-75.9,41.4
-76.2,41.6
-75.9,41.6
-76.7,40.1
-76.8,40.1
-76.8,40.0
-76.9,40.1
-76.6,40.0
-76.5,40.0
-76.9,39.9
-76.6,41.2
-76.4,41.8
-75.5,40.8
-76.4,41.1
-76.2,40.8
-76.1,41.6
-76.9,41.1
-76.5,40.4
-76.8,40.8
-76.9,40.8
-77.0,39.8
-76.9,40.9
-75.0,40.3
-80.0,40.5
-79.9,40.5
-80.2,40.8
-75.9,40.4
-80.1,40.5
-80.2,40.5
-80.3,40.4
-76.5,41.9
-76.5,41.8
-76.8,42.0
-76.1,40.3
-76.2,41.7
-75.3,40.5
-78.1,41.3
-76.7,39.8
-76.9,41.6
-76.1,40.7
-79.6,40.4
-79.7,40.8
-75.7,42.0
-78.5,40.0
-79.8,40.7
-79.8,40.6
-78.5,40.1
-78.6,40.2
-78.6,40.1
-78.2,40.2
-78.7,39.9
-79.8,42.3
-78.3,40.4
-80.0,40.8
-78.8,40.3
-75.9,39.8
-78.5,40.8
-78.6,41.2
-76.4,41.2
-76.3,41.1
-78.7,41.3
-78.7,41.6
-79.9,39.7
-79.8,39.9
-79.2,41.3
-78.1,40.1
-79.0,40.5
-78.8,41.2
-76.2,40.1
-76.4,40.0
-80.3,41.0
-76.5,40.5
-75.3,40.9
-75.2,41.0
-75.4,40.2
-75.5,40.3
-75.0,41.2
-78.2,41.8
-76.6,40.6
-76.7,40.7
-76.0,40.8
-76.0,40.6
-78.9,40.1
-77.0,40.9
-79.1,41.9
-80.0,40.0
-80.2,40.3
-80.4,40.3
-80.4,40.4
-75.3,41.9
-75.1,41.8
-79.3,40.2
-79.8,40.2
-76.0,41.6
-76.6,39.9
-75.4,40.7
-76.0,40.0
-79.6,40.8
-79.7,41.5
-76.8,41.0
-71.2,41.6
-71.5,41.8
-71.5,41.9
-71.4,41.9
-71.6,41.7
