longitude,latitude
-117.1,32.9
-117.7,33.4
-120.1,39.4
-106.9,38.8
-104.9,37.9
-104.9,40.3
-106.0,39.6
-73.3,41.3
-85.4,30.3
-82.4,28.9
-81.7,29.9
-81.9,30.2
-81.4,29.5
-81.3,29.3
-85.3,30.0
-81.5,27.6
-82.1,27.9
-85.3,30.6
-83.1,30.0
-82.7,29.1
-82.2,27.4
-81.0,27.4
-82.1,28.5
-87.1,30.8
-82.0,28.9
-83.7,30.0
-84.1,34.1
-81.8,28.9
-82.4,30.0
-82.3,30.0
-81.3,29.6
-81.7,26.5
-81.2,29.2
-82.0,31.3
-82.2,33.6
-81.3,32.2
-84.9,34.4
-81.6,31.9
-81.3,31.5
-84.7,31.2
-83.8,33.1
-83.6,34.9
-85.2,34.7
-82.4,31.2
-81.9,31.6
-83.3,30.8
-83.7,32.5
-84.2,34.7
-83.8,34.3
-84.6,31.3
-83.5,30.8
-84.7,33.7
-84.2,31.4
-84.7,34.2
-82.1,32.0
-82.2,32.1
-83.1,31.1
-116.6,48.2
-114.3,43.7
-111.2,43.8
-89.7,38.5
-90.3,40.5
-88.9,41.4
-89.2,40.8
-89.4,40.4
-90.2,39.8
-85.3,40.3
-85.4,40.3
-86.0,41.5
-85.8,40.0
-86.3,39.4
-85.6,39.0
-87.2,39.6
-86.2,40.1
-91.4,40.6
-91.8,41.9
-91.9,43.2
-93.6,42.8
-91.8,43.1
-94.3,41.6
-91.9,41.8
-90.3,42.2
-92.5,40.9
-97.0,37.2
-99.4,37.9
-95.0,38.8
-94.8,39.0
-98.1,37.6
-97.2,37.6
-84.0,38.8
-84.8,38.8
-87.1,37.6
-86.0,38.0
-83.8,37.0
-83.0,37.7
-83.1,37.8
-87.1,37.3
-85.4,38.1
-86.5,37.0
-87.9,37.5
-85.8,37.3
-89.0,36.9
-86.6,36.8
-85.1,37.8
-83.2,37.2
-92.0,31.0
-92.0,31.7
-91.8,32.0
-92.6,31.5
-91.6,30.5
-92.7,31.3
-90.7,30.7
-91.2,30.8
-69.1,44.1
-70.4,44.5
-70.1,43.8
-76.6,38.6
-76.8,38.4
-76.8,38.5
-75.5,38.3
-72.3,42.2
-72.9,42.4
-71.7,42.6
-83.5,45.0
-90.1,46.5
-84.3,43.7
-82.5,42.9
-86.2,42.1
-85.1,42.8
-84.7,45.9
-83.4,42.2
-86.1,43.3
-83.3,42.2
-85.1,45.1
-85.0,43.6
-86.0,41.8
-85.9,42.1
-94.3,46.3
-93.3,44.7
-92.9,44.7
-95.9,44.9
-94.2,44.8
-93.2,44.5
-96.7,46.5
-94.0,44.7
-91.6,47.0
-90.3,34.4
-90.4,34.4
-90.8,31.5
-90.2,31.6
-89.7,32.4
-88.2,34.9
-94.7,39.6
-91.9,39.1
-93.7,39.2
-94.4,39.4
-91.5,37.6
-91.7,38.7
-93.0,39.3
-108.7,45.7
-104.1,47.7
-99.7,40.7
-96.2,41.4
-119.5,39.3
-71.1,44.0
-71.6,44.6
-71.5,43.2
-71.2,43.2
-71.9,43.9
-103.2,32.7
-105.9,36.2
-106.0,36.1
-105.7,35.6
-74.3,44.8
-79.1,43.2
-75.3,43.5
-75.2,43.4
-77.4,42.7
-76.6,42.4
-74.1,42.1
-76.9,43.2
-77.1,43.3
-79.5,42.2
-75.0,42.7
-77.4,42.9
-74.6,41.9
-76.8,42.6
-81.6,35.9
-78.8,35.1
-75.9,36.3
-82.6,35.4
-78.2,35.4
-77.0,35.9
-78.9,34.7
-81.1,36.2
-82.3,36.1
-83.1,35.1
-80.1,36.1
-77.3,34.7
-77.7,34.5
-78.1,35.7
-80.6,36.1
-80.4,35.4
-75.8,36.0
-80.2,36.2
-99.0,46.6
-97.2,48.0
-97.0,47.8
-83.4,39.4
-82.3,38.9
-83.9,39.7
-81.8,41.2
-84.3,40.2
-83.2,41.4
-82.0,40.4
-81.3,40.7
-81.2,40.9
-97.5,34.4
-96.7,36.6
-94.5,35.4
-99.1,34.5
-96.0,35.9
-95.6,36.2
-99.0,35.3
-96.1,34.5
-97.2,36.7
-97.2,36.8
-98.8,34.7
-123.8,43.7
-124.0,44.3
-75.9,40.2
-78.4,40.2
-79.4,40.5
-79.3,39.8
-81.2,32.9
-79.6,33.5
-79.0,34.1
-80.8,34.2
-82.0,35.0
-98.5,45.8
-97.1,45.7
-96.6,43.1
-96.8,43.4
-100.1,43.9
-99.2,43.7
-86.6,35.6
-87.1,36.4
-88.8,36.1
-87.0,35.0
-85.1,35.2
-88.1,35.2
-86.7,35.5
-85.5,36.1
-82.2,36.5
-82.4,36.5
-82.5,36.1
-89.1,36.0
-85.7,36.4
-84.0,35.7
-96.6,28.7
-98.2,29.2
-98.2,29.4
-97.3,29.6
-101.0,35.5
-94.3,30.3
-97.9,30.0
-96.5,32.1
-93.7,30.8
-95.1,30.9
-102.0,35.1
-100.0,31.7
-98.7,26.3
-99.7,29.2
-100.0,29.5
-96.9,28.8
-98.5,33.0
-95.4,32.1
-97.0,33.4
-94.4,31.9
-96.2,29.9
-98.7,33.9
-97.1,30.1
-97.4,28.0
-96.1,28.8
-95.9,29.2
-97.4,27.9
-109.5,38.6
-72.7,43.3
-73.2,44.3
-78.7,38.1
-79.6,37.1
-77.9,39.1
-78.0,38.6
-78.3,39.2
-77.6,36.6
-77.6,37.7
-77.1,37.8
-78.9,37.9
-79.5,36.6
-77.7,38.8
-77.4,38.3
-76.7,36.8
-77.5,37.1
-80.1,37.4
-77.3,37.2
-118.5,49.0
-120.5,48.6
-117.4,47.7
-119.2,46.2
-79.9,39.2
-80.2,37.9
-82.0,38.7
-81.9,37.6
-82.5,38.2
-88.1,44.6
-87.3,45.0
-88.5,43.5
-88.0,43.0
-88.2,43.2
-89.2,44.1
-89.2,44.2
-92.3,45.1
-122.4,37.8
-87.2,33.0
-85.5,33.9
-85.2,32.8
-85.8,31.4
-86.8,34.2
-87.1,31.2
-87.5,31.1
-86.8,31.2
-88.1,32.8
-85.4,31.1
-87.3,33.5
-87.0,34.8
-86.4,34.5
-87.8,33.9
-86.2,32.2
-86.3,33.7
-86.5,33.1
-87.6,33.0
-87.1,33.8
-87.1,34.0
-87.5,32.0
-89.0,39.8
-161.8,60.8
-157.1,61.7
-147.4,65.1
-147.8,64.8
-149.5,61.3
-149.9,61.1
-150.6,60.5
-110.6,32.8
-111.4,33.4
-111.0,32.4
-111.2,32.5
-111.2,32.2
-110.9,32.1
-109.9,34.1
-112.1,33.8
-109.9,32.4
-111.3,34.3
-111.6,35.2
-110.4,31.7
-114.1,32.7
-114.4,32.8
-90.8,35.9
-92.5,35.3
-92.6,35.2
-93.6,34.5
-92.5,36.2
-90.9,36.1
-91.3,36.2
-91.1,35.8
-91.7,36.2
-92.2,36.1
-93.8,34.0
-92.3,34.2
-90.5,36.4
-92.7,33.2
-94.0,36.4
-91.2,34.2
-91.3,33.9
-90.8,35.4
-121.6,40.0
-122.5,39.3
-122.2,39.1
-121.9,37.8
-119.8,36.9
-120.5,36.8
-122.2,39.8
-122.0,39.7
-122.2,39.7
-116.0,33.4
-118.4,37.4
-118.4,35.8
-118.6,35.2
-118.1,34.6
-117.8,34.1
-118.6,34.4
-118.0,34.7
-122.8,38.0
-123.1,39.1
-121.6,36.6
-122.4,38.6
-122.2,38.5
-120.8,40.1
-116.9,33.7
-116.4,33.7
-117.3,33.8
-116.9,34.2
-117.5,34.2
-117.3,34.4
-116.9,32.7
-121.4,37.6
-120.7,35.6
-119.9,34.4
-120.2,34.6
-120.4,34.7
-120.5,34.6
-121.8,37.0
-122.2,37.1
-122.6,40.7
-123.4,41.8
-122.6,41.7
-121.7,38.4
-123.1,38.3
-122.9,38.3
-121.8,38.9
-122.4,40.2
-122.8,41.1
-119.4,36.5
-122.0,38.5
-122.2,38.9
-121.7,38.7
-104.9,39.5
-105.2,39.1
-104.6,38.9
-104.9,39.1
-105.1,38.4
-107.4,39.6
-106.9,38.6
-104.8,39.8
-104.7,39.7
-103.8,40.3
-104.8,40.5
-72.8,41.9
-73.5,41.8
-73.4,42.0
-73.4,41.9
-72.6,41.4
-73.0,41.4
-71.9,41.8
-75.0,38.5
-75.6,39.3
-83.2,30.2
-83.0,30.0
-83.7,30.1
-86.2,30.7
-80.6,27.3
-86.7,30.8
-83.3,30.4
-81.5,28.9
-82.3,29.9
-80.5,28.1
-81.1,27.0
-81.3,27.0
-85.1,29.9
-82.8,30.3
-83.5,34.0
-81.5,31.8
-84.9,33.8
-84.3,34.4
-85.1,34.0
-82.1,32.1
-82.2,32.3
-82.3,32.2
-84.0,31.7
-83.9,31.8
-81.9,32.2
-81.4,32.2
-85.1,33.6
-81.7,30.9
-85.0,34.1
-83.5,34.5
-83.9,34.2
-84.4,31.3
-82.3,31.8
-84.6,30.9
-116.8,47.2
-116.7,44.4
-116.3,43.6
-116.5,43.7
-116.4,47.6
-89.6,37.8
-89.4,41.3
-90.2,42.2
-88.4,40.2
-88.1,40.0
-87.7,39.2
