longitude,latitude
-80.6,41.2
-80.7,41.2
-81.4,40.5
-81.4,40.6
-84.2,39.4
-84.1,39.5
-84.3,39.4
-84.1,39.4
-81.6,39.3
-81.5,39.5
-81.6,39.5
-84.6,41.5
-83.5,41.5
-83.6,41.3
-83.5,41.2
-83.9,40.9
-84.2,40.8
-82.2,40.6
-82.3,40.9
-82.3,40.7
-80.9,41.8
-81.0,41.8
-82.1,39.4
-82.1,39.5
-81.8,39.3
-82.2,39.5
-81.9,39.4
-82.1,39.3
-81.8,39.2
-84.4,40.5
-84.3,40.5
-80.8,39.9
-80.7,40.0
-80.9,40.0
-80.9,40.1
-80.8,40.1
-80.9,39.9
-81.0,40.0
-83.8,38.7
-84.6,39.5
-84.5,39.3
-84.7,39.5
-84.4,39.5
-84.8,39.5
-81.2,40.6
-81.2,40.7
-84.0,40.1
-83.8,40.0
-84.0,39.9
-83.9,40.0
-83.9,39.9
-83.6,40.0
-84.3,39.3
-84.3,39.2
-84.3,39.0
-80.9,40.8
-80.7,40.6
-81.1,40.8
-82.7,40.8
-83.0,40.8
-82.8,40.7
-81.5,41.4
-81.8,41.5
-81.9,41.5
-81.4,41.4
-81.4,41.5
-81.6,41.5
-81.7,41.3
-83.2,40.3
-82.4,41.4
-82.6,41.3
-82.8,41.4
-83.4,39.5
-82.9,39.9
-83.1,40.0
-83.1,40.1
-83.1,39.9
-82.8,40.0
-82.8,40.1
-82.9,40.0
-83.2,39.9
-82.8,39.8
-83.2,40.0
-82.4,38.9
-82.2,39.0
-82.3,39.0
-82.2,38.7
-82.4,39.0
-84.0,39.8
-84.1,39.6
-81.7,40.0
-84.5,39.1
-84.8,39.2
-84.7,39.1
-84.4,39.3
-84.3,39.1
-84.7,39.3
-84.6,39.2
-84.6,39.3
-83.7,40.9
-83.6,41.1
-83.8,41.0
-84.2,41.3
-83.6,39.2
-82.5,39.6
-82.7,39.4
-82.4,39.4
-82.5,41.0
-82.6,41.2
-82.8,41.3
-82.4,41.1
-82.6,39.0
-80.7,40.5
-80.7,40.2
-80.7,40.4
-80.8,40.2
-80.9,40.2
-98.8,34.6
-98.4,34.7
-98.3,34.6
-98.3,34.4
-96.2,35.9
-96.1,36.0
-94.7,36.2
-94.8,36.6
-97.9,36.4
-98.1,35.1
-97.7,35.3
-97.9,35.0
-97.8,36.8
-97.3,36.8
-97.4,37.0
-97.9,35.9
-98.0,35.9
-94.7,35.2
-96.9,35.7
-97.4,35.9
-98.6,34.6
-97.5,35.3
-95.2,36.2
