"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-97.80000,28.10000,150.00,45.72
2,-97.70000,28.00000,105.68,32.21
3,-100.20000,30.80000,2189.37,667.32
4,-99.30000,32.70000,1423.88,434.00
5,-100.60000,30.60000,2276.48,693.87
6,-97.40000,32.60000,845.93,257.84
7,-111.90000,40.40000,4497.05,1370.70
8,-111.20000,41.50000,6528.38,1989.85
9,-112.80000,37.80000,7113.88,2168.31
10,-111.30000,40.60000,6614.40,2016.07
11,-112.00000,40.60000,4666.37,1422.31
12,-111.90000,40.50000,-9999,-9999
13,-112.00000,40.50000,4762.57,1451.63
14,-111.50000,40.50000,6044.85,1842.47
15,-72.70000,44.90000,960.50,292.76
16,-73.00000,44.50000,496.33,151.28
17,-72.40000,44.10000,1971.33,600.86
18,-72.70000,43.90000,1328.58,404.95
19,-72.30000,44.40000,1383.27,421.62
20,-72.60000,44.20000,1335.73,407.13
21,-73.20000,42.80000,1215.09,370.36
22,-72.80000,43.90000,1428.94,435.54
23,-72.50000,43.30000,600.43,183.01
24,-72.80000,44.60000,1059.71,323.00
25,-80.20000,37.20000,1819.42,554.56
26,-79.00000,37.80000,814.60,248.29
27,-78.80000,37.60000,551.28,168.03
28,-78.70000,37.70000,-9999,-9999
29,-77.00000,37.40000,82.12,25.03
30,-75.90000,37.40000,33.92,10.34
31,-76.60000,38.00000,102.43,31.22
32,-76.40000,37.80000,76.71,23.38
33,-76.60000,37.90000,113.52,34.60
34,-79.60000,37.80000,1328.12,404.81
35,-78.90000,38.40000,1214.17,370.08
36,-79.00000,38.80000,2027.20,617.89
37,-78.70000,38.40000,1184.22,360.95
38,-81.80000,37.00000,2339.63,713.12
39,-78.60000,38.70000,1389.14,423.41
40,-81.60000,36.70000,3935.83,1199.64
41,-77.60000,38.30000,243.21,74.13
42,-77.30000,38.40000,0.00,0.00
43,-80.70000,37.20000,2033.89,619.93
44,-76.90000,37.00000,83.23,25.37
45,-77.00000,37.00000,82.32,25.09
46,-81.70000,37.10000,-9999,-9999
47,-78.10000,39.20000,653.77,199.27
48,-78.10000,38.90000,1545.08,470.94
49,-78.30000,38.80000,1596.42,486.59
50,-78.30000,39.00000,682.12,207.91
51,-82.70000,37.10000,2295.57,699.69
52,-76.10000,36.60000,4.00,1.22
53,-76.10000,36.70000,5.87,1.79
54,-76.80000,37.80000,82.48,25.14
55,-82.30000,37.00000,2475.75,754.61
56,-78.00000,39.00000,1309.81,399.23
57,-77.10000,37.40000,133.33,40.64
58,-82.10000,37.40000,1457.71,444.31
59,-77.80000,36.70000,272.21,82.97
60,-81.10000,37.20000,2458.40,749.32
61,-79.60000,38.00000,1609.65,490.62
62,-79.10000,38.30000,1511.48,460.70
63,-79.20000,38.30000,1758.92,536.12
64,-79.00000,38.10000,1298.65,395.83
65,-79.20000,37.60000,1070.14,326.18
66,-80.20000,37.80000,2422.31,738.32
67,-80.10000,37.70000,1733.69,528.43
68,-80.00000,37.70000,2886.52,879.81
69,-75.40000,38.00000,-4.49,-1.37
70,-78.80000,38.40000,1298.13,395.67
71,-77.30000,37.30000,72.74,22.17
72,-76.60000,37.20000,46.78,14.26
73,-82.60000,36.90000,3251.44,991.04
74,-76.60000,36.80000,53.44,16.29
75,-76.80000,37.00000,79.20,24.14
76,-77.50000,36.60000,109.15,33.27
77,-78.00000,37.60000,215.06,65.55
78,-83.00000,36.80000,1892.36,576.79
79,-83.30000,36.70000,1720.41,524.38
80,-83.00000,36.70000,1383.17,421.59
81,-77.90000,39.00000,650.62,198.31
82,-75.90000,36.80000,0.00,0.00
83,-117.10000,46.40000,1013.39,308.88
84,-119.40000,46.30000,558.66,170.28
85,-120.70000,47.80000,2392.75,729.31
86,-120.40000,47.80000,1839.14,560.57
87,-120.60000,47.80000,2644.46,806.03
88,-123.10000,48.10000,106.56,32.48
89,-123.10000,48.00000,2038.48,621.33
90,-117.90000,46.30000,2814.90,857.98
91,-123.40000,47.00000,41.83,12.75
92,-124.10000,47.00000,0.00,0.00
93,-123.60000,46.90000,588.35,179.33
94,-123.70000,46.90000,308.10,93.91
95,-123.30000,46.90000,47.47,14.47
96,-123.70000,47.00000,332.51,101.35
97,-122.40000,47.90000,0.00,0.00
98,-122.90000,47.80000,1183.79,360.82
99,-122.70000,48.00000,0.00,0.00
100,-122.30000,47.50000,172.51,52.58
101,-121.80000,47.40000,1920.01,585.22
102,-122.40000,47.70000,-1.18,-0.36
103,-121.80000,47.60000,913.35,278.39
104,-122.40000,47.40000,-1.84,-0.56
105,-122.30000,47.40000,-9999,-9999
106,-122.00000,47.60000,465.26,141.81
107,-122.10000,47.70000,189.86,57.87
108,-122.40000,47.80000,0.00,0.00
109,-123.20000,46.70000,550.98,167.94
110,-122.80000,46.60000,345.28,105.24
111,-122.30000,46.60000,1564.70,476.92
112,-123.30000,46.60000,685.40,208.91
113,-123.00000,46.80000,263.78,80.40
114,-123.00000,46.50000,627.92,191.39
115,-122.80000,46.50000,374.38,114.11
116,-122.90000,47.50000,390.85,119.13
117,-123.10000,47.30000,375.82,114.55
118,-122.80000,47.50000,139.96,42.66
119,-123.20000,47.40000,475.46,144.92
120,-119.60000,48.40000,1502.10,457.84
121,-122.20000,47.00000,555.02,169.17
122,-122.50000,48.60000,0.00,0.00
123,-122.00000,48.30000,2150.85,655.58
124,-121.40000,48.50000,2199.28,670.34
125,-122.20000,45.60000,924.64,281.83
126,-121.70000,47.80000,4196.78,1279.18
127,-121.70000,47.90000,-9999,-9999
128,-121.90000,48.00000,815.39,248.53
129,-121.90000,47.80000,1018.80,310.53
130,-121.40000,47.90000,1332.22,406.06
131,-122.10000,48.10000,432.87,131.94
132,-117.40000,47.40000,2554.13,778.50
133,-117.40000,47.60000,1954.27,595.66
134,-122.60000,47.00000,262.76,80.09
135,-123.00000,47.00000,243.54,74.23
136,-123.70000,46.30000,1.41,0.43
137,-118.10000,46.00000,3276.64,998.72
138,-118.70000,46.00000,686.58,209.27
139,-122.30000,48.80000,1140.72,347.69
140,-122.40000,48.90000,86.02,26.22
141,-117.10000,46.90000,2587.63,788.71
142,-117.10000,46.60000,2750.46,838.34
143,-120.30000,46.40000,764.44,233.00
144,-120.40000,46.50000,1421.65,433.32
145,-81.80000,38.20000,1006.86,306.89
146,-81.80000,38.70000,838.39,255.54
147,-80.50000,39.10000,1287.89,392.55
148,-81.90000,38.30000,713.81,217.57
149,-81.60000,38.90000,731.82,223.06
150,-82.00000,38.00000,858.30,261.61
151,-81.80000,37.70000,1521.75,463.83
152,-81.80000,38.80000,870.80,265.42
153,-81.90000,37.70000,1575.30,480.15
154,-81.50000,37.30000,2277.69,694.24
155,-81.70000,37.30000,2080.64,634.18
156,-80.40000,39.60000,1430.74,436.09
157,-80.40000,39.50000,1370.11,417.61
158,-80.70000,39.80000,1087.76,331.55
159,-80.40000,39.20000,975.03,297.19
160,-82.10000,38.90000,566.60,172.70
161,-81.10000,37.30000,2330.48,710.33
162,-81.20000,37.30000,2791.90,850.97
163,-81.10000,37.50000,2118.18,645.62
164,-78.80000,39.50000,660.93,201.45
165,-82.10000,37.60000,1379.27,420.40
166,-80.20000,39.20000,1228.81,374.54
167,-80.10000,39.70000,1114.27,339.63
168,-80.10000,39.60000,1287.27,392.36
169,-80.00000,39.50000,1324.57,403.73
170,-78.10000,39.70000,566.34,172.62
171,-78.30000,39.60000,733.69,223.63
172,-81.20000,38.20000,1080.61,329.37
173,-80.70000,38.50000,1305.45,397.90
174,-80.60000,40.00000,1167.98,356.00
175,-79.40000,38.70000,3230.18,984.56
176,-79.50000,38.70000,3184.94,970.77
177,-80.30000,38.10000,2714.86,827.49
178,-80.20000,38.00000,2719.36,828.86
179,-80.20000,38.10000,2506.96,764.12
180,-79.70000,38.60000,3113.48,948.99
181,-79.80000,38.50000,2929.89,893.03
182,-79.60000,39.30000,2645.28,806.28
183,-79.90000,39.50000,2012.53,613.42
184,-80.00000,38.70000,2634.51,803.00
185,-79.80000,39.00000,2506.53,763.99
186,-78.70000,39.10000,1315.26,400.89
187,-81.20000,38.60000,731.76,223.04
188,-82.40000,38.00000,793.57,241.88
189,-80.60000,38.40000,2305.12,702.60
190,-80.50000,38.40000,2217.39,675.86
191,-80.70000,39.70000,1090.85,332.49
192,-80.50000,39.70000,1256.50,382.98
193,-80.80000,39.70000,1110.83,338.58
194,-80.60000,39.50000,972.21,296.33
195,-81.40000,39.00000,830.18,253.04
196,-81.30000,37.50000,2595.28,791.04
197,-81.70000,37.60000,1883.63,574.13
198,-78.50000,39.10000,2067.72,630.24
199,-80.30000,37.80000,1852.76,564.72
200,-80.40000,38.00000,2680.87,817.13
201,-80.70000,38.10000,2482.84,756.77
202,-79.00000,39.20000,2001.84,610.16
203,-81.10000,38.70000,1231.46,375.35
204,-80.80000,38.70000,1445.93,440.72
205,-80.60000,38.90000,1020.77,311.13
206,-81.80000,38.00000,1345.14,410.00
207,-81.60000,38.10000,1544.55,470.78
208,-78.00000,39.40000,563.32,171.70
209,-89.80000,43.70000,884.28,269.53
210,-89.80000,43.80000,980.09,298.73
211,-90.60000,46.10000,1520.70,463.51
212,-91.10000,43.00000,617.81,188.31
213,-89.50000,43.00000,967.52,294.90
214,-89.70000,43.30000,935.86,285.25
215,-91.50000,44.80000,763.75,232.79
216,-91.40000,44.80000,902.40,275.05
217,-88.40000,43.80000,751.80,229.15
218,-90.60000,42.60000,945.08,288.06
219,-90.40000,42.60000,972.51,296.42
220,-90.20000,42.90000,1084.15,330.45
221,-88.70000,43.20000,880.74,268.45
222,-87.90000,42.60000,677.82,206.60
223,-87.80000,44.60000,764.17,232.92
224,-91.30000,43.90000,638.19,194.52
