longitude,latitude
-89.4,38.6
-90.2,40.7
-88.3,41.3
-91.3,40.4
-91.2,40.5
-90.4,42.3
-88.9,37.4
-88.7,37.4
-88.5,41.8
-88.9,40.6
-90.2,38.1
-88.6,39.7
-89.7,39.6
-89.3,37.4
-87.6,40.1
-90.8,40.9
-90.0,41.8
-89.8,41.8
-88.0,41.3
-89.4,42.4
-89.2,42.4
-85.0,40.6
-85.5,41.2
-85.4,41.2
-85.3,40.9
-86.3,40.0
-86.2,39.2
-85.7,38.4
-85.9,40.8
-86.3,38.4
-85.2,40.2
-86.0,38.3
-86.1,41.0
-86.1,41.2
-85.5,40.7
-86.9,40.4
-85.1,38.7
-85.8,39.6
-86.7,39.2
-85.2,41.4
-85.5,41.3
-84.8,40.6
-85.5,39.0
-87.5,38.5
-86.5,41.6
-92.0,42.2
-94.9,41.6
-92.9,40.8
-96.3,42.5
-95.8,42.5
-94.1,42.4
-91.8,40.7
-92.7,42.0
-96.3,43.2
-95.3,41.7
-96.2,42.1
-95.8,41.1
-91.1,41.1
-91.1,42.2
-91.0,42.0
-94.4,42.0
-90.7,42.5
-91.1,41.0
-95.3,42.0
-94.9,42.1
-92.5,42.8
-92.5,42.4
-97.9,37.8
-96.5,38.9
-97.6,38.6
-96.8,37.6
-96.3,38.4
-96.2,38.3
-95.9,37.3
-95.0,39.8
-96.0,39.1
-95.0,39.4
-96.6,38.4
-94.9,39.2
-97.6,37.7
-99.1,38.2
-99.2,38.1
-96.8,39.0
-94.8,39.1
-95.3,37.3
-95.5,37.9
-84.1,37.9
-87.0,37.7
-84.8,38.3
-82.4,37.7
-82.6,37.3
-85.0,38.0
-82.4,37.4
-84.0,38.4
-84.8,38.9
-84.3,38.1
-85.6,37.0
-84.8,37.7
-83.8,38.6
-88.4,36.9
-84.4,37.6
-86.9,36.8
-88.3,37.4
-88.5,37.2
-88.5,37.1
-84.8,37.6
-85.8,38.0
-84.9,38.7
-91.8,31.2
-93.2,30.5
-93.7,32.9
-93.5,32.6
-91.9,31.8
-91.6,31.5
-93.0,31.6
-90.6,29.8
-91.3,32.1
-93.2,32.5
-92.8,32.1
-92.3,32.6
-89.9,29.7
-68.8,44.9
-68.7,45.2
-70.6,44.5
-70.8,44.5
-69.4,44.1
-69.3,44.0
-69.6,44.5
-69.8,44.2
-68.4,45.9
-69.5,44.9
-69.8,43.9
-70.6,43.7
-70.7,43.5
-70.9,43.6
-78.9,39.6
-78.5,39.7
-77.2,39.6
-75.4,38.2
-75.2,38.2
-77.1,38.4
-77.4,39.3
-79.4,39.3
-76.0,39.3
-76.0,38.2
-75.7,38.0
-70.0,42.0
-73.1,42.2
-73.2,42.2
-73.1,42.3
-70.9,42.7
-73.0,42.5
-72.0,42.7
-71.6,42.3
-71.6,42.4
-83.1,42.4
-83.1,42.3
-82.6,43.3
-85.6,42.0
-85.9,42.9
-89.3,46.9
-83.5,42.6
-86.0,43.3
-83.5,41.9
-83.9,41.8
-85.7,43.2
-85.4,42.9
-83.8,42.9
-84.8,42.5
-85.2,42.4
-85.0,42.0
-86.3,42.0
-85.1,42.6
-88.5,46.8
-83.6,44.1
-83.7,44.0
-86.6,46.4
-94.0,44.1
-96.7,45.6
-94.9,47.5
-96.0,46.9
-93.1,45.3
-93.5,45.1
-91.6,43.8
-91.5,43.6
-93.4,45.6
-95.0,43.6
-96.9,48.5
-94.1,44.2
-95.6,46.6
-96.6,47.8
-93.2,44.4
-93.5,44.2
-93.9,45.4
-94.0,45.5
-96.4,45.7
-91.9,44.1
-95.6,45.9
-95.7,45.9
-94.2,46.2
-96.3,46.9
-89.8,34.9
-88.5,30.8
-89.0,30.6
-90.1,33.1
-90.1,31.5
-88.8,34.3
-90.1,33.6
-88.3,33.3
-88.4,33.6
-88.4,33.4
-89.7,31.4
-89.1,31.0
-89.1,31.2
-90.3,31.2
-90.5,31.1
-89.4,31.8
-89.6,31.8
-90.4,34.8
-89.0,34.5
-91.0,32.2
-90.9,33.2
-90.8,33.2
-90.2,32.8
-94.4,38.7
-93.0,39.6
-94.3,39.4
-94.2,40.0
-90.0,36.5
-91.3,38.3
-95.1,39.9
-92.7,38.1
-92.0,38.9
-90.4,36.6
-90.5,36.5
-93.8,39.2
-90.2,37.2
-93.4,38.5
-95.4,40.3
-91.7,38.3
-92.5,38.7
-94.3,36.9
-94.2,36.9
-91.1,36.6
-89.7,36.3
-91.6,38.0
-91.2,39.5
-94.8,39.3
-93.9,39.4
-90.0,37.9
-90.6,37.9
-91.9,37.3
-93.4,36.9
-89.5,37.0
-93.1,39.1
-92.9,37.1
-109.7,48.6
-112.1,45.9
-110.9,46.5
-113.5,47.1
-114.0,46.8
-110.6,45.6
-108.2,48.4
-114.1,46.5
-109.2,45.2
-107.4,45.3
-106.7,46.3
-95.8,40.5
-98.0,42.8
-101.6,41.1
-96.0,41.0
-96.4,41.4
-99.0,40.2
-97.6,41.5
-119.8,39.1
-115.9,36.2
-72.3,43.1
-71.6,42.8
-71.4,43.6
-71.6,44.7
-74.9,39.5
-74.8,39.4
-74.9,39.7
-75.2,39.4
-75.1,39.6
-74.8,41.2
-74.8,41.0
-74.9,41.1
-74.0,40.0
-108.7,32.4
-106.7,35.2
-103.7,35.2
-106.6,32.3
-75.3,42.2
-75.1,42.1
-78.9,43.0
-74.1,42.3
-76.3,42.7
-76.6,42.7
-79.0,42.2
-78.6,42.2
-78.9,42.2
-78.9,42.3
-75.4,43.7
-77.7,42.7
-74.6,42.8
-74.5,42.9
-78.2,42.5
-74.0,42.6
-75.6,42.5
-73.4,45.0
-73.8,42.2
-74.5,42.6
-77.3,42.4
-77.5,42.2
-74.6,41.6
-74.9,41.4
-74.5,42.0
-73.8,43.5
-73.4,43.2
-78.7,43.2
-76.1,42.8
-77.0,43.0
-76.0,43.6
-76.5,43.5
-75.0,42.9
-75.3,42.4
-77.2,36.4
-77.2,36.3
-77.4,35.8
-77.5,35.6
-80.0,35.8
-79.8,34.9
-78.9,34.5
-78.6,35.1
-78.2,34.7
-80.1,35.4
-80.1,36.3
-78.9,35.8
-76.7,35.8
-78.1,35.3
-77.9,35.2
-77.1,36.1
-82.7,35.5
-81.0,35.7
-79.5,35.7
-77.3,35.2
-79.1,35.1
-76.1,36.4
-80.2,35.8
-80.4,35.9
-78.1,35.1
-79.0,36.1
-76.7,36.4
-80.8,36.0
-83.4,35.4
-78.6,35.5
-77.3,35.0
-78.1,35.9
-98.7,48.0
-99.1,48.0
-96.8,46.2
-96.7,46.4
-98.8,47.6
-98.9,48.6
-101.7,48.4
-101.0,46.8
-98.2,46.8
-98.0,47.1
-100.3,46.7
-82.7,38.7
-82.0,39.2
-81.9,39.9
-81.5,39.8
-81.2,41.0
-81.1,41.2
-81.2,41.1
-84.2,40.9
-83.0,38.7
-83.4,41.1
-83.2,41.2
-81.2,40.8
-81.5,41.1
-81.0,41.5
-81.5,40.5
-82.7,39.2
-84.2,39.5
-81.4,39.5
-81.8,41.0
-83.6,41.2
-83.4,38.8
-80.8,41.7
-82.3,39.5
-80.7,40.8
-83.1,40.9
-84.7,40.1
-84.6,41.4
-83.1,40.3
-82.5,41.3
-82.6,39.6
-82.9,39.8
-81.3,41.4
-81.6,39.9
-83.6,40.9
-82.3,40.4
-98.6,34.5
-99.6,36.4
-97.8,35.3
-97.9,34.9
-98.0,34.2
-97.9,35.8
-97.1,35.5
-95.6,35.6
-95.1,35.8
-95.0,35.8
-98.3,36.9
-95.7,36.4
-95.8,36.5
-123.3,44.5
-123.4,44.3
-122.0,45.3
-123.4,46.1
-123.9,46.2
-123.6,45.8
-123.8,45.8
-123.7,46.2
-122.6,45.6
-116.9,45.5
-117.4,45.9
-118.7,45.9
-119.3,45.8
-123.8,45.3
-120.7,45.6
-121.6,45.7
-123.0,42.3
-122.8,42.6
-123.3,44.8
-123.5,42.4
-122.8,44.1
-123.6,44.1
-123.2,44.2
-122.9,44.9
-75.2,41.4
-78.2,41.9
-77.7,41.7
-76.5,40.7
-78.8,39.9
-79.4,39.8
-79.1,40.2
-79.4,41.7
-79.3,41.9
-80.4,40.0
