longitude,latitude
-111.6,40.8
-111.9,40.8
-111.9,41.3
-111.8,41.7
-111.8,40.7
-113.7,37.1
-112.0,41.5
-73.3,44.9
-72.4,43.7
-73.1,44.9
-72.6,44.8
-72.8,44.7
-72.6,44.4
-73.1,44.8
-72.3,44.5
-72.1,44.2
-72.4,44.5
-72.0,44.5
-72.9,42.8
-72.0,44.4
-72.4,44.4
-72.4,44.3
-72.2,44.7
-72.6,43.8
-72.5,44.5
-72.6,44.6
-76.4,37.5
-76.6,37.6
-80.3,37.1
-75.8,37.5
-75.9,37.3
-76.0,37.3
-76.0,37.4
-76.3,37.9
-76.4,37.9
-76.4,38.0
-76.4,37.4
-76.4,37.7
-77.8,38.3
-78.4,38.7
-78.4,38.8
-77.2,37.2
-77.1,37.2
-77.3,38.6
-76.6,37.3
-77.4,38.8
-77.3,38.5
-80.1,37.2
-79.4,37.9
-79.5,38.0
-79.4,37.8
-79.0,38.4
-78.8,38.6
-79.0,38.6
-78.9,38.3
-78.8,38.3
-78.6,38.4
-82.5,36.6
-78.6,38.9
-78.6,38.8
-78.4,39.0
-78.7,38.9
-78.7,38.8
-78.5,38.8
-76.9,36.5
-77.4,38.2
-77.5,38.3
-77.4,38.4
-80.8,37.3
-77.0,37.2
-76.9,37.2
-77.4,36.9
-77.2,36.9
-81.3,37.3
-81.5,37.1
-81.9,37.1
-81.8,37.1
-81.3,37.2
-78.4,39.1
-78.2,39.0
-78.3,38.9
-80.2,37.0
-77.8,38.8
-76.7,38.1
-77.3,39.0
-82.8,36.9
-77.2,38.8
-82.7,36.9
-82.2,36.6
-79.4,37.7
-78.5,38.0
-77.2,38.7
-76.9,37.9
-77.1,38.1
-77.5,37.2
-82.3,37.2
-76.4,36.7
-78.0,38.5
-80.2,37.5
-80.0,37.8
-77.6,37.4
-77.5,36.7
-77.9,36.6
-79.8,37.4
-79.7,37.5
-79.8,37.6
-79.8,37.7
-79.9,38.0
-79.7,38.0
-79.2,38.2
-79.0,38.2
-79.3,38.1
-79.4,38.2
-78.8,37.5
-79.2,37.5
-79.3,37.8
-79.9,37.8
-80.1,37.8
-79.8,37.8
-78.5,37.8
-75.8,37.6
-75.4,37.9
-75.7,37.7
-78.9,38.5
-79.2,37.4
-79.1,37.4
-77.5,38.7
