longitude,latitude
-81.7,30.3
-78.4,40.5
-97.0,28.0
-97.0,28.1
-97.1,28.1
-95.2,29.8
-97.2,27.9
-86.5,32.4
-87.9,30.6
-87.9,30.5
-87.7,30.4
-87.6,30.3
-87.7,30.3
-87.6,30.4
,
-87.8,30.6
-87.8,30.5
-87.7,30.5
-87.2,32.2
-87.2,32.3
-87.5,31.0
-87.1,31.1
-85.9,34.0
-85.9,31.1
-85.7,31.1
-87.8,32.5
-85.2,31.2
-85.4,31.2
-86.3,34.6
-87.0,33.4
-86.8,33.6
-86.9,33.5
-86.7,33.6
-86.8,33.4
-86.6,33.6
-86.6,34.7
-86.3,34.7
-86.4,34.7
-86.6,34.8
-88.1,30.8
-88.0,30.8
-86.3,32.4
-86.2,32.4
-86.4,32.3
-86.3,32.3
-86.6,34.5
-85.1,32.5
-86.8,33.2
-87.7,33.0
-87.6,33.1
-87.6,33.2
-87.5,33.2
-87.7,30.6
-86.6,34.0
-86.5,31.4
-86.4,32.2
-86.4,32.4
-86.5,32.5
-88.1,30.2
-88.1,30.3
-88.2,30.2
-88.2,30.3
-88.0,30.7
-87.9,30.7
-87.5,30.4
-87.5,30.3
-88.0,30.2
-87.8,30.4
-87.9,30.4
-87.9,30.2
-87.5,30.5
-87.8,30.3
-87.4,30.4
-87.8,30.2
-87.9,30.8
-87.4,30.5
-88.3,30.4
-87.7,30.2
-88.1,30.6
-88.1,30.7
-88.2,30.5
-88.1,30.5
-88.1,30.4
-88.2,30.4
-88.4,30.5
-88.2,30.6
-131.6,55.3
-149.8,61.2
-134.6,58.4
-150.7,60.5
-151.1,60.5
-150.1,62.3
-148.0,64.8
-147.1,64.6
-112.0,33.5
-111.0,32.3
-111.8,32.8
-111.6,33.4
-111.9,33.9
-94.2,36.3
-91.8,35.2
-91.3,33.3
-91.3,33.1
-91.1,33.1
-91.4,33.5
-90.6,36.4
-90.7,35.8
-94.3,35.4
-90.2,35.1
-91.0,33.8
-91.4,34.0
-92.0,46.6
-92.4,35.1
-92.4,35.0
-91.5,36.5
-93.1,34.5
-91.5,35.6
-91.3,35.6
-92.0,34.3
-92.0,34.2
-90.8,34.8
-89.9,35.9
-90.0,35.7
-92.7,35.0
-90.9,35.6
-90.4,35.5
-92.3,34.8
-92.4,34.8
-92.5,34.8
-92.2,34.9
-92.2,34.8
-92.1,34.9
-92.3,34.7
-92.4,34.7
-92.6,34.6
-94.3,35.2
-94.4,34.0
-94.2,36.1
-91.7,35.2
-94.2,35.5
-92.3,36.2
-92.5,34.6
-93.7,36.4
-91.5,36.3
-91.3,34.1
-94.4,36.3
-94.2,36.4
-90.7,36.3
-94.4,35.5
-92.5,35.0
-92.4,35.2
-93.1,34.4
-92.1,35.9
-91.9,34.2
-92.1,34.4
-93.2,35.4
-91.5,35.0
-94.2,35.3
-91.6,35.3
-91.5,35.3
-91.4,35.3
-91.2,35.2
-94.4,35.4
-122.1,37.7
-122.2,37.7
-121.4,39.5
-122.0,39.8
-121.6,39.4
-122.2,38.0
-121.9,38.0
-120.9,38.8
-121.0,38.7
-119.8,36.8
-122.2,39.5
-122.2,39.6
-124.2,40.6
-118.9,35.3
-118.2,35.0
-119.1,35.3
-122.8,39.0
-122.9,39.1
-118.2,33.9
-118.1,33.8
-118.5,34.1
-118.4,34.1
-118.3,34.2
-118.4,34.0
-118.6,34.0
-118.5,34.2
-118.2,34.1
-118.3,34.1
-118.5,34.3
-120.1,36.9
-122.5,37.9
-122.6,37.9
-122.5,38.0
-122.6,38.0
-117.2,33.7
-122.6,38.1
-123.8,39.2
-123.1,39.0
-120.3,37.3
-120.5,37.3
-121.8,36.5
-121.7,36.8
-121.7,36.6
-121.6,36.7
-122.3,38.3
-117.6,33.7
-117.6,33.6
-117.8,33.5
-117.8,33.6
-117.9,33.6
-117.7,33.5
-117.6,33.4
-117.9,33.8
-120.2,39.2
-121.1,38.9
-116.5,33.9
-121.6,38.7
-121.6,38.6
-121.4,38.7
-121.5,38.7
-121.4,38.6
-121.3,38.7
-121.5,38.6
-121.5,38.5
-121.6,38.5
-117.2,33.2
-116.4,33.2
-117.0,32.7
-116.9,32.9
-116.4,33.3
-116.9,33.0
-117.0,33.3
-117.4,34.0
-116.9,32.8
-117.0,33.1
-117.2,32.8
-117.1,32.7
-117.2,33.1
-121.5,37.8
-121.3,38.0
-120.7,35.2
-120.6,35.1
-122.5,37.6
-122.2,37.5
-122.3,37.5
-119.7,34.4
-120.1,34.6
-120.6,35.0
-119.6,34.4
-121.6,37.1
-122.1,37.4
-122.1,37.5
-121.9,37.4
-122.0,37.4
-122.1,37.1
-122.0,37.0
-121.7,36.9
-122.3,40.5
-122.3,40.4
-120.2,39.7
-121.7,38.2
-122.0,38.3
-122.0,38.4
-123.0,38.5
-122.9,38.7
-122.5,38.4
-123.1,38.4
-122.8,38.5
-123.1,38.5
-122.9,38.5
-122.7,38.3
-121.1,37.5
-119.3,36.3
-119.2,34.4
-119.0,34.1
-119.3,34.4
-119.0,34.4
-118.9,34.4
-119.2,34.2
-119.0,34.3
-121.8,38.6
-121.4,39.2
-121.6,39.0
-121.6,39.1
-120.5,39.8
-122.1,38.1
-122.1,38.3
