"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-95.00000,29.30000,2.30,0.70
2,-94.50000,29.50000,0.03,0.01
3,-93.90000,29.90000,0.92,0.28
4,-96.10000,29.00000,51.18,15.60
5,-95.60000,28.80000,2.20,0.67
6,-95.70000,28.90000,12.04,3.67
7,-96.00000,28.70000,2.79,0.85
8,-95.90000,29.00000,44.46,13.55
9,-95.90000,28.90000,22.80,6.95
10,-95.90000,29.10000,52.92,16.13
11,-96.00000,28.80000,9.61,2.93
12,-94.00000,29.90000,2.10,0.64
13,-97.80000,27.80000,81.86,24.95
14,-93.90000,29.80000,-0.66,-0.20
15,-93.90000,29.70000,2.17,0.66
16,-97.70000,27.80000,82.35,25.10
17,-97.60000,28.10000,88.65,27.02
18,-96.70000,33.60000,842.19,256.70
19,-96.60000,33.60000,742.98,226.46
20,-94.90000,29.40000,5.12,1.56
21,-111.90000,40.90000,4252.82,1296.26
22,-111.90000,41.00000,4310.99,1313.99
23,-111.70000,41.00000,5470.05,1667.27
24,-111.70000,40.30000,4764.44,1452.20
25,-112.10000,41.20000,4249.41,1295.22
26,-112.00000,41.20000,4417.29,1346.39
27,-72.80000,44.00000,2444.98,745.23
28,-73.10000,44.10000,404.00,123.14
29,-73.00000,43.20000,1103.54,336.36
30,-73.30000,44.50000,94.65,28.85
31,-73.00000,44.30000,1073.85,327.31
32,-72.60000,44.90000,1498.65,456.79
33,-72.70000,44.60000,1228.12,374.33
34,-72.50000,44.20000,661.98,201.77
35,-72.60000,42.90000,263.42,80.29
36,-72.80000,43.20000,1176.08,358.47
37,-72.70000,43.40000,1063.71,324.22
38,-73.20000,44.40000,374.02,114.00
39,-73.20000,44.80000,95.96,29.25
40,-73.20000,44.90000,97.47,29.71
41,-72.90000,44.60000,1220.51,372.01
42,-72.10000,44.90000,1178.61,359.24
43,-72.60000,44.30000,1014.67,309.27
44,-75.80000,37.70000,8.10,2.47
45,-75.90000,37.60000,1.77,0.54
46,-75.60000,37.90000,5.94,1.81
47,-75.80000,37.80000,-2.10,-0.64
48,-75.70000,37.80000,2.30,0.70
49,-75.70000,37.90000,-1.94,-0.59
50,-76.00000,37.80000,0.00,0.00
51,-75.70000,37.60000,4.63,1.41
52,-79.70000,37.90000,1700.13,518.20
53,-77.80000,36.80000,322.51,98.30
54,-82.10000,37.30000,2096.06,638.88
55,-82.10000,37.20000,1738.91,530.02
56,-76.30000,36.70000,13.62,4.15
57,-76.20000,36.70000,20.64,6.29
58,-76.30000,36.80000,7.02,2.14
59,-77.50000,37.40000,190.16,57.96
60,-77.40000,37.30000,63.94,19.49
61,-77.50000,37.50000,215.42,65.66
62,-79.40000,36.60000,485.93,148.11
63,-76.90000,38.00000,-0.89,-0.27
64,-76.80000,37.90000,-0.98,-0.30
65,-77.20000,38.90000,409.55,124.83
66,-77.80000,38.60000,405.31,123.54
67,-76.90000,36.70000,34.74,10.59
68,-78.20000,39.30000,744.00,226.77
69,-80.60000,37.30000,1770.73,539.72
70,-76.50000,37.30000,10.30,3.14
71,-76.70000,37.40000,85.99,26.21
72,-76.40000,37.30000,-1.25,-0.38
