longitude,latitude
-95.0,29.3
-94.5,29.5
-93.9,29.9
-96.1,29.0
-95.6,28.8
-95.7,28.9
-96.0,28.7
-95.9,29.0
-95.9,28.9
-95.9,29.1
-96.0,28.8
-94.0,29.9
-97.8,27.8
-93.9,29.8
-93.9,29.7
-97.7,27.8
-97.6,28.1
-96.7,33.6
-96.6,33.6
-94.9,29.4
-111.9,40.9
-111.9,41.0
-111.7,41.0
-111.7,40.3
-112.1,41.2
-112.0,41.2
-72.8,44.0
-73.1,44.1
-73.0,43.2
-73.3,44.5
-73.0,44.3
-72.6,44.9
-72.7,44.6
-72.5,44.2
-72.6,42.9
-72.8,43.2
-72.7,43.4
-73.2,44.4
-73.2,44.8
-73.2,44.9
-72.9,44.6
-72.1,44.9
-72.6,44.3
-75.8,37.7
-75.9,37.6
-75.6,37.9
-75.8,37.8
-75.7,37.8
-75.7,37.9
-76.0,37.8
-75.7,37.6
-79.7,37.9
-77.8,36.8
-82.1,37.3
-82.1,37.2
-76.3,36.7
-76.2,36.7
-76.3,36.8
-77.5,37.4
-77.4,37.3
-77.5,37.5
-79.4,36.6
-76.9,38.0
-76.8,37.9
-77.2,38.9
-77.8,38.6
-76.9,36.7
-78.2,39.3
-80.6,37.3
-76.5,37.3
-76.7,37.4
-76.4,37.3
-76.5,37.4
-76.6,37.4
-77.6,37.6
-77.5,37.6
-80.0,36.7
-76.6,37.0
-76.7,37.5
-76.8,37.5
-76.4,37.6
-76.5,37.7
-76.3,37.7
-76.3,37.6
-77.6,39.1
-77.4,39.0
-79.9,36.7
-76.3,37.4
-76.3,37.3
-76.3,37.5
-76.6,37.7
-80.4,37.2
-76.4,37.0
-76.3,36.9
-76.2,36.8
-76.3,37.0
-76.2,36.9
-76.3,37.8
-76.5,38.0
-78.6,38.5
-78.5,38.7
-78.5,38.6
-78.6,38.6
-77.4,37.2
-78.4,37.3
-77.6,38.8
-77.5,38.8
-77.3,38.7
-80.7,37.0
-78.2,38.7
-77.6,37.5
-80.0,37.3
-79.9,37.3
-79.1,38.5
-80.1,37.3
