"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-116.30000,46.50000,1380.51,420.78
2,-117.00000,44.20000,2173.06,662.35
3,-113.90000,45.20000,3921.06,1195.14
4,-116.50000,47.50000,3344.85,1019.51
5,-116.30000,47.50000,4126.21,1257.67
6,-114.50000,42.60000,3612.11,1100.97
7,-116.90000,46.90000,2727.53,831.35
8,-112.10000,43.70000,4766.31,1452.77
9,-116.20000,45.00000,5540.85,1688.85
10,-89.50000,37.60000,354.10,107.93
11,-89.30000,37.80000,408.23,124.43
12,-89.20000,37.90000,387.14,118.00
13,-90.30000,40.00000,651.02,198.43
14,-88.30000,40.10000,717.32,218.64
15,-88.20000,40.10000,732.71,223.33
16,-88.80000,40.10000,705.35,214.99
17,-88.20000,39.80000,666.34,203.10
18,-90.00000,40.60000,666.40,203.12
19,-88.20000,37.70000,371.19,113.14
20,-88.10000,37.80000,349.67,106.58
21,-88.10000,37.90000,348.95,106.36
22,-88.50000,41.40000,586.98,178.91
23,-91.40000,40.20000,646.88,197.17
24,-90.20000,41.50000,614.40,187.27
25,-88.20000,42.10000,811.38,247.31
26,-88.50000,41.70000,665.91,202.97
27,-90.10000,41.00000,779.13,237.48
28,-90.30000,41.00000,821.39,250.36
29,-89.10000,41.50000,692.95,211.21
30,-89.00000,41.60000,711.48,216.86
31,-89.30000,41.70000,764.70,233.08
32,-89.60000,41.70000,665.32,202.79
33,-88.40000,42.40000,884.65,269.64
34,-88.60000,42.30000,971.69,296.17
35,-88.60000,40.60000,751.15,228.95
36,-89.00000,40.30000,696.95,212.43
37,-88.80000,40.60000,748.98,228.29
38,-89.10000,39.70000,618.08,188.39
39,-89.00000,39.90000,680.28,207.35
40,-89.80000,38.80000,513.91,156.64
41,-89.00000,38.60000,531.89,162.12
42,-89.30000,42.00000,729.76,222.43
43,-89.10000,42.10000,797.57,243.10
44,-89.20000,42.10000,730.77,222.74
45,-88.50000,39.80000,680.54,207.43
46,-91.10000,39.60000,458.83,139.85
47,-89.80000,37.90000,513.55,156.53
48,-89.80000,38.60000,460.43,140.34
49,-89.60000,39.90000,579.76,176.71
50,-89.40000,37.40000,341.34,104.04
51,-87.90000,39.90000,706.43,215.32
52,-88.40000,38.40000,444.78,135.57
53,-88.00000,38.00000,355.18,108.26
54,-90.10000,41.90000,588.32,179.32
55,-90.10000,41.60000,593.64,180.94
56,-89.10000,37.80000,407.41,124.18
57,-89.20000,42.30000,777.66,237.03
58,-86.80000,41.70000,651.28,198.51
59,-86.70000,38.80000,545.41,166.24
60,-86.50000,38.90000,569.55,173.60
61,-85.20000,40.90000,818.57,249.50
62,-85.10000,41.20000,816.73,248.94
63,-85.60000,41.10000,852.76,259.92
64,-85.00000,39.90000,1097.80,334.61
65,-85.30000,41.10000,839.96,256.02
66,-86.10000,39.30000,731.27,222.89
67,-86.30000,40.80000,721.29,219.85
68,-86.20000,40.70000,747.11,227.72
69,-85.80000,38.60000,681.82,207.82
70,-85.80000,40.80000,736.29,224.42
71,-86.50000,38.30000,738.39,225.06
72,-85.00000,41.40000,874.05,266.41
73,-85.50000,40.10000,964.80,294.07
74,-85.10000,39.60000,981.04,299.02
75,-87.40000,39.60000,469.65,143.15
76,-87.40000,40.00000,613.06,186.86
77,-87.50000,38.40000,409.91,124.94
78,-86.40000,39.90000,910.56,277.54
79,-86.40000,39.70000,725.52,221.14
80,-86.30000,40.40000,873.23,266.16
81,-85.80000,38.90000,545.96,166.41
82,-85.80000,39.00000,596.78,181.90
83,-86.10000,40.30000,890.58,271.45
84,-85.20000,38.70000,496.85,151.44
85,-85.10000,41.70000,971.33,296.06
86,-86.70000,41.30000,674.57,205.61
87,-87.20000,37.90000,388.91,118.54
88,-85.70000,39.40000,794.26,242.09
89,-85.90000,38.60000,956.66,291.59
90,-86.10000,41.60000,821.56,250.41
91,-86.30000,41.70000,761.65,232.15
92,-86.70000,41.00000,689.17,210.06
93,-86.90000,41.60000,755.02,230.13
94,-86.50000,38.50000,661.65,201.67
95,-85.40000,38.70000,847.77,258.40
96,-86.00000,39.50000,721.46,219.90
97,-87.20000,38.90000,470.83,143.51
98,-85.70000,41.20000,925.69,282.15
99,-85.40000,41.60000,963.16,293.57
100,-85.50000,41.70000,853.38,260.11
101,-91.80000,41.50000,768.64,234.28
102,-91.60000,41.30000,744.91,227.05
103,-90.70000,41.60000,735.27,224.11
104,-90.50000,41.60000,742.62,226.35
105,-93.80000,41.60000,933.76,284.61
106,-93.50000,41.70000,968.60,295.23
107,-96.40000,42.60000,1288.75,392.81
108,-91.00000,41.50000,731.92,223.09
109,-91.20000,41.40000,698.56,212.92
110,-92.90000,42.00000,1011.06,308.17
111,-92.90000,41.40000,859.55,261.99
112,-91.70000,42.10000,798.26,243.31
113,-92.40000,41.40000,832.58,253.77
114,-91.40000,42.10000,921.42,280.85
115,-91.50000,41.60000,638.71,194.68
116,-91.60000,41.80000,712.60,217.20
117,-92.90000,42.20000,1042.78,317.84
118,-92.80000,42.40000,1005.54,306.49
119,-95.60000,40.60000,1067.98,325.52
120,-93.20000,42.90000,1091.34,332.64
121,-94.00000,41.60000,905.18,275.90
122,-95.30000,42.10000,1236.58,376.91
123,-95.10000,43.10000,1305.94,398.05
124,-95.50000,42.70000,1362.37,415.25
125,-93.40000,43.10000,1241.08,378.28
126,-91.30000,41.80000,727.07,221.61
127,-92.80000,42.60000,977.99,298.09
128,-92.10000,42.60000,1001.44,305.24
129,-92.20000,42.50000,951.57,290.04
130,-92.40000,42.60000,922.01,281.03
131,-98.00000,38.20000,1676.64,511.04
132,-98.80000,38.30000,1881.53,573.49
133,-95.10000,38.90000,866.08,263.98
134,-97.60000,37.60000,1407.45,428.99
135,-97.70000,38.40000,1489.80,454.09
136,-97.10000,37.30000,1201.80,366.31
137,-97.50000,38.80000,1318.96,402.02
138,-96.90000,37.60000,1276.18,388.98
139,-97.20000,37.80000,1361.29,414.92
140,-98.30000,39.10000,1452.72,442.79
141,-99.60000,38.80000,2075.30,632.55
142,-95.10000,37.20000,813.94,248.09
143,-98.20000,38.70000,1579.59,481.46
