"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-111.00000,33.60000,2265.16,690.42
2,-111.30000,34.10000,3275.75,998.45
3,-110.30000,32.00000,3472.74,1058.49
4,-90.90000,35.00000,191.99,58.52
5,-94.10000,33.70000,320.01,97.54
6,-91.00000,34.70000,181.69,55.38
7,-93.90000,33.90000,347.28,105.85
8,-91.20000,33.30000,110.47,33.67
9,-91.20000,33.40000,129.72,39.54
10,-94.00000,36.20000,1309.32,399.08
11,-92.40000,36.40000,651.15,198.47
12,-93.90000,34.30000,839.80,255.97
13,-93.90000,35.50000,645.31,196.69
14,-121.80000,37.70000,406.43,123.88
15,-121.70000,39.80000,993.70,302.88
16,-121.50000,40.10000,4685.76,1428.22
17,-121.70000,37.90000,108.27,33.00
18,-121.90000,37.90000,2599.18,792.23
19,-124.00000,41.60000,1880.32,573.12
20,-119.90000,36.80000,291.54,88.86
21,-119.20000,35.10000,409.91,124.94
22,-119.60000,36.30000,229.04,69.81
23,-122.60000,38.80000,1265.58,385.75
24,-122.70000,39.10000,1508.60,459.82
25,-118.30000,34.30000,3732.58,1137.69
26,-118.40000,33.70000,0.00,0.00
27,-120.10000,37.00000,255.48,77.87
28,-121.50000,36.00000,383.04,116.75
29,-121.30000,38.90000,190.81,58.16
30,-117.10000,33.60000,1382.87,421.50
31,-117.30000,33.90000,1711.94,521.80
32,-121.20000,38.20000,90.35,27.54
33,-121.20000,38.10000,66.34,20.22
34,-121.30000,37.60000,155.58,47.42
35,-122.20000,40.70000,857.94,261.50
36,-122.50000,40.60000,1266.77,386.11
37,-120.60000,39.60000,5960.86,1816.87
38,-122.90000,41.40000,4363.35,1329.95
39,-122.80000,38.70000,996.19,303.64
40,-121.20000,37.50000,190.19,57.97
41,-121.60000,38.90000,37.30,11.37
42,-123.10000,40.70000,3805.51,1159.92
43,-105.50000,40.00000,8522.41,2597.63
44,-104.60000,38.80000,6017.68,1834.19
45,-107.00000,38.50000,7725.75,2354.81
46,-105.20000,40.70000,5964.73,1818.05
47,-105.00000,40.70000,5196.62,1583.93
48,-104.00000,40.30000,4453.90,1357.55
49,-107.20000,39.30000,7641.83,2329.23
50,-104.90000,38.30000,5029.59,1533.02
51,-106.80000,40.50000,7473.79,2278.01
52,-105.10000,39.10000,7731.79,2356.65
53,-73.30000,42.00000,1124.77,342.83
54,-72.70000,41.50000,213.85,65.18
55,-72.60000,41.50000,403.12,122.87
56,-75.70000,38.70000,49.70,15.15
57,-82.10000,28.60000,72.60,22.13
58,-86.00000,30.70000,239.37,72.96
59,-81.10000,28.30000,74.97,22.85
60,-82.10000,28.20000,94.09,28.68
61,-82.10000,28.30000,79.40,24.20
62,-81.00000,27.50000,65.12,19.85
63,-80.70000,27.30000,51.25,15.62
64,-81.60000,28.70000,60.99,18.59
65,-82.10000,29.00000,64.67,19.71
66,-83.20000,29.50000,8.37,2.55
67,-87.20000,31.00000,64.99,19.81
68,-84.50000,30.50000,122.34,37.29
69,-81.30000,26.90000,37.17,11.33
70,-82.50000,28.60000,95.24,29.03
71,-84.10000,32.40000,400.00,121.92
72,-84.10000,31.40000,211.35,64.42
73,-82.30000,31.30000,133.27,40.62
74,-83.70000,34.60000,1393.60,424.77
75,-85.10000,34.30000,668.50,203.76
76,-84.40000,34.80000,1740.85,530.61
77,-84.40000,35.00000,1518.37,462.80
78,-84.00000,33.30000,695.64,212.03
79,-81.90000,32.80000,220.93,67.34
80,-84.70000,31.00000,126.35,38.51
81,-84.70000,30.70000,167.78,51.14
82,-155.70000,20.00000,2453.97,747.97
83,-116.50000,47.20000,3014.90,918.94
84,-112.30000,43.20000,4518.86,1377.35
85,-112.00000,42.30000,4768.70,1453.50
86,-116.70000,47.70000,2421.46,738.06
87,-89.20000,37.10000,313.35,95.51
88,-89.20000,41.30000,499.77,152.33
89,-89.60000,41.60000,648.75,197.74
90,-88.60000,40.30000,729.13,222.24
91,-90.30000,39.30000,593.01,180.75
92,-91.00000,40.70000,604.46,184.24
93,-88.60000,41.90000,858.01,261.52
94,-88.50000,41.50000,689.73,210.23
95,-88.90000,41.50000,657.68,200.46
96,-88.80000,40.30000,775.43,236.35
97,-89.70000,38.70000,507.58,154.71
98,-90.70000,41.20000,761.91,232.23
99,-89.30000,38.10000,486.91,148.41
100,-89.40000,38.00000,425.75,129.77
101,-89.00000,37.30000,342.85,104.50
102,-89.20000,41.10000,647.24,197.28
103,-89.50000,40.40000,646.69,197.11
104,-84.90000,40.60000,846.46,258.00
105,-84.80000,41.00000,765.52,233.33
106,-85.10000,39.80000,957.64,291.89
107,-85.20000,41.20000,837.17,255.17
108,-85.40000,40.50000,891.93,271.86
109,-86.30000,39.20000,629.63,191.91
110,-86.40000,39.30000,716.63,218.43
111,-85.90000,41.00000,818.93,249.61
112,-85.10000,39.00000,808.01,246.28
113,-85.50000,40.20000,911.22,277.74
114,-87.50000,39.70000,605.77,184.64
115,-85.10000,38.80000,534.94,163.05
116,-84.90000,41.60000,1034.61,315.35
117,-85.80000,38.70000,565.39,172.33
118,-86.50000,41.50000,697.28,212.53
119,-85.10000,40.20000,1041.11,317.33
120,-86.80000,39.70000,775.33,236.32
121,-85.60000,41.30000,924.54,281.80
122,-85.20000,41.30000,865.58,263.83
123,-85.60000,41.50000,917.75,279.73
124,-86.40000,41.30000,776.15,236.57
125,-85.80000,40.10000,853.15,260.04
126,-93.60000,41.40000,914.01,278.59
127,-90.80000,41.70000,714.73,217.85
128,-96.30000,43.40000,1406.27,428.63
129,-94.40000,41.70000,1093.80,333.39
130,-91.80000,42.80000,1119.52,341.23
131,-91.20000,40.90000,639.24,194.84
132,-95.60000,42.20000,1251.48,381.45
133,-91.40000,41.60000,755.64,230.32
134,-95.00000,41.40000,1254.89,382.49
135,-94.90000,38.60000,925.26,282.02
136,-95.10000,38.50000,1023.39,311.93
137,-100.60000,37.20000,2734.58,833.50
138,-94.60000,37.40000,954.13,290.82
139,-98.30000,39.70000,1620.67,493.98
140,-95.90000,37.00000,840.09,256.06
141,-99.20000,37.80000,2133.20,650.20
142,-99.30000,38.40000,2058.96,627.57
143,-99.40000,38.90000,2052.76,625.68
144,-95.80000,39.20000,1024.97,312.41
145,-95.10000,37.00000,842.06,256.66
146,-95.70000,38.80000,1145.70,349.21
147,-99.90000,37.70000,2440.16,743.76
148,-98.00000,37.30000,1405.25,428.32
149,-97.40000,38.00000,1428.25,435.33
150,-95.40000,38.00000,1047.47,319.27
