longitude,latitude
-70.8,41.9
-83.9,43.9
-87.1,45.7
-83.4,44.3
-84.0,41.9
-83.1,42.5
-86.3,42.4
-86.4,43.4
-84.7,42.5
-86.5,44.0
-83.4,43.9
-85.5,43.6
-87.6,45.2
-84.8,43.7
-84.4,43.7
-85.5,42.6
-85.8,42.2
-93.5,46.7
-93.2,45.1
-93.2,44.8
-91.8,43.5
-92.6,44.2
-93.5,44.9
-93.7,44.2
-94.4,46.0
-95.6,46.2
-97.1,48.1
-93.3,45.2
-94.3,44.2
-92.5,43.9
-92.8,45.1
-91.1,31.3
-89.6,33.0
-89.6,31.6
-90.3,32.4
-90.4,32.3
-90.4,31.6
-90.1,34.4
-89.9,32.4
-89.9,32.3
-90.7,32.8
-90.9,32.5
-90.7,32.6
-90.9,32.6
-90.0,32.7
-88.9,31.4
-91.5,39.3
-92.1,38.8
-92.7,38.0
-92.9,39.7
-93.2,39.7
-90.1,36.2
-94.0,40.3
-91.9,36.8
-93.1,39.8
-94.2,39.1
-94.9,40.4
-92.2,37.9
-91.6,40.2
-89.8,36.9
-109.2,45.6
-110.6,46.0
-105.2,48.1
-96.3,41.0
-98.4,40.7
-117.7,41.0
-118.9,39.5
-71.7,43.7
-74.9,41.0
-106.7,32.4
-108.7,35.5
-107.3,33.1
-106.9,34.1
-105.4,36.7
-104.2,35.4
-73.9,42.6
-76.6,43.0
-78.6,42.9
-74.3,42.2
-76.2,43.8
-75.5,42.8
-76.4,42.9
-77.5,42.7
-78.5,43.4
-75.5,44.3
-72.8,41.0
-74.7,41.8
-76.5,42.1
-76.9,43.1
-78.3,42.9
-77.3,42.7
-74.6,42.3
-79.4,42.2
-75.2,43.3
-73.6,42.7
-75.6,44.4
-73.5,42.3
-74.5,44.0
-73.0,41.0
-79.4,36.1
-82.5,35.5
-81.7,35.7
-80.5,35.3
-81.4,35.7
-81.2,35.7
-82.8,35.4
-82.5,35.2
-76.3,35.5
-81.0,35.5
-81.3,35.5
-83.3,35.1
-82.2,35.3
-79.2,34.6
-79.0,34.5
-82.1,35.4
-80.6,36.5
-80.7,34.9
-78.5,35.9
-78.0,35.5
-79.9,35.9
-79.0,35.3
-78.4,35.9
-97.0,47.7
-97.4,47.9
-97.2,48.5
-97.0,47.1
-100.3,46.1
-99.1,48.2
-84.4,40.8
-81.8,41.4
-84.6,39.9
-83.0,40.2
-82.7,39.9
-81.5,41.6
-83.8,40.3
-80.6,40.9
-83.1,38.7
-82.2,39.3
-82.9,40.7
-83.7,41.3
-99.4,35.0
-97.3,36.7
-97.7,35.9
-97.4,35.0
-96.1,36.7
-98.3,34.8
-97.0,34.8
-95.9,36.3
-96.2,36.2
-97.9,36.5
-98.2,35.0
-98.5,34.8
-95.3,35.6
-95.9,35.6
-94.9,36.6
-97.5,35.0
-95.5,36.3
-123.6,45.9
-123.8,46.1
-124.1,43.1
-124.1,43.5
