"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-94.60000,34.80000,907.78,276.69
2,-97.60000,35.90000,1013.29,308.85
3,-98.20000,34.80000,1285.83,391.92
4,-95.60000,35.30000,587.37,179.03
5,-97.20000,35.60000,994.78,303.21
6,-96.00000,35.60000,662.11,201.81
7,-98.00000,35.60000,1393.01,424.59
8,-98.50000,35.90000,1520.24,463.37
9,-98.40000,35.60000,1654.27,504.22
10,-100.50000,36.80000,2421.42,738.05
11,-98.90000,36.60000,1498.52,456.75
12,-94.80000,35.50000,565.91,172.49
13,-97.00000,36.10000,859.65,262.02
14,-123.40000,44.40000,639.11,194.80
15,-121.90000,45.30000,2292.72,698.82
16,-122.30000,45.40000,684.12,208.52
17,-122.90000,45.70000,1231.82,375.46
18,-123.20000,45.20000,150.95,46.01
19,-120.80000,44.20000,3826.05,1166.18
20,-123.40000,42.50000,1102.92,336.17
21,-123.70000,44.00000,384.51,117.20
22,-123.10000,44.10000,379.46,115.66
23,-122.50000,44.10000,1446.36,440.85
24,-124.10000,44.30000,572.87,174.61
25,-122.80000,44.50000,606.46,184.85
26,-122.70000,44.40000,611.68,186.44
27,-122.70000,44.80000,613.39,186.96
28,-75.10000,41.30000,1483.33,452.12
29,-78.20000,41.70000,2165.62,660.08
30,-77.30000,41.60000,1230.51,375.06
31,-80.00000,40.10000,1091.93,332.82
32,-79.20000,40.40000,1991.31,606.95
33,-75.70000,40.40000,392.72,119.70
34,-76.70000,41.80000,1786.02,544.38
35,-80.10000,40.70000,1094.69,333.66
36,-75.90000,39.90000,530.84,161.80
37,-78.70000,40.70000,1580.91,481.86
38,-78.80000,40.90000,1887.66,575.36
39,-77.30000,41.10000,1671.56,509.49
40,-79.70000,41.70000,1629.95,496.81
41,-77.50000,40.10000,593.67,180.95
42,-79.80000,40.00000,1079.00,328.88
43,-77.80000,39.90000,596.49,181.81
44,-77.90000,39.90000,584.78,178.24
45,-77.90000,40.60000,1435.79,437.63
46,-78.10000,40.30000,1335.79,407.15
47,-78.00000,40.40000,1421.52,433.28
48,-79.00000,40.60000,1493.08,455.09
49,-79.20000,41.00000,1451.48,442.41
50,-77.30000,40.60000,747.54,227.85
51,-76.50000,40.20000,515.29,157.06
52,-76.20000,39.90000,519.39,158.31
53,-76.20000,41.30000,1210.83,369.06
54,-77.40000,41.40000,1818.64,554.32
55,-77.20000,41.30000,781.14,238.09
56,-78.30000,41.80000,1974.18,601.73
57,-80.40000,41.30000,895.90,273.07
58,-77.60000,40.50000,1564.27,476.79
59,-71.60000,41.60000,413.98,126.18
60,-82.20000,34.70000,834.71,254.42
61,-80.40000,32.80000,25.72,7.84
62,-79.10000,34.20000,66.24,20.19
63,-78.90000,34.00000,105.38,32.12
64,-80.70000,34.30000,247.51,75.44
65,-79.70000,34.60000,142.26,43.36
66,-82.00000,34.70000,706.04,215.20
67,-81.90000,34.90000,709.35,216.21
68,-97.00000,44.70000,1701.84,518.72
69,-103.80000,44.70000,3000.46,914.54
70,-103.50000,44.40000,3568.31,1087.62
71,-98.80000,45.60000,1470.96,448.35
72,-96.70000,43.40000,1413.02,430.69
73,-103.60000,43.60000,5073.23,1546.32
74,-96.60000,45.20000,1136.98,346.55
75,-97.40000,42.80000,1299.05,395.95
76,-98.80000,44.60000,1406.04,428.56
77,-89.50000,35.30000,292.75,89.23
78,-89.50000,35.00000,422.01,128.63
79,-88.80000,35.90000,361.68,110.24
80,-88.20000,35.40000,402.53,122.69
81,-88.20000,36.30000,411.02,125.28
82,-81.80000,36.40000,2902.10,884.56
83,-89.50000,36.50000,279.63,85.23
84,-86.70000,35.20000,811.84,247.45
85,-86.20000,36.60000,760.50,231.80
86,-89.00000,35.40000,381.14,116.17
87,-87.00000,35.50000,802.26,244.53
88,-87.90000,35.50000,693.93,211.51
89,-84.80000,35.20000,841.77,256.57
90,-83.70000,36.50000,1336.06,407.23
91,-83.20000,36.00000,1077.17,328.32
92,-86.00000,35.50000,1101.94,335.87
93,-89.00000,35.70000,371.03,113.09
94,-89.60000,35.00000,391.83,119.43
95,-89.50000,35.50000,311.91,95.07
96,-86.80000,36.60000,617.59,188.24
97,-85.80000,35.60000,1251.80,381.55
98,-82.60000,36.40000,1863.91,568.12
99,-83.50000,35.90000,1034.91,315.44
100,-97.50000,29.70000,453.35,138.18
101,-101.00000,35.60000,3241.17,987.91
102,-98.60000,33.60000,1073.62,327.24
103,-98.50000,28.80000,351.51,107.14
104,-99.50000,29.80000,2209.78,673.54
105,-97.20000,30.10000,448.62,136.74
106,-97.80000,28.60000,322.15,98.19
107,-97.80000,31.00000,849.48,258.92
108,-96.20000,30.60000,190.52,58.07
109,-99.20000,31.80000,1475.03,449.59
110,-98.40000,30.90000,1278.35,389.64
111,-97.80000,29.90000,649.44,197.95
112,-95.10000,31.60000,310.50,94.64
113,-98.20000,33.70000,1046.75,319.05
114,-96.40000,29.50000,147.44,44.94
115,-97.00000,29.10000,173.98,53.03
116,-98.40000,27.60000,361.71,110.25
117,-99.00000,32.10000,1748.43,532.92
118,-96.70000,32.30000,421.00,128.32
119,-100.60000,31.30000,2105.48,641.75
120,-99.70000,29.30000,995.54,303.44
121,-96.00000,32.40000,413.02,125.89
122,-96.40000,29.10000,76.05,23.18
123,-97.70000,26.50000,26.02,7.93
124,-97.70000,33.10000,767.49,233.93
125,-102.80000,33.00000,3549.08,1081.76
126,-96.00000,32.20000,369.88,112.74
127,-95.80000,32.20000,538.62,164.17
128,-96.50000,28.80000,33.76,10.29
129,-97.10000,32.40000,649.41,197.94
130,-97.80000,27.40000,21.65,6.60
131,-97.10000,29.30000,255.61,77.91
132,-98.10000,28.40000,128.18,39.07
133,-98.60000,30.80000,1053.05,320.97
134,-98.50000,30.80000,1053.44,321.09
135,-97.00000,31.60000,424.02,129.24
136,-97.40000,31.60000,688.78,209.94
137,-95.90000,31.00000,302.72,92.27
138,-100.60000,28.90000,731.96,223.10
139,-98.90000,29.20000,736.91,224.61
140,-97.00000,30.90000,320.93,97.82
141,-97.90000,33.60000,1005.51,306.48
142,-97.60000,33.90000,745.96,227.37
143,-96.40000,32.30000,327.66,99.87
144,-97.80000,32.70000,937.47,285.74
145,-94.80000,32.10000,419.42,127.84
146,-95.30000,30.50000,336.25,102.49
147,-111.00000,39.20000,5577.89,1700.14
148,-112.00000,41.00000,4204.63,1281.57
149,-111.80000,40.80000,6740.45,2054.49
150,-113.60000,37.00000,2683.27,817.86
151,-111.80000,41.80000,4861.16,1481.68
152,-72.80000,43.10000,1423.98,434.03
153,-72.80000,44.90000,416.86,127.06
154,-72.90000,44.50000,915.98,279.19
155,-72.20000,44.20000,897.18,273.46
156,-72.70000,44.30000,655.38,199.76
157,-72.50000,44.60000,1255.87,382.79
158,-78.60000,36.60000,334.09,101.83
159,-75.80000,37.40000,1.74,0.53
160,-77.80000,38.40000,318.37,97.04
161,-77.20000,37.30000,-1.41,-0.43
162,-77.60000,38.90000,346.23,105.53
163,-79.50000,37.70000,1204.00,366.98
164,-82.20000,36.80000,2032.45,619.49
165,-78.50000,39.00000,1025.69,312.63
166,-81.50000,36.80000,3120.90,951.25
167,-77.00000,36.60000,28.25,8.61
168,-77.60000,38.20000,288.52,87.94
169,-77.10000,37.00000,93.37,28.46
170,-79.70000,37.10000,928.54,283.02
171,-82.60000,37.20000,1700.13,518.20
172,-82.40000,37.20000,1776.18,541.38
173,-76.20000,36.60000,11.42,3.48
174,-82.20000,37.10000,2148.36,654.82
175,-77.40000,37.40000,49.51,15.09
176,-82.00000,37.30000,2348.03,715.68
177,-79.00000,38.00000,1447.83,441.30
178,-78.60000,37.80000,378.61,115.40
179,-78.60000,38.00000,830.87,253.25
180,-78.60000,38.10000,586.84,178.87
181,-75.90000,37.70000,0.00,0.00
182,-77.30000,37.70000,77.53,23.63
183,-79.40000,38.40000,2588.09,788.85
184,-78.40000,38.40000,1553.35,473.46
185,-77.10000,38.30000,54.72,16.68
186,-119.50000,46.60000,734.15,223.77
187,-120.70000,47.50000,4655.81,1419.09
188,-123.60000,48.10000,702.26,214.05
189,-122.40000,45.80000,1569.00,478.23
190,-123.10000,46.20000,532.32,162.25
191,-123.20000,46.30000,838.94,255.71
192,-122.60000,48.10000,176.31,53.74
193,-122.70000,47.90000,220.96,67.35
194,-123.00000,47.50000,567.49,172.97
195,-123.80000,46.50000,510.24,155.52
196,-123.50000,46.60000,666.04,203.01
197,-117.30000,48.30000,2046.82,623.87
198,-122.30000,47.00000,620.31,189.07
199,-122.30000,48.10000,243.60,74.25
200,-121.80000,47.80000,1141.80,348.02
201,-121.50000,47.90000,2092.36,637.75
202,-117.90000,48.60000,1878.84,572.67
203,-123.40000,46.30000,222.64,67.86
204,-118.20000,46.10000,1570.34,478.64
205,-118.20000,46.20000,1416.54,431.76
206,-117.10000,46.80000,2552.26,777.93
207,-81.50000,38.50000,1026.12,312.76
208,-81.70000,37.80000,1507.78,459.57
209,-80.80000,39.80000,1079.10,328.91
210,-81.10000,39.40000,1053.02,320.96
211,-79.60000,39.40000,2095.70,638.77
212,-79.60000,39.70000,1781.82,543.10
213,-79.70000,39.60000,1728.41,526.82
214,-81.80000,38.50000,578.94,176.46
215,-79.10000,38.80000,1230.15,374.95
216,-79.60000,38.90000,3042.06,927.22
217,-78.60000,39.10000,1215.65,370.53
218,-80.10000,39.30000,1444.13,440.17
219,-81.60000,37.50000,1894.72,577.51
220,-80.30000,38.00000,2271.62,692.39
221,-80.80000,39.10000,1174.80,358.08
222,-80.70000,38.60000,1309.48,399.13
223,-89.90000,44.20000,923.52,281.49
224,-91.80000,45.50000,1258.66,383.64
225,-89.20000,43.20000,999.44,304.63
226,-88.80000,43.50000,966.04,294.45
227,-88.20000,45.90000,1310.27,399.37
228,-89.90000,43.20000,724.87,220.94
229,-87.80000,42.60000,574.87,175.22
230,-87.90000,42.80000,734.71,223.94
231,-91.30000,45.40000,1079.40,329.00
232,-91.00000,43.50000,1109.09,338.05
233,-88.80000,44.20000,747.87,227.95
234,-109.00000,44.50000,5088.78,1551.06
235,-109.60000,44.20000,8876.97,2705.70
236,-105.90000,42.90000,5323.20,1622.51
237,144.90000,13.50000,-9999,-9999
238,144.70000,13.30000,436.84,133.15
239,-86.50000,32.80000,587.37,179.03
240,-86.40000,34.40000,1027.95,313.32
241,-85.00000,32.30000,202.92,61.85
242,-86.40000,33.80000,664.37,202.50
243,-150.50000,61.60000,44.88,13.68
244,-112.10000,33.90000,2245.96,684.57
245,-112.20000,33.70000,1353.67,412.60
246,-112.30000,33.70000,1228.22,374.36
247,-111.90000,33.40000,1192.52,363.48
248,-111.60000,32.70000,1573.79,479.69
249,-111.70000,32.80000,1663.32,506.98
250,-91.80000,33.60000,258.53,78.80
251,-94.50000,36.20000,1176.64,358.64
252,-90.70000,35.70000,248.52,75.75
253,-91.70000,34.20000,184.28,56.17
254,-90.90000,34.70000,186.42,56.82
255,-118.30000,34.90000,2658.43,810.29
256,-119.70000,37.30000,3389.14,1033.01
257,-123.10000,39.20000,2895.70,882.61
258,-123.40000,39.40000,1898.39,578.63
259,-120.90000,37.40000,80.22,24.45
260,-121.90000,36.40000,269.52,82.15
261,-117.70000,33.70000,667.13,203.34
262,-116.20000,34.20000,2305.61,702.75
263,-116.30000,33.60000,810.70,247.10
264,-116.00000,34.20000,1765.09,538.00
265,-124.10000,41.90000,1347.87,410.83
266,-124.00000,41.50000,72.21,22.01
267,-104.60000,38.40000,-9999,-9999
268,-107.00000,40.50000,7073.36,2155.96
269,-73.20000,41.60000,709.48,216.25
270,-73.30000,41.80000,1248.88,380.66
271,-82.60000,30.30000,134.94,41.13
272,-81.80000,27.10000,48.39,14.75
273,-85.40000,30.60000,251.08,76.53
274,-81.60000,28.90000,67.29,20.51
275,-83.30000,30.50000,92.81,28.29
276,-81.00000,28.50000,29.36,8.95
277,-80.60000,26.70000,8.37,2.55
278,-83.60000,29.90000,28.81,8.78
279,-82.20000,33.50000,375.75,114.53
280,-83.70000,33.00000,436.65,133.09
281,-82.10000,31.30000,63.91,19.48
282,-84.00000,31.50000,289.67,88.29
283,-85.50000,34.70000,2049.70,624.75
284,-84.30000,34.90000,1689.17,514.86
285,-85.00000,32.90000,758.83,231.29
286,-84.50000,33.50000,890.35,271.38
287,-83.60000,34.50000,1366.27,416.44
288,-84.00000,32.10000,242.68,73.97
289,-84.70000,32.60000,532.97,162.45
290,-159.30000,22.00000,0.00,0.00
291,-155.10000,19.60000,1178.54,359.22
292,-116.60000,43.60000,2463.35,750.83
293,-111.30000,44.40000,6300.79,1920.48
294,-116.80000,47.50000,2833.37,863.61
295,-112.20000,42.30000,5261.25,1603.63
296,-90.30000,40.90000,757.48,230.88
297,-89.30000,37.50000,579.59,176.66
298,-90.10000,41.70000,591.67,180.34
299,-88.90000,42.30000,841.37,256.45
300,-88.00000,40.70000,663.06,202.10
301,-89.50000,37.80000,633.76,193.17
302,-86.10000,40.10000,888.35,270.77
303,-86.20000,39.40000,783.56,238.83
304,-86.80000,38.00000,409.38,124.78
305,-85.30000,40.70000,848.13,258.51
306,-86.50000,38.20000,569.82,173.68
307,-86.80000,41.80000,580.61,176.97
308,-91.70000,41.70000,694.98,211.83
309,-92.10000,43.10000,1117.98,340.76
310,-92.30000,43.00000,1097.77,334.60
311,-94.00000,41.80000,940.68,286.72
312,-91.60000,43.00000,1176.51,358.60
313,-97.90000,38.20000,1521.56,463.77
314,-96.10000,39.80000,-9999,-9999
315,-95.80000,38.80000,1148.56,350.08
316,-87.20000,37.60000,416.73,127.02
317,-86.30000,36.70000,700.00,213.36
318,-84.30000,38.30000,-9999,-9999
319,-84.30000,37.30000,1126.02,343.21
320,-84.50000,39.00000,817.81,249.27
321,-83.40000,37.30000,1203.15,366.72
322,-91.70000,30.70000,22.18,6.76
323,-91.40000,32.90000,110.30,33.62
324,-92.60000,30.90000,-9999,-9999
325,-92.90000,31.60000,94.65,28.85
326,-91.70000,32.30000,76.87,23.43
327,-90.80000,30.90000,184.35,56.19
328,-92.20000,30.80000,35.96,10.96
329,-92.10000,30.80000,35.01,10.67
330,-90.10000,30.90000,269.39,82.11
331,-91.60000,30.90000,35.07,10.69
332,-92.80000,32.00000,186.81,56.94
333,-77.30000,39.40000,490.26,149.43
334,-77.60000,39.40000,456.53,139.15
335,-70.90000,41.50000,0.00,0.00
336,-71.70000,42.70000,498.23,151.86
337,-84.10000,43.60000,623.79,190.13
338,-84.10000,43.70000,616.21,187.82
339,-85.40000,43.80000,977.89,298.06
340,-84.80000,42.40000,972.34,296.37
341,-85.10000,42.40000,859.09,261.85
342,-85.90000,43.10000,686.94,209.38
343,-92.10000,43.80000,1096.52,334.22
344,-92.70000,44.20000,1192.78,363.56
345,-95.80000,44.40000,1204.46,367.12
346,-94.40000,44.90000,1061.94,323.68
347,-93.50000,46.10000,1264.73,385.49
348,-94.30000,45.60000,1056.17,321.92
349,-95.40000,44.80000,1045.51,318.67
350,-94.40000,45.90000,1175.56,358.31
351,-91.00000,47.50000,1127.13,343.55
352,-95.00000,44.80000,1082.09,329.82
353,-89.20000,31.60000,241.01,73.46
354,-88.80000,33.40000,308.56,94.05
355,-89.60000,30.90000,241.99,73.76
356,-90.20000,31.70000,235.99,71.93
357,-90.60000,36.80000,591.31,180.23
358,-89.90000,36.20000,254.59,77.60
359,-89.40000,36.90000,317.26,96.70
360,-91.20000,38.00000,738.12,224.98
361,-114.10000,47.00000,4301.18,1311.00
362,-108.10000,46.00000,2901.38,884.34
363,-96.90000,41.50000,1308.37,398.79
364,-119.90000,39.30000,8389.44,2557.10
365,-71.90000,44.20000,1134.84,345.90
366,-72.40000,42.90000,1201.35,366.17
367,-88.30000,43.40000,1139.17,347.22
368,-75.50000,42.10000,1730.32,527.40
369,-74.70000,42.20000,2068.73,630.55
370,-78.00000,43.40000,245.44,74.81
371,-75.30000,42.90000,1529.23,466.11
372,-75.20000,43.20000,918.73,280.03
373,-75.10000,43.30000,1266.34,385.98
374,-73.70000,41.50000,725.13,221.02
375,-76.40000,42.40000,1243.14,378.91
376,-73.50000,44.00000,991.14,302.10
377,-81.60000,35.70000,1370.37,417.69
378,-81.60000,36.00000,2271.49,692.35
379,-75.80000,36.50000,-52.20,-15.91
380,-77.80000,35.00000,115.88,35.32
381,-79.80000,35.00000,329.10,100.31
382,-79.10000,34.50000,119.98,36.57
383,-78.30000,35.20000,176.41,53.77
384,-78.80000,35.50000,309.97,94.48
385,-98.40000,46.40000,1425.79,434.58
386,-81.90000,41.20000,889.70,271.18
387,-82.20000,39.10000,679.20,207.02
388,-83.10000,41.30000,643.01,195.99
389,-82.40000,39.60000,851.54,259.55
390,-83.90000,39.80000,1029.56,313.81
391,-96.80000,36.30000,887.93,270.64
392,-94.60000,35.00000,440.62,134.30
393,-75.80000,40.90000,1611.06,491.05
394,-76.20000,40.50000,635.83,193.80
395,-80.10000,41.70000,1179.20,359.42
396,-79.60000,39.90000,1876.77,572.04
397,-78.00000,40.30000,1293.27,394.19
398,-80.40000,41.20000,1143.54,348.55
399,-79.00000,41.70000,1476.51,450.04
400,-77.00000,40.10000,608.23,185.39
401,-77.90000,39.80000,613.71,187.06
402,-80.20000,33.10000,46.92,14.30
403,-80.40000,32.90000,16.63,5.07
404,-80.70000,34.70000,615.29,187.54
405,-80.30000,34.10000,174.31,53.13
406,-79.70000,32.90000,0.46,0.14
407,-100.20000,45.70000,-9999,-9999
408,-97.30000,45.40000,1838.52,560.38
409,-97.40000,44.40000,1737.14,529.48
410,-97.00000,43.90000,1635.73,498.57
411,-103.30000,44.00000,3793.50,1156.26
412,-87.10000,35.10000,849.44,258.91
413,-84.20000,35.80000,1082.91,330.07
414,-87.20000,36.60000,570.60,173.92
415,-86.80000,35.70000,713.68,217.53
416,-87.70000,36.10000,748.56,228.16
417,-81.80000,36.50000,2584.28,787.69
418,-85.80000,35.00000,1173.00,357.53
419,-89.50000,36.30000,280.71,85.56
420,-85.60000,35.70000,1378.97,420.31
421,-83.40000,36.20000,1239.53,377.81
422,-94.70000,31.40000,268.14,81.73
423,-97.70000,31.00000,677.13,206.39
424,-96.60000,30.30000,248.69,75.80
425,-97.60000,29.80000,451.15,137.51
426,-97.60000,29.70000,344.78,105.09
427,-96.70000,33.20000,643.73,196.21
428,-96.40000,29.60000,178.48,54.40
429,-97.30000,29.50000,292.32,89.10
430,-101.80000,33.60000,3209.15,978.15
431,-98.30000,32.50000,1132.55,345.20
432,-96.80000,29.90000,-9999,-9999
433,-97.00000,30.40000,448.43,136.68
434,-94.10000,30.70000,63.09,19.23
435,-97.40000,30.00000,450.69,137.37
436,-96.30000,30.50000,297.93,90.81
437,-97.00000,28.50000,60.37,18.40
438,-111.60000,39.40000,5445.28,1659.72
439,-111.80000,40.40000,4762.63,1451.65
440,-72.40000,44.90000,751.80,229.15
441,-73.00000,43.50000,1344.06,409.67
442,-72.70000,43.60000,1373.00,418.49
443,-79.70000,37.40000,937.53,285.76
444,-77.80000,39.10000,539.80,164.53
445,-80.80000,37.00000,2196.82,669.59
446,-79.10000,38.40000,1442.13,439.56
447,-77.30000,38.30000,182.05,55.49
448,-80.80000,36.90000,2171.06,661.74
449,-80.40000,37.30000,2638.16,804.11
450,-119.50000,48.70000,1452.66,442.77
451,-117.40000,47.20000,2451.21,747.13
452,-122.30000,47.90000,501.87,152.97
453,-81.20000,38.80000,937.27,285.68
454,-88.20000,44.70000,780.74,237.97
455,-88.60000,43.50000,856.92,261.19
456,-86.90000,45.30000,589.37,179.64
457,-92.00000,45.10000,1072.05,326.76
458,-88.80000,43.80000,972.87,296.53
459,-89.10000,42.80000,773.79,235.85
460,-90.10000,43.60000,915.42,279.02
461,-88.50000,44.80000,802.49,244.60
462,-88.20000,43.50000,923.92,281.61
463,-88.30000,43.10000,862.57,262.91
464,-89.20000,44.40000,996.62,303.77
465,-88.60000,44.30000,862.40,262.86
466,-89.50000,44.10000,1140.32,347.57
467,-89.70000,43.60000,837.11,255.15
468,-89.50000,43.70000,806.92,245.95
469,-88.20000,42.90000,937.17,285.65
470,-98.20000,48.40000,1582.48,482.34
471,-64.60000,17.70000,0.00,0.00
472,-86.50000,33.90000,781.56,238.22
473,-85.90000,33.80000,569.16,173.48
474,-85.70000,34.20000,554.13,168.90
475,-88.20000,32.10000,214.37,65.34
476,-87.60000,34.80000,550.79,167.88
477,-86.80000,34.00000,595.57,181.53
478,-85.80000,34.60000,1398.23,426.18
479,-86.10000,34.50000,592.81,180.69
480,-86.60000,35.00000,885.01,269.75
481,-85.90000,33.60000,867.55,264.43
482,-87.80000,30.90000,239.50,73.00
483,-147.20000,64.90000,515.75,157.20
484,-164.10000,62.80000,15.39,4.69
485,-161.30000,60.90000,11.81,3.60
486,-147.00000,64.50000,624.61,190.38
487,-149.00000,61.50000,1492.52,454.92
488,-146.30000,61.10000,0.00,0.00
489,-147.20000,64.70000,524.84,159.97
490,-145.30000,66.50000,441.77,134.65
491,-134.70000,58.40000,1334.15,406.65
492,-134.50000,58.30000,1983.86,604.68
493,-151.00000,60.50000,246.88,75.25
494,-112.10000,32.90000,1400.26,426.80
495,-110.70000,32.20000,3102.89,945.76
496,-110.60000,32.10000,3733.53,1137.98
497,-110.50000,34.40000,6551.54,1996.91
498,-111.90000,33.80000,2460.76,750.04
499,-109.30000,33.30000,5894.95,1796.78
500,-109.80000,32.90000,2818.50,859.08
