"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-90.50000,36.10000,348.65,106.27
2,-90.60000,36.10000,337.30,102.81
3,-91.10000,36.30000,309.74,94.41
4,-91.10000,36.40000,402.30,122.62
5,-91.00000,36.30000,367.45,112.00
6,-90.40000,36.50000,296.65,90.42
7,-90.20000,36.40000,333.50,101.65
8,-92.40000,34.60000,359.45,109.56
9,-94.40000,35.30000,496.10,151.21
10,-91.50000,36.20000,625.69,190.71
11,-92.00000,35.90000,676.71,206.26
12,-94.00000,36.10000,1221.13,372.20
13,-94.20000,36.20000,1301.48,396.69
14,-94.10000,36.20000,1564.70,476.92
15,-91.70000,35.10000,194.98,59.43
16,-91.50000,35.20000,193.93,59.11
17,-91.50000,35.10000,181.73,55.39
18,-92.60000,34.80000,562.73,171.52
19,-91.00000,36.20000,256.99,78.33
20,-93.10000,36.20000,1216.27,370.72
21,-91.40000,35.00000,177.43,54.08
22,-91.50000,34.80000,224.02,68.28
23,-93.10000,35.30000,436.81,133.14
24,-92.40000,36.30000,773.92,235.89
25,-90.30000,35.60000,221.62,67.55
26,-91.60000,34.50000,186.55,56.86
27,-93.20000,33.90000,240.29,73.24
28,-90.60000,34.50000,177.79,54.19
29,-93.00000,34.40000,688.48,209.85
30,-93.80000,35.50000,822.15,250.59
31,-92.50000,35.10000,313.68,95.61
32,-91.40000,33.60000,138.29,42.15
33,-90.80000,35.20000,250.36,76.31
34,-90.90000,35.20000,218.50,66.60
35,-90.50000,35.30000,215.09,65.56
36,-90.10000,35.10000,241.50,73.61
37,-90.70000,34.50000,175.82,53.59
38,-122.00000,37.50000,3.48,1.06
39,-121.60000,37.80000,74.74,22.78
40,-121.90000,37.70000,330.68,100.79
41,-122.30000,37.80000,11.29,3.44
42,-122.00000,37.60000,228.51,69.65
43,-122.20000,37.90000,553.94,168.84
44,-122.30000,37.90000,38.35,11.69
45,-120.80000,38.30000,940.12,286.55
46,-120.90000,38.40000,694.46,211.67
47,-120.70000,38.40000,2107.58,642.39
48,-121.70000,39.30000,80.58,24.56
49,-121.70000,39.70000,542.06,165.22
50,-121.50000,39.50000,428.41,130.58
