"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-75.80000,42.10000,1050.39,320.16
2,-75.80000,42.00000,1397.34,425.91
3,-75.40000,42.10000,1476.38,450.00
4,-76.00000,42.10000,839.53,255.89
5,-76.10000,42.20000,1411.84,430.33
6,-76.10000,42.10000,1140.75,347.70
7,-78.60000,42.00000,1615.12,492.29
8,-78.40000,42.10000,1796.13,547.46
9,-76.40000,42.70000,1158.43,353.09
10,-79.20000,42.50000,788.58,240.36
11,-76.70000,42.00000,1618.64,493.36
12,-75.50000,42.30000,1317.09,401.45
13,-75.50000,42.50000,1569.72,478.45
14,-75.60000,42.40000,1323.36,403.36
15,-73.40000,44.60000,93.24,28.42
16,-76.10000,42.60000,1438.78,438.54
17,-75.00000,42.10000,1961.58,597.89
18,-74.50000,42.20000,1938.35,590.81
19,-74.60000,42.10000,3369.42,1027.00
20,-74.60000,42.20000,1380.64,420.82
21,-75.30000,42.30000,1526.61,465.31
22,-75.40000,42.30000,1112.01,338.94
23,-75.10000,42.20000,1957.81,596.74
24,-78.70000,43.10000,587.14,178.96
25,-78.80000,43.00000,582.64,177.59
26,-78.70000,42.90000,630.68,192.23
27,-79.10000,42.70000,571.42,174.17
28,-78.90000,42.80000,570.41,173.86
29,-78.80000,42.80000,639.57,194.94
30,-74.30000,43.10000,868.14,264.61
31,-78.20000,43.00000,889.50,271.12
32,-75.10000,43.00000,1282.19,390.81
33,-75.00000,43.00000,579.86,176.74
34,-74.90000,43.00000,986.02,300.54
35,-75.00000,43.20000,932.22,284.14
36,-74.80000,43.20000,1543.18,470.36
37,-76.10000,44.10000,343.08,104.57
38,-80.20000,42.10000,571.39,174.16
39,-76.10000,44.20000,309.97,94.48
40,-76.20000,43.90000,244.32,74.47
41,-76.10000,43.90000,355.05,108.22
42,-77.70000,42.80000,937.40,285.72
43,-75.90000,43.00000,1293.41,394.23
44,-75.70000,43.10000,417.03,127.11
45,-77.70000,43.30000,247.08,75.31
46,-77.90000,43.40000,245.44,74.81
47,-77.80000,43.30000,284.94,86.85
48,-73.70000,40.60000,-0.85,-0.26
49,-73.50000,40.90000,-4.92,-1.50
50,-73.60000,40.60000,-4.92,-1.50
51,-73.60000,40.90000,5.97,1.82
52,-73.50000,40.70000,51.41,15.67
53,-73.70000,40.70000,58.10,17.71
54,-73.80000,40.60000,-5.31,-1.62
55,-73.70000,40.80000,109.06,33.24
56,-73.40000,40.70000,40.78,12.43
57,-73.80000,40.80000,-5.31,-1.62
58,-73.60000,40.80000,254.92,77.70
59,-74.00000,40.60000,23.56,7.18
60,-73.90000,40.60000,13.52,4.12
61,-73.90000,40.90000,159.81,48.71
62,-73.80000,40.90000,106.00,32.31
63,-73.90000,40.70000,78.54,23.94
64,-73.90000,40.80000,9.25,2.82
65,-74.10000,40.50000,0.00,0.00
66,-73.80000,40.70000,33.86,10.32
67,-75.40000,43.00000,855.87,260.87
68,-75.40000,43.10000,546.39,166.54
69,-75.30000,43.10000,448.39,136.67
70,-75.20000,43.10000,406.82,124.00
71,-76.20000,43.10000,373.59,113.87
72,-76.30000,43.10000,474.08,144.50
73,-77.30000,42.90000,776.31,236.62
74,-77.00000,42.80000,660.20,201.23
75,-77.30000,42.80000,690.65,210.51
76,-77.50000,42.80000,971.00,295.96
77,-74.20000,41.40000,454.43,138.51
78,-74.60000,41.50000,1358.79,414.16
79,-74.30000,41.20000,826.67,251.97
80,-74.00000,41.50000,-2.53,-0.77
81,-74.40000,41.50000,638.98,194.76
82,-76.10000,43.60000,438.29,133.59
83,-76.20000,43.60000,246.06,75.00
84,-76.20000,43.70000,250.49,76.35
85,-74.90000,42.70000,1383.04,421.55
86,-75.10000,42.50000,1079.49,329.03
87,-73.40000,42.90000,791.54,241.26
88,-73.70000,42.70000,75.66,23.06
89,-74.00000,41.20000,270.87,82.56
