"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-89.50000,34.40000,432.19,131.73
2,-89.40000,31.30000,352.13,107.33
3,-89.40000,31.20000,229.00,69.80
4,-88.50000,32.50000,257.55,78.50
5,-88.60000,32.40000,395.54,120.56
6,-90.10000,31.60000,205.38,62.60
7,-88.70000,34.40000,330.71,100.80
8,-88.80000,34.20000,317.65,96.82
9,-88.70000,34.20000,280.38,85.46
10,-90.10000,33.50000,139.99,42.67
11,-90.20000,33.60000,129.86,39.58
12,-88.30000,33.50000,260.86,79.51
13,-88.60000,33.50000,207.22,63.16
14,-90.10000,32.50000,269.09,82.02
15,-89.80000,31.30000,233.92,71.30
16,-89.80000,31.10000,106.43,32.44
17,-89.90000,31.30000,151.94,46.31
18,-89.70000,31.00000,205.02,62.49
19,-89.80000,31.20000,170.47,51.96
20,-88.40000,34.00000,347.97,106.06
21,-88.80000,33.50000,329.40,100.40
22,-90.10000,34.30000,168.70,51.42
23,-89.70000,30.80000,183.53,55.94
24,-89.80000,30.60000,48.00,14.63
25,-89.40000,30.90000,344.91,105.13
26,-89.70000,30.60000,54.82,16.71
27,-89.40000,30.80000,170.21,51.88
28,-88.90000,31.20000,78.31,23.87
29,-90.50000,31.00000,323.95,98.74
30,-90.50000,31.30000,452.69,137.98
31,-90.50000,31.20000,381.56,116.30
32,-89.00000,34.40000,379.72,115.74
33,-90.30000,34.20000,154.76,47.17
34,-90.10000,32.20000,371.49,113.23
35,-89.40000,32.50000,395.08,120.42
36,-89.80000,31.90000,499.11,152.13
37,-89.20000,30.90000,209.58,63.88
38,-89.10000,30.80000,153.12,46.67
39,-89.10000,30.90000,231.82,70.66
40,-90.50000,33.70000,128.05,39.03
41,-90.10000,34.10000,157.45,47.99
42,-90.40000,34.00000,140.58,42.85
43,-90.00000,34.00000,210.66,64.21
44,-90.20000,34.00000,153.28,46.72
45,-88.90000,34.70000,548.52,167.19
46,-88.30000,34.80000,516.47,157.42
47,-90.50000,34.70000,181.76,55.40
48,-90.30000,34.70000,185.43,56.52
49,-90.40000,34.70000,191.70,58.43
50,-90.10000,31.10000,277.72,84.65
51,-90.20000,31.10000,333.86,101.76
52,-91.00000,32.40000,76.87,23.43
53,-90.90000,33.30000,112.47,34.28
54,-91.00000,33.30000,111.32,33.93
55,-91.30000,31.00000,272.08,82.93
56,-91.20000,31.10000,267.36,81.49
57,-91.60000,31.20000,55.15,16.81
58,-91.50000,31.30000,56.30,17.16
59,-91.10000,31.10000,310.93,94.77
60,-91.40000,31.30000,55.48,16.91
61,-90.60000,32.70000,98.69,30.08
62,-90.40000,33.00000,100.95,30.77
63,-90.40000,32.70000,326.74,99.59
64,-94.50000,38.80000,1070.08,326.16
65,-91.90000,40.40000,693.01,211.23
66,-91.60000,40.40000,530.61,161.73
67,-94.30000,38.80000,917.75,279.73
68,-94.30000,39.30000,839.76,255.96
69,-94.20000,39.30000,814.90,248.38
70,-94.50000,39.40000,920.01,280.42
71,-91.20000,37.00000,893.34,272.29
72,-91.00000,37.00000,604.49,184.25
73,-92.00000,38.50000,661.58,201.65
74,-92.20000,38.50000,678.35,206.76
75,-92.30000,38.60000,667.22,203.37
76,-92.00000,38.60000,548.85,167.29
77,-93.50000,39.40000,807.41,246.10
78,-93.80000,39.50000,872.01,265.79
79,-91.30000,37.90000,965.55,294.30
80,-91.50000,37.80000,1122.93,342.27
81,-94.10000,40.10000,881.53,268.69
82,-94.00000,39.90000,897.61,273.59
83,-94.50000,39.80000,1005.45,306.46
84,-90.10000,36.00000,236.22,72.00
85,-91.30000,38.70000,655.25,199.72
86,-91.00000,38.40000,611.12,186.27
87,-90.80000,38.50000,821.06,250.26
88,-91.00000,38.60000,486.15,148.18
89,-91.00000,38.30000,667.45,203.44
90,-90.80000,38.40000,595.11,181.39
91,-90.90000,38.40000,487.76,148.67
92,-91.00000,38.50000,537.34,163.78
93,-90.90000,38.50000,704.76,214.81
94,-91.10000,38.30000,855.28,260.69
95,-89.70000,37.30000,380.51,115.98
96,-91.40000,38.70000,608.23,185.39
97,-91.60000,38.30000,1027.92,313.31
98,-91.60000,38.50000,692.36,211.03
99,-91.40000,38.40000,785.79,239.51
100,-93.50000,37.10000,1344.06,409.67
101,-93.30000,37.20000,1301.05,396.56
102,-93.20000,37.20000,1280.25,390.22
103,-93.50000,37.20000,1174.90,358.11
104,-93.90000,40.50000,1058.83,322.73
105,-95.20000,40.00000,992.72,302.58
106,-89.60000,37.30000,-9999,-9999
107,-95.40000,40.20000,867.26,264.34
108,-95.20000,40.10000,1066.40,325.04
109,-95.50000,40.20000,986.25,300.61
