longitude,latitude
-98.7,30.7
-102.0,33.6
-97.2,31.4
-95.6,30.9
-100.5,28.9
-99.3,29.4
-94.9,31.8
-98.1,32.6
-97.7,32.8
-99.9,31.7
-93.8,31.5
-95.1,32.1
-110.2,39.0
-109.6,40.5
-72.1,44.8
-72.4,43.5
-73.2,44.5
-72.7,43.0
-73.1,44.2
-72.7,44.5
-76.7,37.7
-79.3,37.9
-79.5,37.6
-79.0,38.7
-82.3,36.9
-82.6,36.8
-80.5,37.3
-78.2,39.1
-78.3,39.3
-77.7,37.2
-78.1,38.5
-78.0,38.4
-81.9,37.3
-78.9,37.4
-96.3,42.8
-78.5,38.3
-77.5,39.0
-124.3,48.2
-123.0,47.6
-121.4,47.4
-122.3,46.5
-123.1,47.5
-123.8,46.8
-117.1,48.3
-123.0,48.5
-117.3,47.6
-117.4,47.8
-122.8,47.1
-80.5,39.2
-80.9,37.3
-82.3,37.9
-81.1,38.2
-79.7,39.7
-81.5,38.8
-80.8,37.5
-81.1,38.1
-91.8,44.9
-90.0,43.2
-87.7,45.2
-89.4,43.7
-92.4,44.6
-92.7,45.1
-91.2,44.3
-91.2,43.6
-90.8,43.7
-105.6,41.3
-107.7,41.0
-65.4,18.1
-85.8,33.8
-85.2,31.1
-87.8,30.7
-150.1,61.8
-162.6,66.9
-109.9,31.4
-111.5,34.4
-111.0,32.5
-112.5,34.9
-111.7,33.2
-90.7,35.6
-92.4,34.9
-121.6,39.7
-120.0,36.9
-119.6,37.3
-120.6,37.4
-117.1,33.0
-120.6,35.2
-121.6,38.4
-117.0,32.6
-124.2,41.7
-119.1,36.1
-104.7,39.5
-105.1,39.4
-102.2,40.1
-104.8,40.2
-75.6,38.9
-84.8,30.7
-81.5,27.3
-85.0,30.7
-82.2,29.5
-86.7,30.9
-80.9,27.7
-82.3,28.4
-82.2,28.3
-81.8,28.3
-81.9,29.7
-81.9,29.8
-82.0,29.7
-83.3,29.8
-86.0,30.8
-80.9,28.4
-81.9,32.4
-82.1,31.4
-81.3,31.4
-83.3,34.8
-83.4,34.9
-84.1,34.7
-84.9,32.9
-82.9,31.6
-84.3,33.4
-84.6,31.6
-155.8,19.9
-113.8,44.5
-89.8,40.1
-89.6,42.4
-88.9,42.2
-89.3,37.3
-89.1,37.9
-87.5,40.8
-85.9,40.4
-85.7,41.7
-92.4,42.4
-91.9,40.7
-91.5,41.8
-92.4,43.4
-97.5,37.8
-83.8,38.1
-83.9,36.7
-88.2,37.1
-82.9,37.2
-92.0,31.8
-86.6,35.5
-92.4,30.9
-91.2,30.2
-91.1,30.1
-93.3,32.1
-91.7,32.4
-89.2,38.3
-90.3,30.3
-92.7,29.7
-69.1,44.2
-70.7,43.7
-83.0,42.7
-86.4,43.9
-93.0,45.5
-92.7,43.6
-93.4,44.2
-92.8,44.1
-95.0,45.9
-90.0,47.8
-95.9,47.2
-89.6,34.8
-89.7,34.9
-90.9,32.7
-89.9,32.6
-89.9,34.7
-93.6,39.3
-94.3,38.7
-94.3,40.2
-89.7,36.1
-93.4,37.1
-111.3,47.0
-99.5,40.7
-96.2,40.5
-99.4,41.3
-97.8,41.8
-115.9,36.1
-71.8,44.3
-107.4,33.1
-106.9,34.0
-78.9,42.7
-78.2,43.4
-75.7,44.6
-75.6,44.6
-73.7,44.0
-76.3,44.1
-80.7,35.4
-81.0,35.4
-82.2,35.6
-79.7,35.9
-81.9,35.3
-83.0,35.1
-80.1,35.3
-79.3,35.3
-84.2,39.0
-84.8,40.3
-83.0,40.4
-83.3,39.7
-83.9,41.0
-82.4,39.9
-94.7,36.7
-95.6,36.9
-123.9,44.7
-80.0,42.2
-79.4,41.6
-80.4,39.8
-80.4,40.9
-76.5,41.3
-81.8,33.5
-79.8,33.0
-80.0,33.2
-79.9,34.2
-83.1,34.9
-80.3,34.0
-79.5,33.7
-82.1,35.0
-97.2,45.0
-87.2,35.7
-86.6,35.7
-84.3,35.6
-82.5,36.2
-83.8,35.9
-97.6,28.2
-96.8,28.5
-96.7,29.5
-96.6,29.9
-106.6,32.0
-98.3,26.5
-96.0,33.3
-97.2,29.3
-95.9,31.6
-95.7,32.7
-97.0,28.7
-98.4,30.2
-99.8,29.9
-94.3,30.8
-94.5,30.8
-97.8,26.9
-99.8,30.4
-102.0,32.0
-110.8,39.6
-111.8,40.0
-73.2,43.5
-72.9,43.5
-72.6,43.2
-72.9,42.9
-73.4,43.9
-72.3,44.9
