"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-81.70000,30.30000,21.33,6.50
2,-78.40000,40.50000,1226.12,373.72
3,-97.00000,28.00000,-0.36,-0.11
4,-97.00000,28.10000,-0.36,-0.11
5,-97.10000,28.10000,-0.36,-0.11
6,-95.20000,29.80000,30.54,9.31
7,-97.20000,27.90000,10.04,3.06
8,-86.50000,32.40000,150.92,46.00
9,-87.90000,30.60000,150.10,45.75
10,-87.90000,30.50000,101.87,31.05
11,-87.70000,30.40000,70.83,21.59
12,-87.60000,30.30000,-2.72,-0.83
13,-87.70000,30.30000,11.12,3.39
14,-87.60000,30.40000,54.07,16.48
16,-87.80000,30.60000,121.82,37.13
17,-87.80000,30.50000,53.12,16.19
18,-87.70000,30.50000,117.75,35.89
19,-87.20000,32.20000,116.54,35.52
20,-87.20000,32.30000,162.63,49.57
21,-87.50000,31.00000,280.77,85.58
22,-87.10000,31.10000,168.54,51.37
23,-85.90000,34.00000,511.38,155.87
24,-85.90000,31.10000,212.60,64.80
25,-85.70000,31.10000,266.57,81.25
26,-87.80000,32.50000,173.23,52.80
27,-85.20000,31.20000,225.46,68.72
28,-85.40000,31.20000,312.34,95.20
29,-86.30000,34.60000,582.15,177.44
30,-87.00000,33.40000,443.73,135.25
31,-86.80000,33.60000,561.48,171.14
32,-86.90000,33.50000,539.76,164.52
33,-86.70000,33.60000,707.97,215.79
34,-86.80000,33.40000,615.49,187.60
35,-86.60000,33.60000,860.14,262.17
36,-86.60000,34.70000,599.11,182.61
37,-86.30000,34.70000,664.63,202.58
38,-86.40000,34.70000,609.91,185.90
39,-86.60000,34.80000,866.21,264.02
40,-88.10000,30.80000,29.40,8.96
41,-88.00000,30.80000,0.46,0.14
42,-86.30000,32.40000,140.65,42.87
43,-86.20000,32.40000,183.37,55.89
44,-86.40000,32.30000,205.61,62.67
45,-86.30000,32.30000,173.49,52.88
46,-86.60000,34.50000,1236.75,376.96
47,-85.10000,32.50000,532.05,162.17
