"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-111.60000,40.80000,6094.16,1857.50
2,-111.90000,40.80000,4925.53,1501.30
3,-111.90000,41.30000,6784.84,2068.02
4,-111.80000,41.70000,4999.97,1523.99
5,-111.80000,40.70000,4859.65,1481.22
6,-113.70000,37.10000,3286.61,1001.76
7,-112.00000,41.50000,4515.12,1376.21
8,-73.30000,44.90000,147.38,44.92
9,-72.40000,43.70000,643.60,196.17
10,-73.10000,44.90000,152.49,46.48
11,-72.60000,44.80000,1828.22,557.24
12,-72.80000,44.70000,1097.31,334.46
13,-72.60000,44.40000,1528.67,465.94
14,-73.10000,44.80000,357.12,108.85
15,-72.30000,44.50000,1278.71,389.75
16,-72.10000,44.20000,1044.62,318.40
17,-72.40000,44.50000,1325.33,403.96
18,-72.00000,44.50000,666.11,203.03
19,-72.90000,42.80000,1799.93,548.62
20,-72.00000,44.40000,1075.79,327.90
21,-72.40000,44.40000,1324.34,403.66
22,-72.40000,44.30000,794.23,242.08
23,-72.20000,44.70000,1285.30,391.76
24,-72.60000,43.80000,1126.57,343.38
25,-72.50000,44.50000,1469.32,447.85
26,-72.60000,44.60000,744.19,226.83
27,-76.40000,37.50000,27.69,8.44
28,-76.60000,37.60000,87.01,26.52
29,-80.30000,37.10000,1910.53,582.33
30,-75.80000,37.50000,0.82,0.25
31,-75.90000,37.30000,1.02,0.31
32,-76.00000,37.30000,7.05,2.15
33,-76.00000,37.40000,0.00,0.00
34,-76.30000,37.90000,7.02,2.14
35,-76.40000,37.90000,89.86,27.39
36,-76.40000,38.00000,0.00,0.00
37,-76.40000,37.40000,-2.62,-0.80
38,-76.40000,37.70000,82.22,25.06
39,-77.80000,38.30000,437.89,133.47
40,-78.40000,38.70000,1064.76,324.54
41,-78.40000,38.80000,856.59,261.09
42,-77.20000,37.20000,129.66,39.52
43,-77.10000,37.20000,43.24,13.18
44,-77.30000,38.60000,73.10,22.28
45,-76.60000,37.30000,-3.22,-0.98
46,-77.40000,38.80000,316.57,96.49
47,-77.30000,38.50000,0.00,0.00
48,-80.10000,37.20000,1662.66,506.78
49,-79.40000,37.90000,1094.75,333.68
50,-79.50000,38.00000,1405.41,428.37
51,-79.40000,37.80000,1076.80,328.21
52,-79.00000,38.40000,1205.28,367.37
53,-78.80000,38.60000,1090.35,332.34
54,-79.00000,38.60000,1970.08,600.48
55,-78.90000,38.30000,1163.06,354.50
56,-78.80000,38.30000,1046.23,318.89
57,-78.60000,38.40000,1066.14,324.96
58,-82.50000,36.60000,1563.29,476.49
59,-78.60000,38.90000,1159.25,353.34
60,-78.60000,38.80000,900.59,274.50
61,-78.40000,39.00000,772.97,235.60
62,-78.70000,38.90000,1746.69,532.39
63,-78.70000,38.80000,1295.37,394.83
64,-78.50000,38.80000,2217.78,675.98
65,-76.90000,36.50000,28.67,8.74
66,-77.40000,38.20000,151.08,46.05
67,-77.50000,38.30000,228.31,69.59
68,-77.40000,38.40000,157.48,48.00
69,-80.80000,37.30000,3051.08,929.97
70,-77.00000,37.20000,113.02,34.45
