"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-98.70000,30.70000,1168.31,356.10
2,-102.00000,33.60000,3316.60,1010.90
3,-97.20000,31.40000,646.56,197.07
4,-95.60000,30.90000,143.83,43.84
5,-100.50000,28.90000,889.17,271.02
6,-99.30000,29.40000,989.60,301.63
7,-94.90000,31.80000,484.51,147.68
8,-98.10000,32.60000,890.06,271.29
9,-97.70000,32.80000,895.70,273.01
10,-99.90000,31.70000,1601.44,488.12
11,-93.80000,31.50000,192.59,58.70
12,-95.10000,32.10000,451.90,137.74
13,-110.20000,39.00000,4178.51,1273.61
14,-109.60000,40.50000,5787.34,1763.98
15,-72.10000,44.80000,1187.47,361.94
16,-72.40000,43.50000,674.74,205.66
17,-73.20000,44.50000,179.99,54.86
18,-72.70000,43.00000,1290.91,393.47
19,-73.10000,44.20000,488.02,148.75
20,-72.70000,44.50000,1236.88,377.00
21,-76.70000,37.70000,103.64,31.59
22,-79.30000,37.90000,1771.00,539.80
23,-79.50000,37.60000,789.44,240.62
24,-79.00000,38.70000,2635.01,803.15
25,-82.30000,36.90000,1715.16,522.78
26,-82.60000,36.80000,1384.81,422.09
27,-80.50000,37.30000,2128.15,648.66
28,-78.20000,39.10000,754.27,229.90
29,-78.30000,39.30000,827.13,252.11
30,-77.70000,37.20000,241.14,73.50
31,-78.10000,38.50000,483.76,147.45
32,-78.00000,38.40000,348.13,106.11
33,-81.90000,37.30000,1992.65,607.36
34,-78.90000,37.40000,642.52,195.84
35,-96.30000,42.80000,1265.85,385.83
36,-78.50000,38.30000,780.68,237.95
37,-77.50000,39.00000,291.31,88.79
38,-124.30000,48.20000,911.98,277.97
39,-123.00000,47.60000,381.56,116.30
40,-121.40000,47.40000,2695.08,821.46
41,-122.30000,46.50000,1385.17,422.20
42,-123.10000,47.50000,384.28,117.13
43,-123.80000,46.80000,342.78,104.48
44,-117.10000,48.30000,3134.12,955.28
45,-123.00000,48.50000,0.00,0.00
46,-117.30000,47.60000,3275.75,998.45
47,-117.40000,47.80000,1831.96,558.38
48,-122.80000,47.10000,219.03,66.76
49,-80.50000,39.20000,1129.17,344.17
50,-80.90000,37.30000,2174.84,662.89
51,-82.30000,37.90000,1389.53,423.53
52,-81.10000,38.20000,1144.65,348.89
53,-79.70000,39.70000,1912.17,582.83
54,-81.50000,38.80000,907.45,276.59
55,-80.80000,37.50000,1801.15,548.99
56,-81.10000,38.10000,818.41,249.45
57,-91.80000,44.90000,894.69,272.70
58,-90.00000,43.20000,728.05,221.91
59,-87.70000,45.20000,637.20,194.22
60,-89.40000,43.70000,833.53,254.06
61,-92.40000,44.60000,1091.96,332.83
62,-92.70000,45.10000,998.46,304.33
63,-91.20000,44.30000,863.25,263.12
64,-91.20000,43.60000,903.02,275.24
65,-90.80000,43.70000,1262.50,384.81
66,-105.60000,41.30000,7148.16,2178.76
67,-107.70000,41.00000,6202.85,1890.63
68,-65.40000,18.10000,0.00,0.00
69,-85.80000,33.80000,819.39,249.75
70,-85.20000,31.10000,151.80,46.27
71,-87.80000,30.70000,174.31,53.13
72,-150.10000,61.80000,191.54,58.38
73,-162.60000,66.90000,0.00,0.00
74,-109.90000,31.40000,4983.14,1518.86
75,-111.50000,34.40000,5885.53,1793.91
76,-111.00000,32.50000,3540.72,1079.21
77,-112.50000,34.90000,4366.44,1330.89
78,-111.70000,33.20000,1454.89,443.45
79,-90.70000,35.60000,316.54,96.48
80,-92.40000,34.90000,369.49,112.62
81,-121.60000,39.70000,1080.71,329.40
82,-120.00000,36.90000,271.23,82.67
83,-119.60000,37.30000,3000.20,914.46
84,-120.60000,37.40000,188.85,57.56
85,-117.10000,33.00000,566.50,172.67
86,-120.60000,35.20000,266.96,81.37
87,-121.60000,38.40000,4.40,1.34
88,-117.00000,32.60000,376.77,114.84
89,-124.20000,41.70000,0.00,0.00
90,-119.10000,36.10000,387.30,118.05
91,-104.70000,39.50000,6253.64,1906.11
92,-105.10000,39.40000,7300.89,2225.31
93,-102.20000,40.10000,3649.54,1112.38
94,-104.80000,40.20000,4889.60,1490.35
95,-75.60000,38.90000,51.80,15.79
96,-84.80000,30.70000,213.29,65.01
97,-81.50000,27.30000,88.16,26.87
98,-85.00000,30.70000,109.51,33.38
99,-82.20000,29.50000,57.45,17.51
100,-86.70000,30.90000,165.26,50.37
101,-80.90000,27.70000,60.40,18.41
102,-82.30000,28.40000,176.12,53.68
103,-82.20000,28.30000,78.44,23.91
104,-81.80000,28.30000,124.87,38.06
