longitude,latitude
-75.8,42.1
-75.8,42.0
-75.4,42.1
-76.0,42.1
-76.1,42.2
-76.1,42.1
-78.6,42.0
-78.4,42.1
-76.4,42.7
-79.2,42.5
-76.7,42.0
-75.5,42.3
-75.5,42.5
-75.6,42.4
-73.4,44.6
-76.1,42.6
-75.0,42.1
-74.5,42.2
-74.6,42.1
-74.6,42.2
-75.3,42.3
-75.4,42.3
-75.1,42.2
-78.7,43.1
-78.8,43.0
-78.7,42.9
-79.1,42.7
-78.9,42.8
-78.8,42.8
-74.3,43.1
-78.2,43.0
-75.1,43.0
-75.0,43.0
-74.9,43.0
-75.0,43.2
-74.8,43.2
-76.1,44.1
-80.2,42.1
-76.1,44.2
-76.2,43.9
-76.1,43.9
-77.7,42.8
-75.9,43.0
-75.7,43.1
-77.7,43.3
-77.9,43.4
-77.8,43.3
-73.7,40.6
-73.5,40.9
-73.6,40.6
-73.6,40.9
-73.5,40.7
-73.7,40.7
-73.8,40.6
-73.7,40.8
-73.4,40.7
-73.8,40.8
-73.6,40.8
-74.0,40.6
-73.9,40.6
-73.9,40.9
-73.8,40.9
-73.9,40.7
-73.9,40.8
-74.1,40.5
-73.8,40.7
-75.4,43.0
-75.4,43.1
-75.3,43.1
-75.2,43.1
-76.2,43.1
-76.3,43.1
-77.3,42.9
-77.0,42.8
-77.3,42.8
-77.5,42.8
-74.2,41.4
-74.6,41.5
-74.3,41.2
-74.0,41.5
-74.4,41.5
-76.1,43.6
-76.2,43.6
-76.2,43.7
-74.9,42.7
-75.1,42.5
-73.4,42.9
-73.7,42.7
-74.0,41.2
-74.0,41.1
-73.9,41.1
-73.9,41.0
-74.2,41.2
-75.4,44.6
-73.7,42.8
-73.9,42.8
-74.0,42.8
-74.5,42.7
-76.7,42.9
-73.4,40.6
-73.3,40.7
-72.1,41.0
-72.2,40.9
-73.4,40.9
-73.4,40.8
-73.0,40.8
-73.0,40.7
-73.1,40.9
-73.0,40.9
-72.6,40.9
-72.6,40.8
-73.2,40.8
-73.2,40.9
-74.9,41.8
-74.9,41.9
-76.2,42.2
-76.2,42.3
-76.4,42.0
-76.3,42.0
-76.2,42.0
-76.2,42.1
-76.3,42.1
-76.5,43.4
-76.5,42.2
-76.5,42.5
-74.1,41.8
-74.0,42.1
-74.5,42.1
-74.0,41.9
-74.3,41.8
-74.3,41.7
-74.1,42.0
-74.3,41.3
-74.2,41.3
-73.7,43.7
-73.7,43.4
-76.9,43.3
-77.0,43.3
-73.8,41.0
-73.7,41.2
-73.8,41.1
-73.7,40.9
-73.8,41.2
-73.8,41.3
-76.1,43.1
-72.4,41.1
-73.8,41.7
-76.0,43.1
-73.9,41.2
-76.2,44.0
-79.3,42.1
-75.8,42.3
-74.3,43.4
-73.9,41.6
-73.9,42.1
-73.7,43.9
-73.5,43.8
-76.3,42.6
-74.8,42.5
-75.1,42.4
-74.9,42.8
-75.0,42.8
-75.4,42.4
-74.7,42.6
-73.4,44.9
-73.8,41.6
-77.9,42.9
-74.5,41.9
-72.3,40.9
-73.6,41.6
-74.3,41.4
-79.1,42.6
-73.1,40.8
-72.7,40.8
-72.9,41.0
-73.1,40.7
-72.8,40.8
-72.9,40.8
-72.9,40.7
-73.2,40.7
-73.2,40.6
-73.1,40.6
-72.3,41.0
-72.4,40.9
-72.5,40.9
-81.0,36.4
-81.9,36.1
-76.6,35.4
-76.6,35.5
-76.7,35.4
-76.6,35.6
-76.8,35.4
-77.0,35.5
-76.7,35.5
-76.5,35.5
-76.8,35.3
-77.0,35.6
-82.7,35.6
-82.5,35.7
-82.5,35.8
-82.6,35.6
-82.5,35.6
-80.6,35.3
-80.6,35.4
-80.5,35.4
-76.1,36.3
-76.5,34.8
-76.9,34.7
-76.4,34.9
-76.6,34.8
-76.6,34.7
-76.6,35.0
-76.6,34.9
-76.5,34.7
-76.4,34.8
-77.0,34.7
-76.3,34.9
-77.1,34.7
-76.8,34.7
-76.3,35.0
-76.7,34.7
-77.1,34.6
-81.1,35.7
-81.1,35.8
-81.3,35.7
-81.3,35.8
-76.6,36.1
-77.0,35.1
-76.9,35.1
-76.9,35.0
-76.7,35.0
-76.7,34.9
-77.1,35.1
-77.1,35.2
-79.0,35.0
-78.8,34.9
-78.9,35.1
-78.8,35.0
-78.9,35.0
-75.8,36.3
-75.8,36.1
-75.9,36.2
-75.8,36.4
-76.0,36.4
-80.1,35.9
-78.9,36.0
-77.7,36.0
-77.6,35.8
-77.9,36.0
-77.8,36.0
-77.8,35.9
-77.5,36.0
-77.5,35.9
-81.2,35.2
-79.6,36.2
-80.0,36.0
-77.4,36.0
-82.8,35.5
-82.5,35.3
-76.0,35.1
-76.5,35.4
-76.3,35.4
-76.0,35.5
-76.5,35.6
-76.1,35.6
-78.2,35.5
-78.4,35.4
-78.4,35.5
-78.3,35.5
-77.6,35.3
-82.0,35.7
-80.7,35.2
-80.8,35.2
-80.9,35.2
-80.8,35.3
-80.9,35.3
-81.0,35.1
-81.0,35.3
-77.9,34.3
-77.7,34.3
-77.9,34.1
-77.8,34.3
-77.8,34.2
-77.9,34.0
-77.4,34.7
-77.4,34.8
-79.0,35.9
-76.6,35.3
-76.7,35.1
-76.7,35.2
-76.6,35.1
-76.8,35.0
-76.8,35.1
-76.1,36.2
-76.3,36.2
-76.2,36.2
-76.3,36.3
-76.2,36.3
-77.6,34.4
-77.5,34.4
-77.5,34.5
-77.6,34.3
-82.3,35.3
-82.3,35.2
-79.0,34.6
-79.0,34.7
-79.7,36.5
-80.0,36.4
-80.5,35.7
-80.5,35.6
-76.1,36.0
-80.7,35.0
-80.6,35.0
-78.8,35.6
-78.6,35.8
-78.7,35.8
-78.7,35.9
-81.8,36.2
-81.7,36.1
-81.7,36.2
-78.1,35.4
-78.0,35.3
-78.0,35.4
-82.3,35.8
-82.2,35.9
-78.3,35.0
-78.0,35.7
-79.1,35.9
-83.2,35.4
-83.1,35.2
-77.1,36.0
-78.2,34.5
-78.6,33.9
-78.0,33.8
-76.7,36.2
-76.5,36.1
-76.6,36.0
-78.7,34.3
-78.9,34.2
-80.3,35.8
-80.3,36.0
-77.4,34.5
-77.8,34.6
-77.9,34.6
-77.7,34.4
-77.9,35.6
-77.3,35.6
-77.5,35.8
-77.6,35.4
-77.8,35.6
-78.4,34.0
-76.6,35.2
-75.7,36.1
-78.0,33.9
-79.4,35.2
-77.5,34.6
-77.3,34.5
-80.6,35.5
-77.9,34.5
-78.1,35.6
-78.2,33.9
-78.1,33.9
-80.4,36.0
-80.4,36.1
-75.8,36.2
-75.7,36.2
-75.5,35.4
-75.5,35.6
-75.7,35.2
-75.6,35.3
-75.6,35.2
-75.5,35.3
-75.7,35.7
-75.7,36.0
-75.5,35.5
-75.7,35.9
-75.8,35.9
-75.6,35.9
-75.8,35.7
-75.6,35.8
-79.8,36.1
-79.9,36.0
-78.3,33.9
-78.4,33.9
-75.6,36.0
-78.5,33.9
-80.3,36.1
-80.3,36.2
-80.2,36.1
-103.5,46.9
-100.8,46.7
-100.9,47.0
-100.9,46.9
-96.9,46.9
-100.4,46.4
-97.6,47.8
-100.8,46.8
-97.7,46.4
-96.8,46.4
-98.6,46.7
-97.4,48.4
-97.4,48.3
-97.1,47.8
-96.9,47.0
-96.8,47.0
-97.0,46.6
-96.8,47.1
-97.2,48.1
-96.9,46.8
-96.8,46.8
-96.8,46.9
-97.1,47.9
-101.3,48.2
-101.2,48.2
-101.4,48.3
-101.4,48.2
-80.9,41.7
-80.8,41.8
-84.8,39.4
-84.5,39.4
-84.6,39.4
-84.7,39.4
-84.5,39.5
-80.8,40.6
-81.6,41.4
-81.5,41.5
-84.6,40.1
-84.4,41.3
-83.1,40.2
-82.7,41.4
-82.6,41.4
-82.9,41.4
-82.7,41.5
-82.5,39.9
-82.6,39.7
-81.6,40.0
-84.4,39.1
-84.8,39.3
-84.4,39.2
-84.5,39.2
-83.6,41.0
-83.7,41.0
-83.7,41.1
-82.0,40.5
-82.7,39.1
-82.6,39.1
-82.5,40.4
-81.3,41.7
-82.5,40.0
-82.4,40.1
-83.9,40.5
-82.2,41.4
-82.1,41.3
-82.2,41.5
-83.3,41.7
-80.7,41.0
-80.7,41.1
-83.2,40.5
-83.4,40.6
-81.8,41.3
-84.5,40.5
-84.2,40.0
-84.2,39.9
-84.3,39.7
-81.5,39.7
-83.1,41.6
-83.0,41.5
-83.4,41.6
-82.8,41.7
-84.6,41.1
-83.0,39.6
-83.0,39.1
-81.3,41.3
-84.6,39.7
-84.5,39.9
-84.1,41.0
-84.0,41.0
-82.7,40.9
-83.4,41.5
-82.9,38.8
-84.1,40.3
-81.4,40.8
-81.3,40.8
-81.5,41.2
-80.9,41.3
-81.4,39.4
-81.4,39.6
-81.5,39.4
-83.4,41.0
-83.7,39.9
-84.3,39.6
-84.3,40.8
-84.0,40.7
-80.8,40.0
-81.9,40.3
-81.2,41.7
-83.9,41.4
-84.8,40.7
-82.9,40.1
-84.3,39.9
