longitude,latitude
-96.7,46.2
-96.8,46.6
-97.1,46.4
-99.3,46.7
-99.1,48.4
-97.3,47.5
-100.2,46.2
-98.3,46.1
-97.1,48.3
-97.5,48.5
-101.0,48.1
-101.1,46.9
-98.1,48.0
-98.5,47.8
-101.6,47.2
-98.1,47.0
-99.2,48.0
-81.4,41.6
-82.6,38.7
-82.7,38.6
-82.1,41.5
-83.2,40.6
-82.3,39.1
-81.8,39.1
-84.1,40.2
-81.0,39.8
-81.8,39.7
-81.8,39.5
-82.1,40.0
-83.2,41.5
-84.4,41.1
-84.4,41.2
-82.2,39.7
-82.1,39.6
-83.0,39.0
-82.6,40.9
-82.5,40.7
-83.0,39.3
-83.3,41.4
-83.0,38.8
-81.4,41.0
-81.7,41.2
-81.0,41.2
-81.0,41.3
-80.8,41.1
-81.3,40.4
-81.6,40.6
-83.3,40.4
-81.7,39.6
-81.7,39.3
-81.5,39.6
-81.9,40.8
-82.0,40.8
-84.7,41.7
-84.6,41.7
-83.7,41.4
-83.5,40.8
-83.4,40.9
-84.1,40.8
-82.3,40.6
-82.2,39.4
-84.4,39.4
-83.7,40.1
-83.8,39.9
-84.2,39.2
-84.2,38.9
-84.1,39.0
-81.7,40.3
-82.0,40.3
-84.5,41.4
-82.6,39.8
-83.0,39.8
-84.4,41.5
-84.0,41.5
-81.3,41.5
-82.7,41.2
-82.5,39.0
-82.2,40.3
-97.3,34.7
-97.9,36.7
-99.9,34.7
-97.4,36.7
-94.8,33.9
-95.1,36.3
-97.2,35.3
-97.1,34.2
-96.3,36.7
-96.8,36.0
-122.2,45.4
-122.1,45.4
-122.9,45.3
-122.9,45.4
-123.3,45.7
-122.9,45.6
-117.5,45.6
-117.6,45.8
-118.6,45.7
-118.4,45.9
-119.2,45.8
-123.9,45.2
-124.3,43.4
-124.0,43.5
-123.3,43.0
-119.0,44.4
-123.0,42.4
-123.6,42.6
-122.6,44.1
-123.2,44.0
-122.9,44.6
-123.1,44.5
-122.8,44.8
-117.0,44.0
-122.9,45.2
-77.5,40.3
-77.4,40.4
-77.7,41.8
-78.1,41.8
-77.9,41.9
-76.7,41.5
-76.5,41.5
-76.0,41.7
-77.3,41.8
-79.8,41.5
-79.1,41.8
-80.5,40.1
-75.2,41.8
-75.4,41.6
-76.5,39.8
-77.1,40.0
-79.7,40.5
-79.5,40.6
-80.3,40.9
-78.2,40.0
-78.6,40.0
-75.9,40.5
-78.2,41.4
-75.8,40.8
-77.6,41.1
-78.8,40.8
-80.3,41.6
-80.2,41.7
-80.2,41.6
-80.0,41.6
-77.1,40.2
-77.4,40.2
-78.7,41.5
-80.0,41.9
-79.9,41.9
-77.5,39.7
-78.1,40.7
-77.8,40.7
-79.1,41.1
-76.1,41.4
-75.7,41.2
-77.3,41.4
-77.5,41.3
-78.3,41.9
-75.5,41.0
-81.2,34.7
-80.4,33.1
-79.3,33.3
-78.8,33.9
-79.1,34.3
-80.7,34.4
-80.8,34.7
-81.4,34.2
-80.9,33.4
-80.8,33.5
-82.8,34.7
-81.8,35.1
-82.2,34.9
-97.1,42.8
-98.3,44.9
-97.5,45.5
-98.1,45.9
-98.3,45.3
-97.2,44.7
-98.7,45.5
-98.5,45.0
-96.9,44.3
-97.0,44.6
-98.2,44.4
-85.9,36.0
-87.2,36.0
-87.3,36.2
-89.4,35.9
-86.9,35.3
-87.7,35.7
-85.6,36.4
-84.2,36.0
-89.5,35.9
-87.2,35.3
-87.4,35.2
-87.5,35.6
-84.4,35.7
-86.0,36.6
