"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-70.80000,41.90000,120.34,36.68
2,-83.90000,43.90000,579.40,176.60
3,-87.10000,45.70000,584.25,178.08
4,-83.40000,44.30000,577.49,176.02
5,-84.00000,41.90000,815.91,248.69
6,-83.10000,42.50000,633.56,193.11
7,-86.30000,42.40000,579.53,176.64
8,-86.40000,43.40000,636.38,193.97
9,-84.70000,42.50000,882.51,268.99
10,-86.50000,44.00000,580.41,176.91
11,-83.40000,43.90000,576.74,175.79
12,-85.50000,43.60000,886.81,270.30
13,-87.60000,45.20000,631.27,192.41
14,-84.80000,43.70000,813.81,248.05
15,-84.40000,43.70000,647.61,197.39
16,-85.50000,42.60000,744.36,226.88
17,-85.80000,42.20000,826.38,251.88
18,-93.50000,46.70000,1214.60,370.21
19,-93.20000,45.10000,910.27,277.45
20,-93.20000,44.80000,908.17,276.81
21,-91.80000,43.50000,1167.26,355.78
22,-92.60000,44.20000,996.85,303.84
23,-93.50000,44.90000,875.52,266.86
24,-93.70000,44.20000,1049.80,319.98
25,-94.40000,46.00000,1135.30,346.04
26,-95.60000,46.20000,1419.00,432.51
27,-97.10000,48.10000,813.98,248.10
28,-93.30000,45.20000,890.81,271.52
29,-94.30000,44.20000,994.23,303.04
30,-92.50000,43.90000,1297.57,395.50
31,-92.80000,45.10000,940.26,286.59
32,-91.10000,31.30000,293.04,89.32
33,-89.60000,33.00000,379.30,115.61
34,-89.60000,31.60000,352.46,107.43
35,-90.30000,32.40000,263.25,80.24
36,-90.40000,32.30000,236.55,72.10
37,-90.40000,31.60000,483.96,147.51
38,-90.10000,34.40000,186.22,56.76
39,-89.90000,32.40000,329.53,100.44
40,-89.90000,32.30000,408.73,124.58
41,-90.70000,32.80000,92.62,28.23
42,-90.90000,32.50000,83.17,25.35
43,-90.70000,32.60000,84.74,25.83
44,-90.90000,32.60000,88.98,27.12
45,-90.00000,32.70000,288.78,88.02
46,-88.90000,31.40000,174.44,53.17
47,-91.50000,39.30000,760.24,231.72
48,-92.10000,38.80000,780.25,237.82
49,-92.70000,38.00000,977.36,297.90
50,-92.90000,39.70000,802.49,244.60
51,-93.20000,39.70000,741.50,226.01
52,-90.10000,36.20000,259.28,79.03
53,-94.00000,40.30000,881.89,268.80
54,-91.90000,36.80000,1196.49,364.69
55,-93.10000,39.80000,824.02,251.16
56,-94.20000,39.10000,819.75,249.86
57,-94.90000,40.40000,1129.30,344.21
58,-92.20000,37.90000,1023.98,312.11
59,-91.60000,40.20000,652.66,198.93
60,-89.80000,36.90000,307.38,93.69
61,-109.20000,45.60000,3621.29,1103.77
62,-110.60000,46.00000,5116.83,1559.61
63,-105.20000,48.10000,1941.90,591.89
64,-96.30000,41.00000,1184.15,360.93
65,-98.40000,40.70000,1963.35,598.43
66,-117.70000,41.00000,4328.71,1319.39
67,-118.90000,39.50000,4013.06,1223.18
68,-71.70000,43.70000,789.76,240.72
69,-74.90000,41.00000,520.01,158.50
70,-106.70000,32.40000,4421.78,1347.76
71,-108.70000,35.50000,6839.63,2084.72
72,-107.30000,33.10000,4262.04,1299.07
73,-106.90000,34.10000,4650.49,1417.47
74,-105.40000,36.70000,8977.59,2736.37
75,-104.20000,35.40000,4197.18,1279.30
76,-73.90000,42.60000,323.23,98.52
77,-76.60000,43.00000,540.32,164.69
78,-78.60000,42.90000,740.19,225.61
79,-74.30000,42.20000,2528.94,770.82
80,-76.20000,43.80000,288.81,88.03
81,-75.50000,42.80000,1322.61,403.13
82,-76.40000,42.90000,862.20,262.80
83,-77.50000,42.70000,804.00,245.06
84,-78.50000,43.40000,245.21,74.74
85,-75.50000,44.30000,485.17,147.88
86,-72.80000,41.00000,0.00,0.00
87,-74.70000,41.80000,1638.85,499.52
88,-76.50000,42.10000,1422.08,433.45
89,-76.90000,43.10000,392.26,119.56
90,-78.30000,42.90000,1093.77,333.38
91,-77.30000,42.70000,1440.55,439.08
92,-74.60000,42.30000,2211.94,674.20
93,-79.40000,42.20000,1518.04,462.70
94,-75.20000,43.30000,1052.92,320.93
95,-73.60000,42.70000,454.82,138.63
96,-75.60000,44.40000,363.78,110.88
97,-73.50000,42.30000,1583.63,482.69
98,-74.50000,44.00000,1789.96,545.58
99,-73.00000,41.00000,0.00,0.00
100,-79.40000,36.10000,582.45,177.53
101,-82.50000,35.50000,2392.36,729.19
102,-81.70000,35.70000,1214.04,370.04
103,-80.50000,35.30000,575.79,175.50
104,-81.40000,35.70000,1021.39,311.32
105,-81.20000,35.70000,1043.86,318.17
106,-82.80000,35.40000,3461.29,1055.00
107,-82.50000,35.20000,2348.69,715.88
108,-76.30000,35.50000,1.67,0.51
109,-81.00000,35.50000,860.07,262.15
110,-81.30000,35.50000,840.32,256.13
111,-83.30000,35.10000,3670.77,1118.85
112,-82.20000,35.30000,1369.75,417.50
113,-79.20000,34.60000,153.97,46.93
114,-79.00000,34.50000,122.05,37.20
115,-82.10000,35.40000,831.43,253.42
116,-80.60000,36.50000,1007.97,307.23
117,-80.70000,34.90000,676.48,206.19
118,-78.50000,35.90000,321.59,98.02
119,-78.00000,35.50000,143.24,43.66
120,-79.90000,35.90000,745.21,227.14
121,-79.00000,35.30000,269.32,82.09
122,-78.40000,35.90000,317.03,96.63
123,-97.00000,47.70000,859.02,261.83
124,-97.40000,47.90000,927.23,282.62
125,-97.20000,48.50000,803.02,244.76
126,-97.00000,47.10000,895.08,272.82
127,-100.30000,46.10000,2029.59,618.62
128,-99.10000,48.20000,1456.86,444.05
129,-84.40000,40.80000,797.74,243.15
130,-81.80000,41.40000,799.97,243.83
131,-84.60000,39.90000,1068.80,325.77
132,-83.00000,40.20000,944.32,287.83
133,-82.70000,39.90000,960.14,292.65
134,-81.50000,41.60000,652.49,198.88
135,-83.80000,40.30000,1114.53,339.71
136,-80.60000,40.90000,1177.26,358.83
137,-83.10000,38.70000,645.44,196.73
138,-82.20000,39.30000,806.07,245.69
139,-82.90000,40.70000,1055.54,321.73
140,-83.70000,41.30000,683.63,208.37
141,-99.40000,35.00000,1731.04,527.62
142,-97.30000,36.70000,1016.90,309.95
143,-97.70000,35.90000,1023.46,311.95
144,-97.40000,35.00000,1133.23,345.41
145,-96.10000,36.70000,757.55,230.90
146,-98.30000,34.80000,1292.95,394.09
147,-97.00000,34.80000,1148.82,350.16
148,-95.90000,36.30000,683.73,208.40
149,-96.20000,36.20000,796.82,242.87
150,-97.90000,36.50000,1304.72,397.68
151,-98.20000,35.00000,1339.53,408.29
152,-98.50000,34.80000,1432.41,436.60
153,-95.30000,35.60000,514.96,156.96
154,-95.90000,35.60000,694.26,211.61
155,-94.90000,36.60000,742.78,226.40
156,-97.50000,35.00000,1090.29,332.32
157,-95.50000,36.30000,706.66,215.39
158,-123.60000,45.90000,934.61,284.87
159,-123.80000,46.10000,29.17,8.89
160,-124.10000,43.10000,287.47,87.62
161,-124.10000,43.50000,1004.27,306.10
162,-124.50000,42.90000,37.89,11.55
163,-117.00000,43.90000,2179.79,664.40
164,-123.00000,42.50000,1328.28,404.86
165,-123.00000,42.60000,1554.63,473.85
166,-123.20000,44.10000,370.60,112.96
167,-123.50000,44.20000,1059.81,323.03
168,-75.90000,40.00000,698.92,213.03
169,-78.60000,40.80000,1705.91,519.96
170,-77.50000,41.20000,1329.89,405.35
171,-80.00000,42.10000,1126.87,343.47
172,-80.10000,41.20000,1342.78,409.28
