"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-81.80000,30.20000,71.46,21.78
2,-81.70000,30.10000,16.63,5.07
3,-81.80000,30.10000,0.46,0.14
4,-81.90000,30.10000,31.30,9.54
5,-81.70000,30.00000,25.49,7.77
6,-81.60000,29.90000,-2.00,-0.61
7,-81.90000,30.00000,100.26,30.56
8,-81.70000,30.20000,24.57,7.49
9,-81.40000,25.80000,0.98,0.30
10,-81.80000,26.20000,12.70,3.87
11,-81.60000,26.30000,13.68,4.17
12,-81.80000,26.10000,2.26,0.69
13,-81.70000,26.00000,1.48,0.45
14,-81.80000,26.30000,10.70,3.26
15,-81.70000,26.20000,11.19,3.41
16,-81.70000,26.10000,9.78,2.98
17,-81.60000,26.00000,1.54,0.47
18,-81.60000,25.90000,-4.10,-1.25
19,-81.50000,26.20000,11.98,3.65
20,-81.70000,26.30000,6.82,2.08
21,-81.40000,26.40000,25.33,7.72
22,-81.50000,26.00000,4.49,1.37
23,-81.60000,26.20000,10.79,3.29
24,-81.30000,25.90000,1.05,0.32
25,-81.50000,26.30000,17.59,5.36
26,-81.70000,25.90000,-4.10,-1.25
27,-81.50000,26.40000,19.78,6.03
28,-81.40000,25.90000,-1.74,-0.53
29,-82.70000,30.10000,75.56,23.03
30,-82.60000,30.40000,123.29,37.58
31,-82.60000,30.10000,107.02,32.62
32,-82.80000,29.90000,58.69,17.89
33,-82.70000,30.20000,112.01,34.14
34,-82.00000,27.20000,33.86,10.32
35,-81.90000,27.30000,67.65,20.62
36,-81.90000,27.20000,51.28,15.63
37,-82.00000,27.10000,18.08,5.51
38,-83.10000,29.60000,30.87,9.41
39,-81.40000,30.30000,9.68,2.95
40,-81.60000,30.10000,6.30,1.92
41,-81.40000,30.40000,-3.51,-1.07
42,-81.60000,30.30000,22.60,6.89
43,-81.60000,30.40000,-2.00,-0.61
44,-81.60000,30.20000,30.45,9.28
45,-81.50000,30.40000,17.72,5.40
46,-81.50000,30.20000,39.30,11.98
47,-81.70000,30.40000,0.75,0.23
48,-81.50000,30.30000,41.60,12.68
49,-81.60000,30.60000,26.31,8.02
50,-81.70000,30.50000,19.13,5.83
51,-81.80000,30.30000,73.16,22.30
52,-81.50000,30.10000,22.47,6.85
53,-81.90000,30.30000,83.96,25.59
54,-81.60000,30.50000,20.24,6.17
55,-81.80000,30.40000,19.49,5.94
56,-87.30000,30.50000,106.76,32.54
57,-87.40000,30.30000,0.00,0.00
58,-87.30000,30.40000,30.94,9.43
59,-87.30000,30.60000,102.82,31.34
60,-87.20000,30.50000,106.30,32.40
61,-87.10000,30.30000,0.00,0.00
62,-87.20000,30.40000,0.00,0.00
63,-87.40000,30.60000,21.95,6.69
64,-87.30000,30.30000,0.00,0.00
65,-81.20000,29.60000,-2.46,-0.75
66,-81.20000,29.50000,23.95,7.30
67,-81.10000,29.50000,0.00,0.00
68,-81.10000,29.40000,-0.03,-0.01
69,-84.60000,29.80000,13.42,4.09
70,-84.80000,29.70000,-0.98,-0.30
71,-84.90000,29.60000,0.00,0.00
72,-84.90000,29.70000,0.00,0.00
73,-84.90000,29.80000,6.17,1.88
74,-84.40000,29.90000,5.61,1.71
75,-84.50000,29.90000,0.00,0.00
76,-84.70000,29.80000,0.00,0.00
77,-85.00000,29.60000,4.66,1.42
78,-84.80000,29.80000,8.92,2.72
79,-84.60000,29.90000,19.49,5.94
80,-84.70000,29.90000,14.14,4.31
81,-84.30000,29.90000,0.00,0.00
82,-85.00000,29.70000,0.00,0.00
83,-83.00000,29.70000,35.14,10.71
84,-81.50000,26.80000,30.05,9.16
85,-81.10000,26.80000,8.73,2.66
86,-85.20000,29.70000,3.05,0.93
87,-85.30000,29.70000,6.30,1.92
88,-85.30000,29.90000,17.98,5.48
89,-85.40000,29.70000,0.00,0.00
90,-85.40000,29.80000,0.00,0.00
91,-81.80000,27.60000,44.62,13.60
92,-81.80000,27.50000,63.22,19.27
93,-81.80000,27.40000,45.14,13.76
94,-81.80000,27.30000,75.23,22.93
95,-80.90000,26.70000,10.33,3.15
96,-81.10000,26.70000,19.42,5.92
97,-81.00000,26.70000,16.11,4.91
98,-82.60000,28.50000,26.35,8.03
99,-82.70000,28.40000,-0.10,-0.03
100,-82.70000,28.60000,0.00,0.00
101,-82.70000,28.50000,0.00,0.00
102,-82.20000,28.50000,64.70,19.72
103,-82.50000,28.50000,62.14,18.94
104,-82.60000,28.60000,6.66,2.03
105,-81.40000,27.40000,121.85,37.14
106,-81.50000,27.50000,158.66,48.36
107,-81.30000,27.40000,36.78,11.21
108,-81.40000,27.30000,72.11,21.98
109,-81.40000,27.50000,99.54,30.34
110,-81.30000,27.30000,36.78,11.21
111,-81.40000,27.60000,78.41,23.90
112,-82.60000,28.00000,7.81,2.38
113,-82.60000,28.10000,41.60,12.68
114,-82.40000,27.70000,36.94,11.26
115,-82.40000,28.00000,55.22,16.83
116,-82.20000,28.10000,75.52,23.02
117,-82.50000,28.10000,50.62,15.43
118,-82.40000,27.80000,5.31,1.62
119,-82.20000,28.00000,112.96,34.43
120,-82.30000,28.00000,132.64,40.43
121,-82.20000,27.90000,36.52,11.13
122,-82.50000,27.70000,2.07,0.63
123,-82.30000,27.90000,32.51,9.91
124,-82.40000,27.90000,3.38,1.03
125,-82.60000,28.20000,38.29,11.67
126,-82.30000,28.10000,28.58,8.71
127,-82.10000,28.00000,137.24,41.83
128,-82.30000,27.80000,80.54,24.55
129,-82.20000,27.80000,79.49,24.23
130,-82.50000,27.90000,13.52,4.12
131,-82.50000,28.00000,23.75,7.24
132,-82.40000,28.10000,38.58,11.76
133,-80.40000,27.70000,0.62,0.19
134,-80.30000,27.60000,0.00,0.00
135,-80.60000,27.80000,23.49,7.16
136,-80.40000,27.60000,20.83,6.35
137,-80.50000,27.60000,23.06,7.03
138,-80.40000,27.80000,-0.03,-0.01
139,-85.40000,30.80000,141.17,43.03
140,-85.20000,30.70000,63.62,19.39
141,-81.70000,28.50000,124.64,37.99
142,-81.90000,28.60000,90.68,27.64
143,-84.20000,30.40000,80.51,24.54
144,-84.20000,30.50000,188.19,57.36
145,-84.30000,30.40000,48.85,14.89
146,-83.00000,29.10000,0.00,0.00
147,-83.10000,29.10000,0.00,0.00
148,-83.10000,29.20000,-2.00,-0.61
149,-83.10000,29.30000,1.15,0.35
150,-83.20000,30.50000,78.25,23.85
151,-82.60000,27.50000,12.83,3.91
152,-82.50000,27.40000,26.57,8.10
153,-82.40000,27.40000,51.05,15.56
154,-82.60000,27.40000,-1.15,-0.35
155,-82.70000,27.50000,-1.15,-0.35
156,-82.10000,27.40000,67.62,20.61
157,-82.40000,27.50000,23.23,7.08
158,-82.60000,27.60000,-1.15,-0.35
159,-82.50000,27.50000,8.27,2.52
160,-82.30000,27.40000,87.73,26.74
161,-82.50000,27.60000,25.66,7.82
162,-82.20000,29.20000,53.28,16.24
163,-82.30000,29.30000,77.99,23.77
164,-82.30000,29.40000,85.83,26.16
165,-82.30000,29.20000,71.19,21.70
166,-82.30000,29.10000,74.84,22.81
167,-80.20000,27.20000,6.76,2.06
168,-80.30000,27.20000,6.50,1.98
169,-80.20000,27.30000,0.00,0.00
170,-80.20000,27.10000,16.86,5.14
171,-81.80000,24.60000,-1.64,-0.50
172,-81.80000,24.50000,0.00,0.00
173,-81.70000,24.60000,-1.64,-0.50
174,-80.80000,24.80000,0.00,0.00
175,-81.80000,30.50000,9.12,2.78
176,-81.50000,30.60000,5.87,1.79
177,-81.50000,30.50000,2.10,0.64
178,-81.70000,30.60000,1.44,0.44
179,-81.40000,30.50000,0.00,0.00
180,-81.90000,30.40000,79.79,24.32
181,-81.90000,30.60000,71.26,21.72
182,-82.00000,30.80000,7.74,2.36
183,-81.80000,30.60000,16.04,4.89
184,-81.40000,30.60000,0.00,0.00
185,-81.40000,30.70000,0.00,0.00
186,-86.40000,30.50000,61.48,18.74
187,-86.70000,30.40000,12.60,3.84
