longitude,latitude
-87.3,33.6
-87.1,31.8
-86.7,32.4
-146.9,64.9
-150.0,61.8
-150.0,62.2
-147.7,64.8
-149.4,61.6
-132.9,56.8
-146.5,61.1
-147.0,64.6
-156.9,64.7
-134.4,58.3
-150.9,60.5
-111.1,31.6
-110.8,33.0
-111.7,32.9
-111.9,33.3
-111.3,32.5
-110.7,32.1
-113.9,36.9
-114.4,34.6
-111.7,33.4
-112.1,33.6
-114.5,33.6
-109.1,32.8
-109.7,32.8
-112.0,33.8
-110.3,31.5
-109.5,34.0
-111.9,34.6
-90.6,35.7
-91.0,34.2
-90.4,35.8
-93.2,33.3
-92.3,34.5
-90.8,35.1
-93.2,36.0
-91.1,34.6
-90.1,35.4
-90.2,35.6
-90.9,36.0
-91.0,36.1
-91.6,34.1
-91.2,35.6
-91.2,35.7
-91.6,35.8
-91.4,35.6
-91.8,35.9
-90.5,36.0
-90.6,36.5
-90.7,36.4
-92.5,34.7
-92.2,34.5
-91.4,36.3
-91.7,35.3
-91.8,35.3
-91.9,35.1
-91.4,35.1
-91.2,33.1
-92.1,33.6
-94.3,36.5
-94.0,36.5
-91.6,35.1
-93.0,35.4
-92.1,34.8
-91.3,34.5
-93.2,34.5
-91.5,36.4
-92.3,35.1
-92.3,35.0
-90.7,34.6
-91.0,34.1
-90.7,35.2
-120.8,38.4
-121.9,39.7
-122.1,39.1
-122.1,39.2
-121.6,37.9
-124.1,41.6
-120.8,38.7
-121.1,38.7
-119.7,37.0
-124.1,40.5
-124.0,40.8
-123.9,40.3
-118.9,35.4
-119.0,35.3
-118.8,35.2
-122.8,38.9
-118.4,34.7
-118.4,33.9
-118.4,34.2
-118.0,34.2
-117.8,34.0
-118.2,34.7
-118.3,34.5
-118.1,34.0
-118.0,34.0
-118.3,33.8
-118.6,34.7
-122.5,38.1
-122.7,38.1
-122.5,37.8
-123.1,39.3
-120.3,37.2
-119.3,37.9
-122.6,38.6
-121.1,39.2
-121.2,39.2
-121.0,39.3
-117.9,33.9
-117.6,33.5
-117.7,33.9
-120.9,40.1
-121.1,40.0
-120.6,39.8
-117.5,33.9
-117.4,33.7
-121.3,38.6
-121.6,38.3
-121.6,38.1
-121.2,38.4
-121.5,38.3
-121.2,38.5
-121.4,36.9
-121.5,36.8
-117.4,34.2
-117.3,34.5
-116.8,34.3
-117.6,34.2
-117.3,33.2
-117.2,33.3
-121.3,38.1
-121.4,38.2
-121.3,37.9
-121.1,38.0
-121.4,37.8
-120.5,35.6
-120.9,35.4
-120.7,35.3
-121.1,35.6
-120.5,35.3
-122.4,37.5
-122.3,37.2
-119.5,34.4
-122.0,37.1
-122.4,40.5
-120.4,39.6
-123.2,41.8
-123.0,41.6
-122.4,41.5
-122.4,38.3
-123.0,38.4
-122.4,38.2
-121.1,37.4
-120.8,37.8
-120.9,37.7
-121.9,39.1
-121.8,39.1
-122.2,39.9
-122.1,39.9
-122.7,41.1
-122.9,40.7
-123.1,40.8
-119.3,35.9
-118.8,36.1
-118.9,36.4
-119.1,36.4
-119.1,34.2
-119.0,34.0
-121.7,38.8
-121.8,38.7
-122.0,38.9
-122.0,38.7
-104.8,39.6
-105.0,40.0
-105.7,39.7
-105.6,39.8
-106.4,39.6
-104.7,38.8
-104.6,39.0
-107.3,39.5
-105.9,37.5
-105.0,39.6
-104.7,39.6
-105.1,39.6
-105.4,40.3
-105.0,40.5
-105.0,40.6
-105.1,40.3
-105.3,40.7
-103.7,39.3
-108.5,39.1
-107.9,38.5
-103.9,40.3
-103.6,38.0
-103.7,38.1
-103.7,38.0
-102.7,38.1
-104.6,38.3
-104.5,38.2
-105.0,38.1
-104.8,38.3
-105.0,39.0
-104.9,40.4
-104.7,40.4
-104.9,40.2
-73.0,41.8
-73.4,41.7
-73.5,41.6
-73.3,41.7
-72.5,41.4
-72.6,41.6
-72.3,41.4
-72.3,42.0
-72.4,41.7
-72.0,41.9
-72.1,41.8
-73.5,41.5
-75.2,38.9
-75.3,38.8
-75.4,38.7
-75.5,39.3
-75.6,38.7
-75.3,38.5
-85.6,31.4
-87.0,30.8
-81.0,28.6
-81.0,28.8
-84.4,30.1
-84.4,30.3
-84.5,30.1
-119.1,46.2
-80.3,26.9
-81.4,27.9
-81.5,27.8
-81.7,27.9
-82.0,30.3
-86.4,30.9
-80.8,27.4
-80.8,27.5
-84.1,30.5
-84.3,30.3
-82.8,29.0
-83.4,30.6
-81.9,29.3
-81.9,29.0
-80.7,27.1
-81.8,28.6
-82.3,28.9
-82.4,29.0
-82.6,30.2
-82.9,29.6
-81.3,29.5
-82.9,29.8
-82.9,29.7
-85.2,30.0
-83.2,30.4
-81.0,26.8
-81.2,26.7
-81.4,26.5
-83.4,34.0
-83.9,33.6
-84.1,33.7
-84.3,31.6
-84.0,30.9
-84.0,30.8
-82.4,32.2
-85.3,34.8
-84.9,34.7
-85.0,34.7
