"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-112.30000,42.80000,4656.14,1419.19
2,-89.20000,37.70000,477.49,145.54
3,-89.20000,37.80000,379.79,115.76
4,-90.30000,39.00000,567.52,172.98
5,-90.60000,39.10000,421.10,128.35
6,-90.50000,39.20000,640.52,195.23
7,-90.50000,39.00000,857.15,261.26
8,-90.50000,39.10000,674.51,205.59
9,-90.20000,39.10000,570.60,173.92
10,-90.40000,39.10000,587.30,179.01
11,-91.40000,40.00000,573.69,174.86
12,-91.10000,39.90000,682.12,207.91
13,-89.30000,37.20000,336.61,102.60
14,-89.20000,37.00000,315.49,96.16
15,-89.40000,37.20000,509.38,155.26
16,-89.40000,37.30000,530.02,161.55
17,-89.30000,37.10000,323.75,98.68
18,-90.70000,39.90000,532.48,162.30
19,-89.20000,41.40000,661.45,201.61
20,-90.60000,39.30000,422.90,128.90
21,-90.70000,39.30000,723.03,220.38
22,-90.00000,39.90000,637.04,194.17
23,-90.20000,40.00000,600.49,183.03
24,-90.10000,40.10000,455.58,138.86
25,-88.00000,39.90000,694.88,211.80
26,-88.40000,40.30000,738.78,225.18
27,-88.00000,40.10000,672.51,204.98
28,-88.20000,39.90000,657.32,200.35
29,-87.50000,41.70000,580.25,176.86
30,-87.90000,41.70000,650.33,198.22
31,-87.70000,41.90000,598.82,182.52
32,-87.60000,41.50000,664.47,202.53
33,-87.90000,41.80000,649.05,197.83
34,-87.80000,41.60000,703.84,214.53
35,-87.60000,41.80000,593.50,180.90
36,-87.60000,41.90000,574.84,175.21
37,-88.60000,41.70000,712.57,217.19
38,-88.80000,42.10000,785.93,239.55
39,-88.60000,41.80000,759.45,231.48
40,-88.70000,41.90000,888.78,270.90
41,-89.00000,40.20000,737.76,224.87
42,-88.30000,39.80000,659.78,201.10
43,-88.20000,41.90000,775.23,236.29
44,-88.20000,42.00000,819.52,249.79
45,-88.10000,41.70000,690.03,210.32
46,-88.90000,37.90000,427.59,130.33
47,-90.30000,40.40000,567.22,172.89
48,-90.00000,40.40000,453.97,138.37
49,-90.20000,40.40000,601.57,183.36
50,-90.30000,40.70000,529.20,161.30
51,-90.00000,40.50000,603.08,183.82
52,-88.30000,37.70000,522.34,159.21
53,-88.40000,41.40000,546.65,166.62
54,-88.30000,41.20000,576.18,175.62
55,-88.30000,41.50000,569.65,173.63
56,-91.40000,40.30000,694.75,211.76
57,-91.10000,40.60000,631.36,192.44
58,-90.30000,41.50000,658.79,200.80
59,-90.30000,39.10000,580.94,177.07
60,-90.40000,42.40000,880.54,268.39
61,-88.40000,41.90000,767.65,233.98
62,-88.30000,41.80000,721.39,219.88
63,-88.40000,41.80000,707.84,215.75
64,-88.50000,42.10000,924.28,281.72
65,-87.90000,41.10000,617.36,188.17
66,-87.70000,41.20000,662.01,201.78
67,-88.50000,41.60000,747.80,227.93
68,-88.40000,41.60000,676.25,206.12
69,-90.40000,41.00000,765.12,233.21
70,-90.40000,40.90000,783.60,238.84
71,-88.20000,42.50000,861.22,262.50
72,-88.10000,42.30000,798.49,243.38
73,-88.00000,42.20000,722.44,220.20
74,-87.80000,42.40000,577.00,175.87
75,-89.00000,41.30000,635.27,193.63
76,-88.80000,41.40000,589.17,179.58
77,-88.90000,41.30000,609.38,185.74
78,-89.00000,41.00000,685.66,208.99
79,-88.70000,41.50000,538.09,164.01
80,-88.90000,41.60000,695.67,212.04
81,-88.90000,41.20000,561.68,171.20
82,-88.60000,41.30000,485.79,148.07
83,-89.10000,41.30000,629.89,191.99
84,-87.70000,38.70000,431.00,131.37
85,-87.60000,38.70000,409.55,124.83
86,-89.50000,41.80000,699.70,213.27
87,-89.50000,41.90000,712.60,217.20
88,-88.40000,42.30000,959.15,292.35
89,-88.30000,42.50000,839.90,256.00
90,-88.50000,42.20000,883.73,269.36
91,-89.00000,40.50000,773.52,235.77
92,-89.20000,40.50000,732.12,223.15
93,-89.80000,39.10000,637.96,194.45
94,-90.10000,38.80000,430.71,131.28
95,-89.90000,38.90000,487.93,148.72
96,-90.20000,39.00000,535.56,163.24
97,-90.00000,38.80000,530.58,161.72
98,-90.10000,38.90000,476.15,145.13
99,-89.90000,38.80000,551.35,168.05
100,-89.40000,41.10000,514.21,156.73
101,-89.40000,41.00000,530.91,161.82
102,-90.10000,40.20000,476.74,145.31
103,-90.10000,40.30000,445.05,135.65
104,-90.00000,40.30000,493.60,150.45
105,-89.80000,40.20000,649.57,197.99
106,-90.90000,41.10000,563.68,171.81
107,-90.20000,38.40000,575.07,175.28
108,-90.30000,38.30000,682.68,208.08
109,-90.20000,38.20000,598.88,182.54
110,-90.30000,38.40000,401.02,122.23
111,-90.50000,39.90000,444.03,135.34
112,-90.60000,39.80000,424.25,129.31
113,-90.60000,39.90000,618.41,188.49
114,-89.30000,42.10000,697.34,212.55
115,-89.40000,42.00000,796.29,242.71
116,-89.70000,40.80000,706.10,215.22
117,-89.60000,40.90000,667.49,203.45
118,-90.80000,39.40000,565.62,172.40
119,-90.60000,39.50000,436.88,133.16
120,-90.70000,39.70000,622.57,189.76
121,-91.00000,39.50000,446.78,136.18
122,-89.90000,38.10000,436.81,133.14
123,-90.10000,38.10000,550.39,167.76
124,-89.70000,38.00000,438.68,133.71
125,-91.10000,41.30000,545.47,166.26
126,-90.80000,41.40000,760.20,231.71
127,-90.30000,41.60000,684.15,208.53
128,-90.60000,41.50000,557.02,169.78
129,-90.50000,41.40000,733.53,223.58
130,-90.00000,38.50000,498.29,151.88
131,-90.20000,38.50000,590.22,179.90
132,-89.90000,38.50000,451.51,137.62
133,-89.80000,38.50000,431.46,131.51
134,-89.80000,38.70000,492.36,150.07
135,-88.50000,37.80000,416.99,127.10
136,-89.70000,39.80000,588.81,179.47
137,-89.90000,39.80000,622.05,189.60
138,-89.70000,39.70000,582.71,177.61
139,-89.60000,39.60000,600.00,182.88
140,-89.50000,39.70000,583.50,177.85
141,-90.40000,40.20000,646.16,196.95
142,-89.70000,40.40000,522.24,159.18
143,-89.80000,40.40000,506.86,154.49
144,-89.50000,40.70000,693.57,211.40
145,-89.50000,40.60000,713.22,217.39
146,-87.70000,40.50000,702.17,214.02
147,-87.70000,38.40000,391.93,119.46
148,-88.10000,38.00000,368.24,112.24
149,-88.20000,38.10000,408.69,124.57
150,-89.70000,41.80000,670.11,204.25
151,-88.20000,41.70000,666.57,203.17
152,-88.00000,41.50000,647.01,197.21
153,-88.20000,41.30000,556.10,169.50
154,-88.10000,41.30000,606.14,184.75
155,-88.10000,41.60000,674.44,205.57
156,-87.90000,41.50000,733.43,223.55
157,-87.60000,41.40000,737.57,224.81
158,-87.80000,41.50000,717.06,218.56
159,-88.90000,37.80000,490.65,149.55
160,-88.90000,37.70000,468.34,142.75
161,-89.10000,37.70000,404.13,123.18
162,-89.00000,37.80000,418.18,127.46
163,-89.00000,37.70000,406.36,123.86
164,-89.20000,42.20000,811.29,247.28
165,-89.00000,42.40000,814.17,248.16
166,-89.00000,42.50000,784.12,239.00
167,-89.00000,42.30000,871.72,265.70
168,-89.10000,42.20000,723.65,220.57
169,-89.30000,40.90000,709.22,216.17
170,-89.30000,40.80000,771.98,235.30
171,-89.90000,37.90000,369.06,112.49
172,-86.40000,38.80000,713.75,217.55
173,-86.30000,38.80000,552.95,168.54
174,-86.50000,38.80000,515.52,157.13
175,-85.70000,40.30000,881.33,268.63
176,-85.80000,40.20000,837.17,255.17
177,-84.90000,40.70000,831.82,253.54
178,-85.20000,41.10000,829.66,252.88
179,-85.00000,41.10000,748.16,228.04
180,-85.30000,41.00000,752.79,229.45
181,-85.40000,41.30000,960.04,292.62
182,-86.70000,40.90000,683.17,208.23
183,-86.90000,40.60000,689.37,210.12
184,-86.80000,40.70000,677.82,206.60
185,-85.10000,40.70000,825.82,251.71
186,-86.10000,38.80000,549.05,167.35
187,-85.80000,39.10000,665.88,202.96
188,-86.00000,39.30000,674.80,205.68
189,-85.90000,39.10000,641.17,195.43
190,-85.90000,39.30000,649.70,198.03
191,-85.90000,39.20000,630.15,192.07
192,-86.30000,39.30000,792.39,241.52
193,-86.20000,38.40000,706.20,215.25
194,-86.40000,40.40000,845.67,257.76
195,-87.40000,38.00000,406.33,123.85
196,-86.40000,40.80000,748.33,228.09
197,-85.80000,38.40000,538.52,164.14
198,-87.10000,38.10000,389.37,118.68
199,-85.90000,38.50000,949.70,289.47
200,-86.70000,40.40000,645.83,196.85
201,-86.30000,38.30000,818.80,249.57
202,-85.10000,41.40000,883.04,269.15
203,-85.10000,41.30000,827.79,252.31
204,-85.30000,40.10000,1003.05,305.73
205,-85.30000,40.20000,973.46,296.71
206,-86.90000,38.40000,517.16,157.63
207,-85.90000,41.70000,751.94,229.19
208,-85.80000,41.60000,864.24,263.42
209,-85.80000,41.40000,922.77,281.26
210,-85.90000,41.60000,794.19,242.07
211,-87.40000,39.40000,496.56,151.35
212,-85.10000,39.40000,898.65,273.91
213,-85.20000,39.30000,980.41,298.83
214,-84.90000,39.40000,911.55,277.84
215,-84.90000,39.30000,552.66,168.45
216,-86.20000,41.10000,769.72,234.61
217,-86.40000,41.10000,751.51,229.06
218,-86.30000,41.10000,752.85,229.47
219,-87.50000,39.30000,540.72,164.81
220,-87.40000,39.70000,493.01,150.27
221,-87.60000,38.00000,390.26,118.95
222,-86.90000,39.00000,526.80,160.57
223,-85.90000,39.90000,857.84,261.47
224,-86.00000,40.00000,810.14,246.93
225,-86.20000,40.00000,915.62,279.08
226,-85.80000,39.80000,888.06,270.68
227,-85.70000,39.80000,929.36,283.27
228,-85.70000,39.70000,826.80,252.01
229,-85.90000,39.80000,862.14,262.78
230,-86.20000,38.20000,606.36,184.82
