"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-90.00000,35.10000,292.22,89.07
2,-90.00000,35.20000,275.79,84.06
3,-89.90000,35.10000,301.44,91.88
4,-90.10000,35.20000,215.75,65.76
5,-89.80000,35.10000,307.97,93.87
6,-89.90000,35.30000,270.83,82.55
7,-86.40000,36.40000,605.68,184.61
8,-86.60000,36.30000,508.56,155.01
9,-86.50000,36.60000,759.35,231.45
10,-89.60000,35.60000,267.91,81.66
11,-86.20000,36.30000,692.09,210.95
12,-86.90000,35.90000,896.46,273.24
13,-87.00000,36.00000,691.11,210.65
14,-86.80000,36.00000,683.79,208.42
15,-86.50000,36.30000,443.80,135.27
16,-86.30000,36.00000,690.94,210.60
17,-86.50000,36.20000,526.90,160.60
18,-86.40000,36.30000,564.63,172.10
19,-86.40000,36.10000,602.49,183.64
20,-86.30000,36.20000,566.80,172.76
21,-87.70000,36.30000,643.83,196.24
22,-89.70000,35.30000,258.23,78.71
23,-90.00000,35.30000,242.55,73.93
24,-84.30000,36.00000,830.94,253.27
25,-82.00000,36.40000,2567.68,782.63
26,-84.40000,35.50000,1010.14,307.89
27,-87.10000,36.00000,741.54,226.02
28,-84.70000,35.10000,862.73,262.96
29,-89.70000,35.10000,275.26,83.90
30,-82.60000,36.10000,2788.39,849.90
31,-86.10000,36.20000,655.58,199.82
32,-85.90000,36.30000,620.96,189.27
33,-86.60000,36.40000,752.00,229.21
34,-86.30000,36.40000,604.49,184.25
35,-86.70000,36.40000,762.53,232.42
36,-83.90000,35.80000,909.71,277.28
37,-84.90000,35.20000,734.28,223.81
38,-85.50000,36.60000,598.36,182.38
39,-89.70000,35.20000,321.13,97.88
40,-89.80000,35.40000,364.73,111.17
41,-87.00000,35.60000,595.60,181.54
42,-85.30000,35.00000,657.35,200.36
43,-84.10000,36.60000,963.25,293.60
44,-82.30000,36.30000,1614.30,492.04
45,-83.80000,36.00000,923.62,281.52
46,-83.60000,35.80000,1073.03,327.06
47,-85.20000,35.30000,1064.80,324.55
48,-85.20000,35.20000,810.53,247.05
49,-94.80000,31.20000,205.22,62.55
50,-97.10000,28.00000,17.36,5.29
51,-98.40000,29.10000,497.90,151.76
52,-96.10000,29.60000,130.54,39.79
53,-99.10000,29.70000,1596.75,486.69
54,-97.70000,31.10000,812.63,247.69
55,-97.80000,31.10000,988.98,301.44
56,-97.60000,31.10000,840.16,256.08
57,-97.50000,31.00000,568.86,173.39
58,-98.70000,29.30000,636.19,193.91
59,-98.70000,29.60000,1131.66,344.93
60,-98.60000,29.50000,908.43,276.89
61,-94.70000,30.10000,65.81,20.06
62,-94.70000,30.00000,55.18,16.82
63,-98.50000,29.50000,787.11,239.91
64,-98.40000,29.60000,883.20,269.20
65,-98.50000,29.60000,949.84,289.51
66,-98.60000,29.40000,664.40,202.51
67,-98.50000,29.30000,537.57,163.85
68,-95.40000,29.20000,25.30,7.71
69,-95.40000,29.10000,8.07,2.46
70,-95.50000,29.20000,30.45,9.28
71,-95.50000,29.10000,22.44,6.84
72,-95.60000,29.10000,23.85,7.27
73,-95.60000,29.00000,16.60,5.06
74,-95.60000,28.90000,5.97,1.82
75,-95.30000,29.60000,41.99,12.80
76,-95.30000,29.20000,5.51,1.68
77,-95.50000,29.00000,15.45,4.71
78,-95.40000,29.00000,6.14,1.87
79,-95.30000,29.30000,27.33,8.33
80,-95.40000,29.50000,56.46,17.21
81,-95.30000,29.50000,46.72,14.24
82,-95.40000,29.40000,42.19,12.86
83,-95.20000,29.60000,30.94,9.43
84,-95.40000,29.60000,57.51,17.53
85,-95.20000,29.50000,26.12,7.96
86,-95.70000,29.10000,31.89,9.72
87,-96.30000,30.60000,277.72,84.65
88,-96.30000,30.70000,341.04,103.95
89,-98.10000,27.20000,102.26,31.17
90,-96.50000,30.50000,254.82,77.67
91,-96.70000,28.40000,8.50,2.59
92,-96.50000,28.60000,-0.36,-0.11
93,-96.40000,28.50000,-0.36,-0.11
94,-96.50000,28.50000,-0.36,-0.11
95,-96.40000,28.40000,-0.36,-0.11
96,-96.40000,28.70000,-1.08,-0.33
97,-96.60000,28.40000,12.43,3.79
98,-96.60000,28.60000,-0.36,-0.11
99,-96.70000,28.60000,24.61,7.50
100,-96.20000,28.70000,0.46,0.14
101,-97.80000,26.30000,41.73,12.72
102,-97.70000,26.30000,32.19,9.81
103,-97.50000,25.90000,32.41,9.88
104,-97.80000,26.20000,42.62,12.99
105,-97.80000,26.10000,51.87,15.81
106,-97.40000,26.10000,15.98,4.87
107,-97.70000,26.10000,51.84,15.80
108,-97.50000,26.10000,30.81,9.39
109,-97.60000,26.20000,34.71,10.58
110,-97.50000,26.00000,19.82,6.04
111,-97.50000,26.20000,20.44,6.23
112,-97.70000,26.20000,39.34,11.99
113,-97.60000,26.10000,31.76,9.68
114,-97.20000,26.10000,-1.94,-0.59
115,-94.40000,29.80000,22.83,6.96
116,-94.90000,29.80000,26.38,8.04
117,-94.80000,29.80000,3.31,1.01
118,-94.70000,29.60000,1.74,0.53
119,-94.60000,29.80000,22.90,6.98
120,-94.40000,29.90000,31.79,9.69
121,-94.80000,29.90000,37.40,11.40
122,-94.90000,29.90000,46.06,14.04
123,-94.70000,29.70000,-0.49,-0.15
124,-94.60000,29.70000,12.43,3.79
125,-94.60000,29.90000,32.97,10.05
126,-94.50000,29.80000,23.85,7.27
127,-94.70000,29.80000,1.05,0.32
128,-94.90000,29.70000,21.19,6.46
129,-98.20000,33.80000,874.11,266.43
130,-96.90000,33.20000,530.74,161.77
131,-96.80000,33.10000,725.59,221.16
132,-100.20000,34.80000,1946.88,593.41
133,-96.30000,29.60000,172.77,52.66
134,-96.50000,33.00000,480.18,146.36
135,-96.90000,32.70000,622.80,189.83
136,-96.80000,33.00000,658.60,200.74
137,-96.70000,32.80000,494.75,150.80
138,-96.90000,32.90000,448.39,136.67
139,-96.70000,32.70000,386.15,117.70
140,-97.00000,32.80000,455.48,138.83
141,-97.00000,32.90000,494.26,150.65
142,-96.90000,32.80000,413.55,126.05
143,-96.80000,32.90000,613.85,187.10
144,-102.40000,34.80000,3832.15,1168.04
145,-97.00000,33.10000,531.04,161.86
146,-97.30000,29.10000,182.32,55.57
147,-102.40000,31.90000,2951.44,899.60
148,-106.40000,31.90000,3927.92,1197.23
149,-106.40000,31.80000,3913.48,1192.83
150,-106.50000,31.80000,4178.64,1273.65
151,-106.40000,31.70000,3684.12,1122.92
152,-106.60000,31.80000,3946.98,1203.04
153,-95.50000,30.00000,114.53,34.91
154,-96.90000,29.90000,268.83,81.94
155,-95.50000,29.50000,59.45,18.12
156,-95.60000,29.50000,60.70,18.50
157,-95.80000,29.70000,114.80,34.99
158,-95.70000,29.60000,79.36,24.19
159,-95.80000,29.60000,89.27,27.21
160,-95.90000,29.70000,139.14,42.41
161,-95.70000,29.70000,91.63,27.93
162,-95.90000,29.30000,64.30,19.60
163,-95.80000,29.50000,83.53,25.46
164,-95.60000,29.60000,69.23,21.10
165,-95.80000,29.80000,138.81,42.31
166,-96.00000,29.60000,123.79,37.73
167,-95.80000,29.40000,82.55,25.16
