longitude,latitude
-90.0,35.1
-90.0,35.2
-89.9,35.1
-90.1,35.2
-89.8,35.1
-89.9,35.3
-86.4,36.4
-86.6,36.3
-86.5,36.6
-89.6,35.6
-86.2,36.3
-86.9,35.9
-87.0,36.0
-86.8,36.0
-86.5,36.3
-86.3,36.0
-86.5,36.2
-86.4,36.3
-86.4,36.1
-86.3,36.2
-87.7,36.3
-89.7,35.3
-90.0,35.3
-84.3,36.0
-82.0,36.4
-84.4,35.5
-87.1,36.0
-84.7,35.1
-89.7,35.1
-82.6,36.1
-86.1,36.2
-85.9,36.3
-86.6,36.4
-86.3,36.4
-86.7,36.4
-83.9,35.8
-84.9,35.2
-85.5,36.6
-89.7,35.2
-89.8,35.4
-87.0,35.6
-85.3,35.0
-84.1,36.6
-82.3,36.3
-83.8,36.0
-83.6,35.8
-85.2,35.3
-85.2,35.2
-94.8,31.2
-97.1,28.0
-98.4,29.1
-96.1,29.6
-99.1,29.7
-97.7,31.1
-97.8,31.1
-97.6,31.1
-97.5,31.0
-98.7,29.3
-98.7,29.6
-98.6,29.5
-94.7,30.1
-94.7,30.0
-98.5,29.5
-98.4,29.6
-98.5,29.6
-98.6,29.4
-98.5,29.3
-95.4,29.2
-95.4,29.1
-95.5,29.2
-95.5,29.1
-95.6,29.1
-95.6,29.0
-95.6,28.9
-95.3,29.6
-95.3,29.2
-95.5,29.0
-95.4,29.0
-95.3,29.3
-95.4,29.5
-95.3,29.5
-95.4,29.4
-95.2,29.6
-95.4,29.6
-95.2,29.5
-95.7,29.1
-96.3,30.6
-96.3,30.7
-98.1,27.2
-96.5,30.5
-96.7,28.4
-96.5,28.6
-96.4,28.5
-96.5,28.5
-96.4,28.4
-96.4,28.7
-96.6,28.4
-96.6,28.6
-96.7,28.6
-96.2,28.7
-97.8,26.3
-97.7,26.3
-97.5,25.9
-97.8,26.2
-97.8,26.1
-97.4,26.1
-97.7,26.1
-97.5,26.1
-97.6,26.2
-97.5,26.0
-97.5,26.2
-97.7,26.2
-97.6,26.1
-97.2,26.1
-94.4,29.8
-94.9,29.8
-94.8,29.8
-94.7,29.6
-94.6,29.8
-94.4,29.9
-94.8,29.9
-94.9,29.9
-94.7,29.7
-94.6,29.7
-94.6,29.9
-94.5,29.8
-94.7,29.8
-94.9,29.7
-98.2,33.8
-96.9,33.2
-96.8,33.1
-100.2,34.8
-96.3,29.6
-96.5,33.0
-96.9,32.7
-96.8,33.0
-96.7,32.8
-96.9,32.9
-96.7,32.7
-97.0,32.8
-97.0,32.9
-96.9,32.8
-96.8,32.9
-102.4,34.8
-97.0,33.1
-97.3,29.1
-102.4,31.9
-106.4,31.9
-106.4,31.8
-106.5,31.8
-106.4,31.7
-106.6,31.8
-95.5,30.0
-96.9,29.9
-95.5,29.5
-95.6,29.5
-95.8,29.7
-95.7,29.6
-95.8,29.6
-95.9,29.7
-95.7,29.7
-95.9,29.3
-95.8,29.5
-95.6,29.6
-95.8,29.8
-96.0,29.6
-95.8,29.4
-95.7,29.5
-95.6,29.4
-95.9,29.4
-95.9,29.5
-95.6,29.7
-96.0,29.7
-95.6,29.3
-98.3,29.2
-95.5,29.6
-95.2,33.0
-94.6,29.5
-94.9,32.4
-96.1,30.4
-98.0,29.6
-97.8,29.8
-94.7,30.3
-94.3,30.2
-94.4,30.2
-94.2,30.2
-94.3,30.1
-94.5,30.1
-94.4,30.5
-94.2,30.3
-94.3,30.4
-94.4,30.4
-94.2,30.4
-94.4,30.1
-95.3,30.0
-95.4,29.9
-95.3,29.9
-95.1,30.1
-95.6,29.8
-95.6,30.0
-95.7,29.8
-95.1,30.0
-95.5,29.9
-95.7,30.0
-95.2,30.0
-95.0,30.0
-95.5,30.1
-95.1,29.8
-95.7,29.9
-95.1,29.6
-95.6,29.9
-95.0,29.8
-95.2,29.9
-95.4,30.0
-95.0,29.9
-95.8,29.9
-95.6,30.2
-95.1,29.9
-95.8,30.1
-95.2,30.1
-95.4,30.1
-95.0,29.6
-95.2,29.7
-95.8,30.0
-95.5,30.2
-95.6,30.1
-95.7,30.1
-95.5,29.8
-95.0,29.7
-95.4,29.7
-95.3,30.1
-95.3,29.8
-95.1,29.7
-95.5,29.7
-95.3,29.7
-95.4,29.8
-95.1,29.5
-98.0,30.2
-97.9,29.9
-97.9,30.1
-98.1,30.0
-98.1,26.3
-97.9,26.2
-98.0,26.2
-98.2,26.2
-97.9,26.3
-98.0,26.3
-98.1,26.2
-98.4,26.2
-98.2,26.1
-98.3,26.4
-98.3,26.2
-98.2,26.3
-98.2,26.4
-98.4,26.3
-98.6,26.3
-97.9,26.1
-98.1,26.1
-98.1,26.4
-98.3,26.3
-98.0,26.1
-97.8,32.5
-97.7,32.4
-97.7,32.5
-101.5,32.2
-94.0,30.9
-94.0,30.0
-94.2,29.9
-94.1,29.9
-94.3,29.8
-94.3,30.0
-94.3,29.9
-94.4,30.0
-94.2,30.0
-94.2,29.8
-94.1,30.0
-94.2,30.1
-98.1,27.8
-100.1,32.9
-98.9,30.0
-99.1,30.0
-99.2,28.4
-95.0,30.3
-94.7,29.9
-95.1,30.3
-94.9,30.3
-94.9,30.1
-95.0,30.2
-94.9,30.0
-94.8,30.4
-94.9,30.2
-95.0,30.1
-95.1,30.4
-94.6,30.1
-94.6,30.0
-95.1,30.2
-94.8,30.1
-101.9,33.6
-97.1,31.5
-97.1,31.6
-100.5,28.8
-95.3,30.3
-95.4,30.2
-95.6,30.3
-95.2,30.2
-95.4,30.3
-95.6,30.4
-95.3,30.2
-95.8,30.2
-95.6,30.5
-95.7,30.2
-95.4,30.4
-95.7,30.3
-95.2,30.3
-95.7,30.4
-95.5,30.3
-95.5,30.4
-94.6,31.6
-93.6,31.0
-93.8,30.6
-93.7,30.3
-93.8,30.3
-93.6,30.8
-93.8,30.4
-93.8,30.5
-93.8,30.0
-93.7,30.2
-94.0,30.2
-93.9,30.1
-94.1,30.2
-93.8,30.2
